key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,images,cue,target,font,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,pairs,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,8.879875,0.388473853,-0.249199573,1,0,0,10.55974,cont1,0,0,0,15,1,images/apart-a.jpeg,separate,apart,a,5ed83674e7cb0a18273e9028,2020-12-21_13h10.09.464,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe10eef3cc53cb313d799d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,1,10,1,images/sharp-a.jpeg,knife,sharp,a,5ed83674e7cb0a18273e9028,2020-12-21_13h10.09.464,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe10eef3cc53cb313d799d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,2,2,19,1,images/blow-sf.jpeg,wind,blow,sf,5ed83674e7cb0a18273e9028,2020-12-21_13h10.09.464,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe10eef3cc53cb313d799d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,3,3,2,1,images/potato-a.jpeg,chip,potato,a,5ed83674e7cb0a18273e9028,2020-12-21_13h10.09.464,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe10eef3cc53cb313d799d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,4,4,16,1,images/wheel-a.jpeg,tire,wheel,a,5ed83674e7cb0a18273e9028,2020-12-21_13h10.09.464,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe10eef3cc53cb313d799d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,5,5,3,1,images/swim-sf.jpeg,dive,swim,sf,5ed83674e7cb0a18273e9028,2020-12-21_13h10.09.464,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe10eef3cc53cb313d799d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,6,6,14,1,images/trail-sf.jpeg,path,trail,sf,5ed83674e7cb0a18273e9028,2020-12-21_13h10.09.464,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe10eef3cc53cb313d799d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,7,7,1,1,images/deaf-a.jpeg,blind,deaf,a,5ed83674e7cb0a18273e9028,2020-12-21_13h10.09.464,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe10eef3cc53cb313d799d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,8,8,6,1,images/protect-a.jpeg,guard,protect,a,5ed83674e7cb0a18273e9028,2020-12-21_13h10.09.464,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe10eef3cc53cb313d799d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,9,9,12,1,images/article-sf.jpeg,magazine,article,sf,5ed83674e7cb0a18273e9028,2020-12-21_13h10.09.464,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe10eef3cc53cb313d799d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
