key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,images,cue,target,font,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,pairs,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,11.099895,0.006403415,-0.286552828,1,0,0,7.113465,cont1,0,0,0,1,1,images/deaf-a.jpeg,blind,deaf,a,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,1,7,1,images/sheep-a.jpeg,herd,sheep,a,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,2,2,5,1,images/yard-a.jpeg,fence,yard,a,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,3,3,17,1,images/patience-sf.jpeg,virtue,patience,sf,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,4,4,12,1,images/article-sf.jpeg,magazine,article,sf,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,5,5,10,1,images/sharp-a.jpeg,knife,sharp,a,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,6,6,6,1,images/protect-a.jpeg,guard,protect,a,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,7,7,0,1,images/crash-sf.jpeg,accident,crash,sf,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,8,8,16,1,images/wheel-a.jpeg,tire,wheel,a,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,9,9,4,1,images/boss-sf.jpeg,employee,boss,sf,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,10,10,19,1,images/blow-sf.jpeg,wind,blow,sf,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,11,11,3,1,images/swim-sf.jpeg,dive,swim,sf,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,12,12,11,1,images/contact-sf.jpeg,lens,contact,sf,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,13,13,14,1,images/trail-sf.jpeg,path,trail,sf,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,14,14,9,1,images/destory-sf.jpeg,kill,destroy,sf,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,15,15,13,1,images/tense-sf.jpeg,nervous,tense,sf,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,16,16,2,1,images/potato-a.jpeg,chip,potato,a,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,17,17,18,1,images/candle-a.jpeg,wax,candle,a,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,18,18,8,1,images/happiness-a.jpeg,joy,happiness,a,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,19,19,15,1,images/apart-a.jpeg,separate,apart,a,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wind,blow,sf,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,79.77588047,8.28991,79.77588047,1.311745,0.01814301,-0.392209178,1,0,0,8.36796,polygon,blow,-0.106723586,-0.019743863,1,0,0,2.220125,polygon_2,0,wind,0,0,0,19,1,blow-sf.jpeg,,,,,,,
,,,,,,,,,,,,,,,separate,apart,a,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,together,-0.18036286,-0.029348986,1,0,0,0.960135,polygon_2,0,separate,0,1,1,15,1,apart-a.jpeg,,,,,,,
,,,,,,,,,,,,,,,wax,candle,a,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,-0.014941302,-0.008004269,1,0,0,0.88597,polygon_2,0,wax,0,2,2,18,1,candle-a.jpeg,,,,,,,
,,,,,,,,,,,,,,,magazine,article,sf,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,newspaper,-0.248665955,0.03361793,1,0,0,1.123725,polygon_2,0,magazine,0,3,3,12,1,article-sf.jpeg,,,,,,,
,,,,,,,,,,,,,,,chip,potato,a,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,0.129135539,-0.008004269,1,0,0,0.91199,polygon_2,0,chip,0,4,4,2,1,potato-a.jpeg,,,,,,,
,,,,,,,,,,,,,,,tire,wheel,a,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,-0.06189968,0.029348986,1,0,0,0.697995,polygon_2,0,tire,0,5,5,16,1,wheel-a.jpeg,,,,,,,
,,,,,,,,,,,,,,,employee,boss,sf,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,boss,-0.168623266,0.109391676,1,0,0,0.76315,polygon_2,0,employee,0,6,6,4,1,boss-sf.jpeg,,,,,,,
,,,,,,,,,,,,,,,nervous,tense,sf,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,calm,-0.204909285,0.005869797,1,0,0,0.79642,polygon_2,0,nervous,0,7,7,13,1,tense-sf.jpeg,,,,,,,
,,,,,,,,,,,,,,,kill,destroy,sf,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,-0.129135539,-0.020811099,1,0,0,0.74769,polygon_2,0,kill,0,8,8,9,1,destory-sf.jpeg,,,,,,,
,,,,,,,,,,,,,,,knife,sharp,a,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,-0.219850587,-0.008004269,1,0,0,0.9137,polygon_2,0,knife,0,9,9,10,1,sharp-a.jpeg,,,,,,,
,,,,,,,,,,,,,,,path,trail,sf,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,-0.173959445,-0.019743863,1,0,0,0.746735,polygon_2,0,path,0,10,10,14,1,trail-sf.jpeg,,,,,,,
,,,,,,,,,,,,,,,herd,sheep,a,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,sheep,-0.18036286,0.02828175,1,0,0,1.119715,polygon_2,0,herd,0,11,11,7,1,sheep-a.jpeg,,,,,,,
,,,,,,,,,,,,,,,blind,deaf,a,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,deaf,-0.219850587,0.113660619,1,0,0,0.795705,polygon_2,0,blind,0,12,12,1,1,deaf-a.jpeg,,,,,,,
,,,,,,,,,,,,,,,fence,yard,a,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,-0.135538954,-0.026147279,1,0,0,0.796295,polygon_2,0,fence,0,13,13,5,1,yard-a.jpeg,,,,,,,
,,,,,,,,,,,,,,,lens,contact,sf,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,contact,-0.143009605,-0.000533618,1,0,0,0.613905,polygon_2,0,lens,0,14,14,11,1,contact-sf.jpeg,,,,,,,
,,,,,,,,,,,,,,,virtue,patience,sf,5f8df55fdae499196f75108b,2020-12-21_15h17.15.993,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe110aa2b78a5ae31680857,,,,,,,,,,,,,-0.003201708,-0.300426894,1,0,0,2.096875,polygon_2,0,virtue,0,15,15,17,1,patience-sf.jpeg,,,,,,,
