key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,images,cue,target,font,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,13.516,-0.00304414,-0.311263318,1,0,0,10.901,cont1,0,0,0,8,1,images/happiness-sf.jpeg,JOY,HAPPINESS,sf,59d1e366faf42e00012b6c1c,5fe22fa6bbdf7fd78d1e1e1f,2020-12-22_12h41.39.248,weird_font2,2020.2.10,Win32,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,1,0,1,images/crash-a.jpeg,ACCIDENT,CRASH,a,59d1e366faf42e00012b6c1c,5fe22fa6bbdf7fd78d1e1e1f,2020-12-22_12h41.39.248,weird_font2,2020.2.10,Win32,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,2,2,15,1,images/apart-sf.jpeg,SEPARATE,APART,sf,59d1e366faf42e00012b6c1c,5fe22fa6bbdf7fd78d1e1e1f,2020-12-22_12h41.39.248,weird_font2,2020.2.10,Win32,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,3,3,17,1,images/patience-a.jpeg,VIRTUE,PATIENCE,a,59d1e366faf42e00012b6c1c,5fe22fa6bbdf7fd78d1e1e1f,2020-12-22_12h41.39.248,weird_font2,2020.2.10,Win32,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,4,4,7,1,images/sheep-sf.jpeg,HERD,SHEEP,sf,59d1e366faf42e00012b6c1c,5fe22fa6bbdf7fd78d1e1e1f,2020-12-22_12h41.39.248,weird_font2,2020.2.10,Win32,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,5,5,16,1,images/wheel-sf.jpeg,TIRE,WHEEL,sf,59d1e366faf42e00012b6c1c,5fe22fa6bbdf7fd78d1e1e1f,2020-12-22_12h41.39.248,weird_font2,2020.2.10,Win32,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,6,6,13,1,images/tense-a.jpeg,NERVOUS,TENSE,a,59d1e366faf42e00012b6c1c,5fe22fa6bbdf7fd78d1e1e1f,2020-12-22_12h41.39.248,weird_font2,2020.2.10,Win32,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,7,7,11,1,images/contact-a.jpeg,LENS,CONTACT,a,59d1e366faf42e00012b6c1c,5fe22fa6bbdf7fd78d1e1e1f,2020-12-22_12h41.39.248,weird_font2,2020.2.10,Win32,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,8,8,18,1,images/candle-sf.jpeg,WAX,CANDLE,sf,59d1e366faf42e00012b6c1c,5fe22fa6bbdf7fd78d1e1e1f,2020-12-22_12h41.39.248,weird_font2,2020.2.10,Win32,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,9,9,14,1,images/trail-a.jpeg,PATH,TRAIL,a,59d1e366faf42e00012b6c1c,5fe22fa6bbdf7fd78d1e1e1f,2020-12-22_12h41.39.248,weird_font2,2020.2.10,Win32,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
