key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,images,cue,target,font,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,44.30693,0.002119285,-0.313774847,1,0,0,13.07732,cont1,0,0,0,17,1,images/patience-a.jpeg,VIRTUE,PATIENCE,a,5ee4b29de1640f1bc85da97b,5fe22f48eb5270d821acdfdb,2020-12-22_12h39.57.608,weird_font2,2020.2.10,Win32,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,1,1,1,images/deaf-sf.jpeg,BLIND,DEAF,sf,5ee4b29de1640f1bc85da97b,5fe22f48eb5270d821acdfdb,2020-12-22_12h39.57.608,weird_font2,2020.2.10,Win32,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,2,2,8,1,images/happiness-sf.jpeg,JOY,HAPPINESS,sf,5ee4b29de1640f1bc85da97b,5fe22f48eb5270d821acdfdb,2020-12-22_12h39.57.608,weird_font2,2020.2.10,Win32,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,3,3,6,1,images/protect-sf.jpeg,GUARD,PROTECT,sf,5ee4b29de1640f1bc85da97b,5fe22f48eb5270d821acdfdb,2020-12-22_12h39.57.608,weird_font2,2020.2.10,Win32,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,4,4,9,1,images/destory-a.jpeg,KILL,DESTROY,a,5ee4b29de1640f1bc85da97b,5fe22f48eb5270d821acdfdb,2020-12-22_12h39.57.608,weird_font2,2020.2.10,Win32,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,5,5,14,1,images/trail-a.jpeg,PATH,TRAIL,a,5ee4b29de1640f1bc85da97b,5fe22f48eb5270d821acdfdb,2020-12-22_12h39.57.608,weird_font2,2020.2.10,Win32,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,6,6,4,1,images/boss-a.jpeg,EMPLOYEE,BOSS,a,5ee4b29de1640f1bc85da97b,5fe22f48eb5270d821acdfdb,2020-12-22_12h39.57.608,weird_font2,2020.2.10,Win32,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,7,7,2,1,images/potato-sf.jpeg,CHIP,POTATO,sf,5ee4b29de1640f1bc85da97b,5fe22f48eb5270d821acdfdb,2020-12-22_12h39.57.608,weird_font2,2020.2.10,Win32,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,8,8,10,1,images/sharp-sf.jpeg,KNIFE,SHARP,sf,5ee4b29de1640f1bc85da97b,5fe22f48eb5270d821acdfdb,2020-12-22_12h39.57.608,weird_font2,2020.2.10,Win32,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,9,9,3,1,images/swim-a.jpeg,DIVE,SWIM,a,5ee4b29de1640f1bc85da97b,5fe22f48eb5270d821acdfdb,2020-12-22_12h39.57.608,weird_font2,2020.2.10,Win32,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
