key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,images,cue,target,font,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,8.92543,0.004649182,-0.316764521,1,0,0,8.119445,cont1,0,0,0,7,1,images/sheep-sf.jpeg,HERD,SHEEP,sf,5fe17e28d8918b3fae67ec4d,5fe22dab6d65c5d8f126f6f8,2020-12-22_12h33.09.853,weird_font2,2020.2.10,Linux x86_64,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,1,9,1,images/destory-a.jpeg,KILL,DESTROY,a,5fe17e28d8918b3fae67ec4d,5fe22dab6d65c5d8f126f6f8,2020-12-22_12h33.09.853,weird_font2,2020.2.10,Linux x86_64,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,2,2,11,1,images/contact-a.jpeg,LENS,CONTACT,a,5fe17e28d8918b3fae67ec4d,5fe22dab6d65c5d8f126f6f8,2020-12-22_12h33.09.853,weird_font2,2020.2.10,Linux x86_64,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,3,3,18,1,images/candle-sf.jpeg,WAX,CANDLE,sf,5fe17e28d8918b3fae67ec4d,5fe22dab6d65c5d8f126f6f8,2020-12-22_12h33.09.853,weird_font2,2020.2.10,Linux x86_64,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,4,4,6,1,images/protect-sf.jpeg,GUARD,PROTECT,sf,5fe17e28d8918b3fae67ec4d,5fe22dab6d65c5d8f126f6f8,2020-12-22_12h33.09.853,weird_font2,2020.2.10,Linux x86_64,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,5,5,13,1,images/tense-a.jpeg,NERVOUS,TENSE,a,5fe17e28d8918b3fae67ec4d,5fe22dab6d65c5d8f126f6f8,2020-12-22_12h33.09.853,weird_font2,2020.2.10,Linux x86_64,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,6,6,5,1,images/yard-sf.jpeg,FENCE,YARD,sf,5fe17e28d8918b3fae67ec4d,5fe22dab6d65c5d8f126f6f8,2020-12-22_12h33.09.853,weird_font2,2020.2.10,Linux x86_64,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,7,7,1,1,images/deaf-sf.jpeg,BLIND,DEAF,sf,5fe17e28d8918b3fae67ec4d,5fe22dab6d65c5d8f126f6f8,2020-12-22_12h33.09.853,weird_font2,2020.2.10,Linux x86_64,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,8,8,16,1,images/wheel-sf.jpeg,TIRE,WHEEL,sf,5fe17e28d8918b3fae67ec4d,5fe22dab6d65c5d8f126f6f8,2020-12-22_12h33.09.853,weird_font2,2020.2.10,Linux x86_64,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,9,9,12,1,images/article-a.jpeg,MAGAZINE,ARTICLE,a,5fe17e28d8918b3fae67ec4d,5fe22dab6d65c5d8f126f6f8,2020-12-22_12h33.09.853,weird_font2,2020.2.10,Linux x86_64,60,5fe21653eed16dd302de4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
