"","id","cond","flu","SF"
"1","?","High Test Expectancy",0.25,0.5
"2","A10LHWALI4BZPC","High Test Expectancy",1,0.916666666666667
"3","A14LOABUGAITBM","High Test Expectancy",0,0.0833333333333333
"4","A17Y73URHQYGAA","High Test Expectancy",1,0.916666666666667
"5","A182N7RLXGSCZG","Low Test Expectancy",0,0
"6","A187RIRDOFNE1B","Low Test Expectancy",0.833333333333333,0.75
"7","A1BQI9JKLVCIL0","High Test Expectancy",0.333333333333333,0.833333333333333
"8","A1DWQO9X2ZQ35G","High Test Expectancy",0.75,0.75
"9","A1FG2G9TZSDN","High Test Expectancy",0.416666666666667,0.583333333333333
"10","A1L1S0IAPZB4MO","Low Test Expectancy",0,0
"11","A1NHFCWPAQNUT6","High Test Expectancy",0.333333333333333,0.5
"12","A1O57XVTTB1PNZ","Low Test Expectancy",0,0.416666666666667
"13","A1Q6VY3C3CEOA0","Low Test Expectancy",0.666666666666667,0.666666666666667
"14","A1S6C6EN8MPKC3","Low Test Expectancy",0.166666666666667,0.25
"15","A1U69QDM8UIXZ5","High Test Expectancy",0.25,0.5
"16","A1XCQA727LJVL2","Low Test Expectancy",0.75,0.916666666666667
"17","A1XRIEYLA7ZJ3B","Low Test Expectancy",0.5,0.666666666666667
"18","A20IA63WXHF683","Low Test Expectancy",0.25,0.5
"19","A231NY4QEQ58PJ","Low Test Expectancy",0.25,0.333333333333333
"20","A23EGLIF8IEH11","Low Test Expectancy",0.333333333333333,0.333333333333333
"21","A23HZ18KTCK2DA","Low Test Expectancy",0.5,0.333333333333333
"22","A2488KXHWJTJR7","High Test Expectancy",0.416666666666667,0.25
"23","A27LC4TGHQ7GCG","Low Test Expectancy",0.333333333333333,0.25
"24","A2H4LJ4CXZQ304","Low Test Expectancy",0,0
"25","A2JM1IVEZCXX3U","High Test Expectancy",0.333333333333333,0.333333333333333
"26","a2mqmmcvzjtfl2","High Test Expectancy",0.0833333333333333,0.166666666666667
"27","A2QC2W3GCGKHB","High Test Expectancy",0.5,0.5
"28","A2RLOB9VH2XSRT","Low Test Expectancy",0.416666666666667,0.166666666666667
"29","A2VB2MZFRO7VN5","Low Test Expectancy",0.0833333333333333,0
"30","A2W5BVSBD1G08A","High Test Expectancy",0.583333333333333,0.333333333333333
"31","A314XJY8V1YL12","High Test Expectancy",0.333333333333333,0.25
"32","A33B85TN97HQ33","Low Test Expectancy",0.166666666666667,0.416666666666667
"33","A345TDMHP3DQ3G","Low Test Expectancy",0,0.416666666666667
"34","A34CPKFZXBX1PO","High Test Expectancy",0.666666666666667,0.416666666666667
"35","A3D5VZQM079JQJ","High Test Expectancy",0,0.0833333333333333
"36","A3F51C49T9A34D","Low Test Expectancy",0.75,0.916666666666667
"37","A3GPYCHKB2KDLC","Low Test Expectancy",0,0
"38","A3GTPW3MYSLMR7","Low Test Expectancy",0.0833333333333333,0.0833333333333333
"39","A3IQRBKS1DUJVZ","Low Test Expectancy",0,0.333333333333333
"40","A3K1P4SPR8XS7R","Low Test Expectancy",0.916666666666667,1
