key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,Age,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,7.415,0.01350135,-0.329882988,1,0,0,10.21,cont1,0.01530153,-0.331683168,1,0,0,4.721,stop_stud,0,0,0,10,1,native foreign,0.056,0.031,0.025,native,foreign,SF,images/native-foreign-sf.png,CS,A3U2S6OPJNS4AQ,52,yes,2020-12-29_12h28.16.049,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.01530153,-0.331683168,1,0,0,2.769,stop_stud,0,1,1,0,1,angle corner,0.02,0.029,0.009,angle,corner,SF,images/angle-corner-sf.png,CS,A3U2S6OPJNS4AQ,52,yes,2020-12-29_12h28.16.049,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.01530153,-0.331683168,1,0,0,1.855,stop_stud,0,2,2,22,1,throat voice,0.039,0.02,0.019,throat ,voice ,SF,images/throat-voice-sf.png,CS,A3U2S6OPJNS4AQ,52,yes,2020-12-29_12h28.16.049,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.01530153,-0.331683168,1,0,0,1.92,stop_stud,0,3,3,23,1,train plane,0.051,0.049,0.002,train,plane,flu,images/train-plane-arial1.png,CS,A3U2S6OPJNS4AQ,52,yes,2020-12-29_12h28.16.049,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.01530153,-0.331683168,1,0,0,1.76,stop_stud,0,4,4,20,1,stick branch,0.067,0.047,0.02,stick,branch,SF,images/stick-branch-sf.png,CS,A3U2S6OPJNS4AQ,52,yes,2020-12-29_12h28.16.049,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.01530153,-0.331683168,1,0,0,1.649,stop_stud,0,5,5,2,1,child mother,0.03,0.01,0.02,child,mother,SF,images/child-mother-sf.png,CS,A3U2S6OPJNS4AQ,52,yes,2020-12-29_12h28.16.049,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.01530153,-0.331683168,1,0,0,1.447,stop_stud,0,6,6,6,1,factory product,0.02,0.028,0.008,factory,product,SF,images/factory-product-sf.png,CS,A3U2S6OPJNS4AQ,52,yes,2020-12-29_12h28.16.049,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.01530153,-0.331683168,1,0,0,1.465,stop_stud,0,7,7,17,1,range rifle,0.015,0.028,0.013,range,rifle,flu,images/range-rifle-arial1.png,CS,A3U2S6OPJNS4AQ,52,yes,2020-12-29_12h28.16.049,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.01530153,-0.331683168,1,0,0,1.333,stop_stud,0,8,8,19,1,sheet cover,0.021,0.053,0.032,sheet,cover,SF,images/sheet-cover-sf.png,CS,A3U2S6OPJNS4AQ,52,yes,2020-12-29_12h28.16.049,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.01530153,-0.331683168,1,0,0,1.292,stop_stud,0,9,9,18,1,report weather,0.015,0.024,0.009,report,weather,flu,images/report-weather-arial1.png,CS,A3U2S6OPJNS4AQ,52,yes,2020-12-29_12h28.16.049,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
