key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,Age,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,7.927935,-0.006951341,-0.29245283,1,0,0,10.237425,cont1,-0.006951341,-0.29245283,1,0,0,2.48516,stop_stud,0,0,0,10,1,native foreign,0.056,0.031,0.025,native,foreign,SF,images/native-foreign-sf.png,Cameron Goldsmith,AQGJ6V57FZ7L7,31,yes,2020-12-29_16h06.47.391,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006951341,-0.29245283,1,0,0,3.676765,stop_stud,0,1,1,21,1,taste touch,0.016,0.012,0.004,taste,touch,SF,images/taste-touch-sf.png,Cameron Goldsmith,AQGJ6V57FZ7L7,31,yes,2020-12-29_16h06.47.391,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006951341,-0.29245283,1,0,0,2.961425,stop_stud,0,2,2,8,1,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,Cameron Goldsmith,AQGJ6V57FZ7L7,31,yes,2020-12-29_16h06.47.391,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006951341,-0.29245283,1,0,0,2.32983,stop_stud,0,3,3,4,1,curve shape,0.018,0.011,0.007,curve,shape,flu,images/curve-shape-arial1.png,Cameron Goldsmith,AQGJ6V57FZ7L7,31,yes,2020-12-29_16h06.47.391,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006951341,-0.29245283,1,0,0,2.24651,stop_stud,0,4,4,7,1,group meeting,0.027,0.041,0.014,group,meeting,SF,images/group-meeting-sf.png,Cameron Goldsmith,AQGJ6V57FZ7L7,31,yes,2020-12-29_16h06.47.391,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006951341,-0.29245283,1,0,0,1.830275,stop_stud,0,5,5,18,1,report weather,0.015,0.024,0.009,report,weather,flu,images/report-weather-arial1.png,Cameron Goldsmith,AQGJ6V57FZ7L7,31,yes,2020-12-29_16h06.47.391,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006951341,-0.29245283,1,0,0,2.0443,stop_stud,0,6,6,19,1,sheet cover,0.021,0.053,0.032,sheet,cover,SF,images/sheet-cover-sf.png,Cameron Goldsmith,AQGJ6V57FZ7L7,31,yes,2020-12-29_16h06.47.391,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006951341,-0.29245283,1,0,0,1.3789,stop_stud,0,7,7,1,1,block street,0.04,0.019,0.021,block,street,SF,images/block-street-sf.png,Cameron Goldsmith,AQGJ6V57FZ7L7,31,yes,2020-12-29_16h06.47.391,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006951341,-0.29245283,1,0,0,1.4124,stop_stud,0,8,8,5,1,engine machine,0.033,0.027,0.006,engine,machine,flu,images/engine-machine-arial1.png,Cameron Goldsmith,AQGJ6V57FZ7L7,31,yes,2020-12-29_16h06.47.391,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006951341,-0.29245283,1,0,0,2.596035,stop_stud,0,9,9,2,1,child mother,0.03,0.01,0.02,child,mother,SF,images/child-mother-sf.png,Cameron Goldsmith,AQGJ6V57FZ7L7,31,yes,2020-12-29_16h06.47.391,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
