key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,Age,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,15.40794,0.313109375,-0.129088542,1,0,0,4.660825,cont1,0.000994792,-0.325578125,1,0,0,1.047485,stop_stud,0,0,0,2,1,child mother,0.03,0.01,0.02,child,mother,SF,images/child-mother-sf.png,Moe,A1SWGSFIMZJQE,28,yes,2020-12-29_21h38.48.427,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.000994792,-0.325885417,1,0,0,1.69176,stop_stud,0,1,1,20,1,stick branch,0.067,0.047,0.02,stick,branch,SF,images/stick-branch-sf.png,Moe,A1SWGSFIMZJQE,28,yes,2020-12-29_21h38.48.427,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.000994792,-0.325885417,1,0,0,0.36285,stop_stud,0,2,2,8,1,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,Moe,A1SWGSFIMZJQE,28,yes,2020-12-29_21h38.48.427,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.000994792,-0.325885417,1,0,0,0.365985,stop_stud,0,3,3,15,1,people world,0.014,0.03,0.016,people,world,SF,images/people-world-sf.png,Moe,A1SWGSFIMZJQE,28,yes,2020-12-29_21h38.48.427,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.000994792,-0.325885417,1,0,0,0.26529,stop_stud,0,4,4,5,1,engine machine,0.033,0.027,0.006,engine,machine,flu,images/engine-machine-arial1.png,Moe,A1SWGSFIMZJQE,28,yes,2020-12-29_21h38.48.427,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.000994792,-0.325885417,1,0,0,0.76304,stop_stud,0,5,5,7,1,group meeting,0.027,0.041,0.014,group,meeting,SF,images/group-meeting-sf.png,Moe,A1SWGSFIMZJQE,28,yes,2020-12-29_21h38.48.427,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.000994792,-0.325885417,1,0,0,0.53125,stop_stud,0,6,6,10,1,native foreign,0.056,0.031,0.025,native,foreign,SF,images/native-foreign-sf.png,Moe,A1SWGSFIMZJQE,28,yes,2020-12-29_21h38.48.427,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.000994792,-0.325885417,1,0,0,0.29694,stop_stud,0,7,7,3,1,college student ,0.035,0.046,0.011,college,student,flu,images/college - student-arial1.png,Moe,A1SWGSFIMZJQE,28,yes,2020-12-29_21h38.48.427,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.000994792,-0.325885417,1,0,0,0.296005,stop_stud,0,8,8,6,1,factory product,0.02,0.028,0.008,factory,product,SF,images/factory-product-sf.png,Moe,A1SWGSFIMZJQE,28,yes,2020-12-29_21h38.48.427,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.000994792,-0.325885417,1,0,0,0.36322,stop_stud,0,9,9,14,1,paint picture,0.036,0.031,0.005,paint,picture,flu,images/paint-picture-arial1.png,Moe,A1SWGSFIMZJQE,28,yes,2020-12-29_21h38.48.427,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
