key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,Age,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,9.004385,0.008559758,-0.302448801,1,0,0,12.51982,cont1,0.018630097,-0.316541465,1,0,0,4.98519,stop_stud,0,0,0,22,1,throat voice,0.039,0.02,0.019,throat ,voice ,SF,images/throat-voice-sf.png,Robin,A2UNF0ZW0Y7GK3,50,yes,2020-12-29_14h48.22.635,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.003524588,-0.320568017,1,0,0,3.33814,stop_stud,0,1,1,23,1,train plane,0.051,0.049,0.002,train,plane,flu,images/train-plane-arial1.png,Robin,A2UNF0ZW0Y7GK3,50,yes,2020-12-29_14h48.22.635,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.004531591,-0.325601112,1,0,0,3.44526,stop_stud,0,2,2,21,1,taste touch,0.016,0.012,0.004,taste,touch,SF,images/taste-touch-sf.png,Robin,A2UNF0ZW0Y7GK3,50,yes,2020-12-29_14h48.22.635,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.011580921,-0.334660758,1,0,0,1.96275,stop_stud,0,3,3,10,1,native foreign,0.056,0.031,0.025,native,foreign,SF,images/native-foreign-sf.png,Robin,A2UNF0ZW0Y7GK3,50,yes,2020-12-29_14h48.22.635,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.003524588,-0.319561399,1,0,0,1.846475,stop_stud,0,4,4,8,1,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,Robin,A2UNF0ZW0Y7GK3,50,yes,2020-12-29_14h48.22.635,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.016616014,-0.325601112,1,0,0,4.478835,stop_stud,0,5,5,12,1,object symbol,0.014,0.021,0.007,object,symbol,SF,images/object-symbol-sf.png,Robin,A2UNF0ZW0Y7GK3,50,yes,2020-12-29_14h48.22.635,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.012587924,-0.311508371,1,0,0,2.546455,stop_stud,0,6,6,18,1,report weather,0.015,0.024,0.009,report,weather,flu,images/report-weather-arial1.png,Robin,A2UNF0ZW0Y7GK3,50,yes,2020-12-29_14h48.22.635,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.007552755,-0.307481895,1,0,0,1.928655,stop_stud,0,7,7,15,1,people world,0.014,0.03,0.016,people,world,SF,images/people-world-sf.png,Robin,A2UNF0ZW0Y7GK3,50,yes,2020-12-29_14h48.22.635,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000503502,-0.319561399,1,0,0,3.263665,stop_stud,0,8,8,1,1,block street,0.04,0.019,0.021,block,street,SF,images/block-street-sf.png,Robin,A2UNF0ZW0Y7GK3,50,yes,2020-12-29_14h48.22.635,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.005538671,-0.319561399,1,0,0,2.246675,stop_stud,0,9,9,19,1,sheet cover,0.021,0.053,0.032,sheet,cover,SF,images/sheet-cover-sf.png,Robin,A2UNF0ZW0Y7GK3,50,yes,2020-12-29_14h48.22.635,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
