key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,Age,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,9.766725,-0.001067236,-0.304695838,1,0,0,9.88007,cont1,-0.003201708,-0.327107791,1,0,0,4.30992,stop_stud,0,0,0,10,1,native foreign,0.056,0.031,0.025,native,foreign,SF,images/native-foreign-sf.png,Sam,AV1IVFVS4VWZP,24,Yes,2020-12-29_14h37.02.544,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.001067236,-0.327107791,1,0,0,4.16416,stop_stud,0,1,1,6,1,factory product,0.02,0.028,0.008,factory,product,SF,images/factory-product-sf.png,Sam,AV1IVFVS4VWZP,24,Yes,2020-12-29_14h37.02.544,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002134472,-0.327107791,1,0,0,1.649195,stop_stud,0,2,2,8,1,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,Sam,AV1IVFVS4VWZP,24,Yes,2020-12-29_14h37.02.544,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.006403415,-0.335645678,1,0,0,4.066165,stop_stud,0,3,3,1,1,block street,0.04,0.019,0.021,block,street,SF,images/block-street-sf.png,Sam,AV1IVFVS4VWZP,24,Yes,2020-12-29_14h37.02.544,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.006403415,-0.330309498,1,0,0,3.26551,stop_stud,0,4,4,5,1,engine machine,0.033,0.027,0.006,engine,machine,flu,images/engine-machine-arial1.png,Sam,AV1IVFVS4VWZP,24,Yes,2020-12-29_14h37.02.544,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.009605123,-0.330309498,1,0,0,4.08267,stop_stud,0,5,5,13,1,office doctor,0.014,0.01,0.004,office,doctor ,flu,images/office-doctor-arial1.png,Sam,AV1IVFVS4VWZP,24,Yes,2020-12-29_14h37.02.544,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.009605123,-0.330309498,1,0,0,2.682535,stop_stud,0,6,6,9,1,nation state,0.042,0.055,0.013,nation,state,flu,images/nation-state-arial1.png,Sam,AV1IVFVS4VWZP,24,Yes,2020-12-29_14h37.02.544,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.010672359,-0.331376734,1,0,0,4.182485,stop_stud,0,7,7,4,1,curve shape,0.018,0.011,0.007,curve,shape,flu,images/curve-shape-arial1.png,Sam,AV1IVFVS4VWZP,24,Yes,2020-12-29_14h37.02.544,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.010672359,-0.331376734,1,0,0,4.14911,stop_stud,0,8,8,22,1,throat voice,0.039,0.02,0.019,throat ,voice ,SF,images/throat-voice-sf.png,Sam,AV1IVFVS4VWZP,24,Yes,2020-12-29_14h37.02.544,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.010672359,-0.331376734,1,0,0,2.015705,stop_stud,0,9,9,18,1,report weather,0.015,0.024,0.009,report,weather,flu,images/report-weather-arial1.png,Sam,AV1IVFVS4VWZP,24,Yes,2020-12-29_14h37.02.544,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
