key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,AGE,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,2.895845,0.022047284,-0.303599641,1,0,0,1.47038,cont1,-0.006749118,-0.303599641,1,0,0,5.93655,stop_stud,0,0,0,16,1,quarter dollar,0.061,0.027,0.034,quarter,dollar,flu,images/quarter-dollar-arial1.png,A3F51C49T9A34D,,,,2020-12-27_11h08.46.057,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.004949288,-0.304499528,1,0,0,5.70811,stop_stud,0,1,1,15,1,people world,0.014,0.03,0.016,people,world,SF,images/people-world-sf.png,A3F51C49T9A34D,,,,2020-12-27_11h08.46.057,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002249626,-0.306299249,1,0,0,3.472985,stop_stud,0,2,2,11,1,novel story,0.034,0.034,0,novel,story,flu,images/novel-story-arial1.png,A3F51C49T9A34D,,,,2020-12-27_11h08.46.057,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002249626,-0.306299249,1,0,0,3.151785,stop_stud,0,3,3,17,1,range rifle,0.015,0.028,0.013,range,rifle,flu,images/range-rifle-arial1.png,A3F51C49T9A34D,,,,2020-12-27_11h08.46.057,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002249626,-0.306299249,1,0,0,4.168415,stop_stud,0,4,4,6,1,factory product,0.02,0.028,0.008,factory,product,SF,images/factory-product-sf.png,A3F51C49T9A34D,,,,2020-12-27_11h08.46.057,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002249626,-0.306299249,1,0,0,4.337785,stop_stud,0,5,5,1,1,block street,0.04,0.019,0.021,block,street,SF,images/block-street-sf.png,A3F51C49T9A34D,,,,2020-12-27_11h08.46.057,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002249626,-0.306299249,1,0,0,4.33707,stop_stud,0,6,6,12,1,object symbol,0.014,0.021,0.007,object,symbol,SF,images/object-symbol-sf.png,A3F51C49T9A34D,,,,2020-12-27_11h08.46.057,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002249626,-0.306299249,1,0,0,4.22009,stop_stud,0,7,7,7,1,group meeting,0.027,0.041,0.014,group,meeting,SF,images/group-meeting-sf.png,A3F51C49T9A34D,,,,2020-12-27_11h08.46.057,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002249626,-0.306299249,1,0,0,4.609145,stop_stud,0,8,8,9,1,nation state,0.042,0.055,0.013,nation,state,flu,images/nation-state-arial1.png,A3F51C49T9A34D,,,,2020-12-27_11h08.46.057,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002249626,-0.306299249,1,0,0,2.387695,stop_stud,0,9,9,13,1,office doctor,0.014,0.01,0.004,office,doctor ,flu,images/office-doctor-arial1.png,A3F51C49T9A34D,,,,2020-12-27_11h08.46.057,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002249626,-0.306299249,1,0,0,3.60923,stop_stud,0,10,10,3,1,college student ,0.035,0.046,0.011,college,student,flu,images/college - student-arial1.png,A3F51C49T9A34D,,,,2020-12-27_11h08.46.057,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
