key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,AGE,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,6.714865,-0.00456621,-0.328006088,1,0,0,14.080715,cont1,-0.00456621,-0.328006088,1,0,0,2.728125,stop_stud,0,0,0,3,1,college student ,0.035,0.046,0.011,college,student,flu,images/college - student-arial1.png,Candice,A4H31418X7MBU,36,yes,2020-12-26_18h45.08.885,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.073059361,-0.005327245,1,0,0,3.74543,stop_stud,0,1,1,5,1,engine machine,0.033,0.027,0.006,engine,machine,flu,images/engine-machine-arial1.png,Candice,A4H31418X7MBU,36,yes,2020-12-26_18h45.08.885,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.074581431,0.002283105,1,0,0,1.38004,stop_stud,0,2,2,15,1,people world,0.014,0.03,0.016,people,world,SF,images/people-world-sf.png,Candice,A4H31418X7MBU,36,yes,2020-12-26_18h45.08.885,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0304414,-0.297564688,1,0,0,0.76403,stop_stud,0,3,3,8,1,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,Candice,A4H31418X7MBU,36,yes,2020-12-26_18h45.08.885,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00761035,-0.318873668,1,0,0,0.981155,stop_stud,0,4,4,19,1,sheet cover,0.021,0.053,0.032,sheet,cover,SF,images/sheet-cover-sf.png,Candice,A4H31418X7MBU,36,yes,2020-12-26_18h45.08.885,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00761035,-0.318873668,1,0,0,0.964815,stop_stud,0,5,5,2,1,child mother,0.03,0.01,0.02,child,mother,SF,images/child-mother-sf.png,Candice,A4H31418X7MBU,36,yes,2020-12-26_18h45.08.885,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0152207,-0.302130898,1,0,0,1.030725,stop_stud,0,6,6,0,1,angle corner,0.02,0.029,0.009,angle,corner,SF,images/angle-corner-sf.png,Candice,A4H31418X7MBU,36,yes,2020-12-26_18h45.08.885,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00608828,-0.329528158,1,0,0,0.86416,stop_stud,0,7,7,13,1,office doctor,0.014,0.01,0.004,office,doctor ,flu,images/office-doctor-arial1.png,Candice,A4H31418X7MBU,36,yes,2020-12-26_18h45.08.885,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00304414,-0.314307458,1,0,0,0.79765,stop_stud,0,8,8,14,1,paint picture,0.036,0.031,0.005,paint,picture,flu,images/paint-picture-arial1.png,Candice,A4H31418X7MBU,36,yes,2020-12-26_18h45.08.885,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00304414,-0.314307458,1,0,0,0.565545,stop_stud,0,9,9,17,1,range rifle,0.015,0.028,0.013,range,rifle,flu,images/range-rifle-arial1.png,Candice,A4H31418X7MBU,36,yes,2020-12-26_18h45.08.885,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00304414,-0.314307458,1,0,0,0.71447,stop_stud,0,10,10,4,1,curve shape,0.018,0.011,0.007,curve,shape,flu,images/curve-shape-arial1.png,Candice,A4H31418X7MBU,36,yes,2020-12-26_18h45.08.885,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00304414,-0.314307458,1,0,0,0.864375,stop_stud,0,11,11,7,1,group meeting,0.027,0.041,0.014,group,meeting,SF,images/group-meeting-sf.png,Candice,A4H31418X7MBU,36,yes,2020-12-26_18h45.08.885,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
