key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,AGE,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,9.15,-0.017801858,-0.300309598,1,0,0,6.708,cont1,-0.017801858,-0.300309598,1,0,0,1.882,stop_stud,0,0,0,18,1,report weather,0.015,0.024,0.009,report,weather,flu,images/report-weather-arial1.png,MD,A2C7EYRPWL8B3L,27,Yes,2020-12-26_19h42.16.403,weird_font_low_2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.017801858,-0.300309598,1,0,0,2.183,stop_stud,0,1,1,19,1,sheet cover,0.021,0.053,0.032,sheet,cover,SF,images/sheet-cover-sf.png,MD,A2C7EYRPWL8B3L,27,Yes,2020-12-26_19h42.16.403,weird_font_low_2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.017801858,-0.300309598,1,0,0,1.603,stop_stud,0,2,2,15,1,people world,0.014,0.03,0.016,people,world,SF,images/people-world-sf.png,MD,A2C7EYRPWL8B3L,27,Yes,2020-12-26_19h42.16.403,weird_font_low_2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.017801858,-0.300309598,1,0,0,1.418,stop_stud,0,3,3,0,1,angle corner,0.02,0.029,0.009,angle,corner,SF,images/angle-corner-sf.png,MD,A2C7EYRPWL8B3L,27,Yes,2020-12-26_19h42.16.403,weird_font_low_2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.017801858,-0.300309598,1,0,0,1.301,stop_stud,0,4,4,2,1,child mother,0.03,0.01,0.02,child,mother,SF,images/child-mother-sf.png,MD,A2C7EYRPWL8B3L,27,Yes,2020-12-26_19h42.16.403,weird_font_low_2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.017801858,-0.300309598,1,0,0,1.384,stop_stud,0,5,5,17,1,range rifle,0.015,0.028,0.013,range,rifle,flu,images/range-rifle-arial1.png,MD,A2C7EYRPWL8B3L,27,Yes,2020-12-26_19h42.16.403,weird_font_low_2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.017801858,-0.300309598,1,0,0,1.218,stop_stud,0,6,6,11,1,novel story,0.034,0.034,0,novel,story,flu,images/novel-story-arial1.png,MD,A2C7EYRPWL8B3L,27,Yes,2020-12-26_19h42.16.403,weird_font_low_2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.017801858,-0.300309598,1,0,0,1.167,stop_stud,0,7,7,8,1,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,MD,A2C7EYRPWL8B3L,27,Yes,2020-12-26_19h42.16.403,weird_font_low_2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.017801858,-0.300309598,1,0,0,1.202,stop_stud,0,8,8,16,1,quarter dollar,0.061,0.027,0.034,quarter,dollar,flu,images/quarter-dollar-arial1.png,MD,A2C7EYRPWL8B3L,27,Yes,2020-12-26_19h42.16.403,weird_font_low_2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.017801858,-0.300309598,1,0,0,1.135,stop_stud,0,9,9,22,1,throat voice,0.039,0.02,0.019,throat ,voice ,SF,images/throat-voice-sf.png,MD,A2C7EYRPWL8B3L,27,Yes,2020-12-26_19h42.16.403,weird_font_low_2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
