key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,AGE,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,16.66227,0.011697089,-0.299057397,1,0,0,13.710925,cont1,0.011697089,-0.299274095,1,0,0,2.08288,stop_stud,0,0,0,20,1,stick branch,0.067,0.047,0.02,stick,branch,SF,images/stick-branch-sf.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.011697089,-0.299274095,1,0,0,1.622515,stop_stud,0,1,1,14,1,paint picture,0.036,0.031,0.005,paint,picture,flu,images/paint-picture-arial1.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.011697089,-0.299274095,1,0,0,1.479455,stop_stud,0,2,2,1,1,block street,0.04,0.019,0.021,block,street,SF,images/block-street-sf.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.011697089,-0.299274095,1,0,0,1.495785,stop_stud,0,3,3,3,1,college student ,0.035,0.046,0.011,college,student,flu,images/college - student-arial1.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014514436,-0.301224558,1,0,0,1.75018,stop_stud,0,4,4,12,1,object symbol,0.014,0.021,0.007,object,symbol,SF,images/object-symbol-sf.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014514436,-0.301224558,1,0,0,1.442355,stop_stud,0,5,5,5,1,engine machine,0.033,0.027,0.006,engine,machine,flu,images/engine-machine-arial1.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014514436,-0.301224558,1,0,0,1.44617,stop_stud,0,6,6,9,1,nation state,0.042,0.055,0.013,nation,state,flu,images/nation-state-arial1.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014514436,-0.301224558,1,0,0,1.14632,stop_stud,0,7,7,18,1,report weather,0.015,0.024,0.009,report,weather,flu,images/report-weather-arial1.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014514436,-0.301224558,1,0,0,1.146565,stop_stud,0,8,8,0,1,angle corner,0.02,0.029,0.009,angle,corner,SF,images/angle-corner-sf.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014514436,-0.301224558,1,0,0,1.06373,stop_stud,0,9,9,23,1,train plane,0.051,0.049,0.002,train,plane,flu,images/train-plane-arial1.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014514436,-0.301224558,1,0,0,1.08183,stop_stud,0,10,10,16,1,quarter dollar,0.061,0.027,0.034,quarter,dollar,flu,images/quarter-dollar-arial1.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014514436,-0.301224558,1,0,0,1.13,stop_stud,0,11,11,8,1,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014514436,-0.301224558,1,0,0,1.03098,stop_stud,0,12,12,17,1,range rifle,0.015,0.028,0.013,range,rifle,flu,images/range-rifle-arial1.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014514436,-0.301224558,1,0,0,1.04582,stop_stud,0,13,13,22,1,throat voice,0.039,0.02,0.019,throat ,voice ,SF,images/throat-voice-sf.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014514436,-0.301224558,1,0,0,1.03347,stop_stud,0,14,14,7,1,group meeting,0.027,0.041,0.014,group,meeting,SF,images/group-meeting-sf.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014514436,-0.301224558,1,0,0,1.00967,stop_stud,0,15,15,10,1,native foreign,0.056,0.031,0.025,native,foreign,SF,images/native-foreign-sf.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014514436,-0.301224558,1,0,0,0.99717,stop_stud,0,16,16,19,1,sheet cover,0.021,0.053,0.032,sheet,cover,SF,images/sheet-cover-sf.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014514436,-0.301224558,1,0,0,1.0314,stop_stud,0,17,17,13,1,office doctor,0.014,0.01,0.004,office,doctor ,flu,images/office-doctor-arial1.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014514436,-0.301224558,1,0,0,1.12467,stop_stud,0,18,18,21,1,taste touch,0.016,0.012,0.004,taste,touch,SF,images/taste-touch-sf.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014514436,-0.301224558,1,0,0,1.048195,stop_stud,0,19,19,11,1,novel story,0.034,0.034,0,novel,story,flu,images/novel-story-arial1.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014514436,-0.301224558,1,0,0,1.08069,stop_stud,0,20,20,4,1,curve shape,0.018,0.011,0.007,curve,shape,flu,images/curve-shape-arial1.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014514436,-0.301224558,1,0,0,0.94048,stop_stud,0,21,21,15,1,people world,0.014,0.03,0.016,people,world,SF,images/people-world-sf.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014514436,-0.301224558,1,0,0,1.197615,stop_stud,0,22,22,2,1,child mother,0.03,0.01,0.02,child,mother,SF,images/child-mother-sf.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014514436,-0.301224558,1,0,0,1.197625,stop_stud,0,23,23,6,1,factory product,0.02,0.028,0.008,factory,product,SF,images/factory-product-sf.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,native foreign,0.056,0.031,0.025,native,foreign,SF,images/native-foreign-sf.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,51.45144355,0.09237,59.43556707,8.96554,0.003992525,-0.396959715,1,0,0,6.891085,polygon,people,-0.094743542,-0.020323239,1,0,0,1.692005,polygon_2,1,native,0,0,0,10,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,factory product,0.02,0.028,0.008,factory,product,SF,images/factory-product-sf.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,product,-0.055112543,-0.035688495,1,0,0,1.41439,polygon_2,1,factory,0,1,1,6,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,office doctor,0.014,0.01,0.004,office,doctor ,flu,images/office-doctor-arial1.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,worker,-0.060510162,-0.040602513,1,0,0,1.355735,polygon_2,1,office,0,2,2,13,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,throat voice,0.039,0.02,0.019,throat ,voice ,SF,images/throat-voice-sf.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,sick,-0.007611681,-0.020450632,1,0,0,1.586695,polygon_2,1,throat ,0,3,3,22,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,report weather,0.015,0.024,0.009,report,weather,flu,images/report-weather-arial1.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,paper,0.02344264,0.006551321,1,0,0,2.05496,polygon_2,1,report,0,4,4,18,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,group meeting,0.027,0.041,0.014,group,meeting,SF,images/group-meeting-sf.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,people,0.017226783,-0.02314522,1,0,0,1.762485,polygon_2,1,group,0,5,5,7,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,block street,0.04,0.019,0.021,block,street,SF,images/block-street-sf.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,party,-0.069681589,-0.007187234,1,0,0,1.62446,polygon_2,1,block,0,6,6,1,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,people world,0.014,0.03,0.016,people,world,SF,images/people-world-sf.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,stick,0.059840703,0.006106086,1,0,0,1.54172,polygon_2,1,people,0,7,7,15,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,taste touch,0.016,0.012,0.004,taste,touch,SF,images/taste-touch-sf.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,smell,-0.052962913,-0.021592907,1,0,0,1.408995,polygon_2,1,taste,0,8,8,21,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,engine machine,0.033,0.027,0.006,engine,machine,flu,images/engine-machine-arial1.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,running,-0.043694288,-0.010837916,1,0,0,1.43353,polygon_2,1,engine,0,9,9,5,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,nation state,0.042,0.055,0.013,nation,state,flu,images/nation-state-arial1.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,state,-0.009105895,0.006762282,1,0,0,1.44792,polygon_2,1,nation,0,10,10,9,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,,AK9CDGMQCBSIU,38,yes,2020-12-26_18h22.41.989,weird_font_low_2,2020.2.10,Linux x86_64,60,,,,,,,,,,,,time,-0.054302107,-0.013755902,1,0,0,1.388945,polygon_2,1,lunch,0,11,11,8,1,,,,,,,
