key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,AGE,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,4.54722,0.004316547,-0.288489209,1,0,0,5.15073,cont1,0.001438849,-0.324460432,1,0,0,4.065875,stop_stud,0,0,0,18,1,report weather,0.015,0.024,0.009,report,weather,flu,images/report-weather-arial1.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001438849,-0.324460432,1,0,0,2.196565,stop_stud,0,1,1,3,1,college student ,0.035,0.046,0.011,college,student,flu,images/college - student-arial1.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001438849,-0.324460432,1,0,0,2.172205,stop_stud,0,2,2,19,1,sheet cover,0.021,0.053,0.032,sheet,cover,SF,images/sheet-cover-sf.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001438849,-0.324460432,1,0,0,2.382465,stop_stud,0,3,3,11,1,novel story,0.034,0.034,0,novel,story,flu,images/novel-story-arial1.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001438849,-0.324460432,1,0,0,1.955655,stop_stud,0,4,4,5,1,engine machine,0.033,0.027,0.006,engine,machine,flu,images/engine-machine-arial1.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001438849,-0.324460432,1,0,0,1.917285,stop_stud,0,5,5,1,1,block street,0.04,0.019,0.021,block,street,SF,images/block-street-sf.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001438849,-0.324460432,1,0,0,1.570875,stop_stud,0,6,6,8,1,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001438849,-0.324460432,1,0,0,1.91581,stop_stud,0,7,7,22,1,throat voice,0.039,0.02,0.019,throat ,voice ,SF,images/throat-voice-sf.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001438849,-0.324460432,1,0,0,1.6645,stop_stud,0,8,8,14,1,paint picture,0.036,0.031,0.005,paint,picture,flu,images/paint-picture-arial1.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001438849,-0.323021583,1,0,0,1.783235,stop_stud,0,9,9,6,1,factory product,0.02,0.028,0.008,factory,product,SF,images/factory-product-sf.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001438849,-0.323021583,1,0,0,1.94397,stop_stud,0,10,10,12,1,object symbol,0.014,0.021,0.007,object,symbol,SF,images/object-symbol-sf.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001438849,-0.323021583,1,0,0,1.617515,stop_stud,0,11,11,0,1,angle corner,0.02,0.029,0.009,angle,corner,SF,images/angle-corner-sf.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001438849,-0.323021583,1,0,0,1.64001,stop_stud,0,12,12,21,1,taste touch,0.016,0.012,0.004,taste,touch,SF,images/taste-touch-sf.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001438849,-0.323021583,1,0,0,1.23439,stop_stud,0,13,13,16,1,quarter dollar,0.061,0.027,0.034,quarter,dollar,flu,images/quarter-dollar-arial1.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001438849,-0.323021583,1,0,0,1.620325,stop_stud,0,14,14,2,1,child mother,0.03,0.01,0.02,child,mother,SF,images/child-mother-sf.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001438849,-0.323021583,1,0,0,1.612,stop_stud,0,15,15,10,1,native foreign,0.056,0.031,0.025,native,foreign,SF,images/native-foreign-sf.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001438849,-0.323021583,1,0,0,1.45112,stop_stud,0,16,16,15,1,people world,0.014,0.03,0.016,people,world,SF,images/people-world-sf.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001438849,-0.323021583,1,0,0,1.68099,stop_stud,0,17,17,20,1,stick branch,0.067,0.047,0.02,stick,branch,SF,images/stick-branch-sf.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001438849,-0.323021583,1,0,0,1.70426,stop_stud,0,18,18,9,1,nation state,0.042,0.055,0.013,nation,state,flu,images/nation-state-arial1.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001438849,-0.323021583,1,0,0,1.61724,stop_stud,0,19,19,4,1,curve shape,0.018,0.011,0.007,curve,shape,flu,images/curve-shape-arial1.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001438849,-0.323021583,1,0,0,1.310385,stop_stud,0,20,20,13,1,office doctor,0.014,0.01,0.004,office,doctor ,flu,images/office-doctor-arial1.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001438849,-0.323021583,1,0,0,1.49709,stop_stud,0,21,21,7,1,group meeting,0.027,0.041,0.014,group,meeting,SF,images/group-meeting-sf.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001438849,-0.323021583,1,0,0,1.419175,stop_stud,0,22,22,17,1,range rifle,0.015,0.028,0.013,range,rifle,flu,images/range-rifle-arial1.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001438849,-0.323021583,1,0,0,1.17255,stop_stud,0,23,23,23,1,train plane,0.051,0.049,0.002,train,plane,flu,images/train-plane-arial1.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,nation state,0.042,0.055,0.013,nation,state,flu,images/nation-state-arial1.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,50.14388489,0.26208,99.78417266,6.217775,0.004316547,-0.435251799,1,0,0,6.770735,polygon,state,-0.048920863,-0.017985612,1,0,0,2.07507,polygon_2,1,nation,0,0,0,9,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,object symbol,0.014,0.021,0.007,object,symbol,SF,images/object-symbol-sf.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,-0.001438849,-0.301438849,1,0,0,1.940455,polygon_2,1,object,0,1,1,12,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,novel story,0.034,0.034,0,novel,story,flu,images/novel-story-arial1.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,-0.001438849,-0.301438849,1,0,0,1.65697,polygon_2,1,novel,0,2,2,11,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,throat voice,0.039,0.02,0.019,throat ,voice ,SF,images/throat-voice-sf.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,-0.001438849,-0.301438849,1,0,0,1.69337,polygon_2,1,throat ,0,3,3,22,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,group meeting,0.027,0.041,0.014,group,meeting,SF,images/group-meeting-sf.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,-0.001438849,-0.301438849,1,0,0,1.677325,polygon_2,1,group,0,4,4,7,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,office doctor,0.014,0.01,0.004,office,doctor ,flu,images/office-doctor-arial1.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,worker,-0.223021583,-0.00647482,1,0,0,3.901215,polygon_2,1,office,0,5,5,13,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,dinner,-0.129496403,-0.000719424,1,0,0,2.13249,polygon_2,1,lunch,0,6,6,8,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,block street,0.04,0.019,0.021,block,street,SF,images/block-street-sf.png,Steve,AKX5RHHO8BIUX,59,yes,2020-12-26_18h50.20.889,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,prevent,-0.261870504,-0.023741007,1,0,0,1.215065,polygon_2,1,block,0,7,7,1,1,,,,,,,
