key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,AGE,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,10.791,0.012471655,-0.327664399,1,0,0,8.786,cont1,0.012471655,-0.327664399,1,0,0,1.854,stop_stud,0,0,0,3,1,college student ,0.035,0.046,0.011,college,student,flu,images/college - student-arial1.png,by,A3DK4DDLEWCMM1,43,yes,2020-12-27_12h18.26.184,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.012471655,-0.327664399,1,0,0,1.628,stop_stud,0,1,1,1,1,block street,0.04,0.019,0.021,block,street,SF,images/block-street-sf.png,by,A3DK4DDLEWCMM1,43,yes,2020-12-27_12h18.26.184,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.012471655,-0.327664399,1,0,0,1.645,stop_stud,0,2,2,12,1,object symbol,0.014,0.021,0.007,object,symbol,SF,images/object-symbol-sf.png,by,A3DK4DDLEWCMM1,43,yes,2020-12-27_12h18.26.184,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.012471655,-0.327664399,1,0,0,1.414,stop_stud,0,3,3,23,1,train plane,0.051,0.049,0.002,train,plane,flu,images/train-plane-arial1.png,by,A3DK4DDLEWCMM1,43,yes,2020-12-27_12h18.26.184,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.012471655,-0.327664399,1,0,0,0.83,stop_stud,0,4,4,16,1,quarter dollar,0.061,0.027,0.034,quarter,dollar,flu,images/quarter-dollar-arial1.png,by,A3DK4DDLEWCMM1,43,yes,2020-12-27_12h18.26.184,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.012471655,-0.327664399,1,0,0,0.997,stop_stud,0,5,5,9,1,nation state,0.042,0.055,0.013,nation,state,flu,images/nation-state-arial1.png,by,A3DK4DDLEWCMM1,43,yes,2020-12-27_12h18.26.184,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.012471655,-0.327664399,1,0,0,1.215,stop_stud,0,6,6,5,1,engine machine,0.033,0.027,0.006,engine,machine,flu,images/engine-machine-arial1.png,by,A3DK4DDLEWCMM1,43,yes,2020-12-27_12h18.26.184,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.012471655,-0.327664399,1,0,0,0.964,stop_stud,0,7,7,7,1,group meeting,0.027,0.041,0.014,group,meeting,SF,images/group-meeting-sf.png,by,A3DK4DDLEWCMM1,43,yes,2020-12-27_12h18.26.184,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.012471655,-0.327664399,1,0,0,0.962,stop_stud,0,8,8,11,1,novel story,0.034,0.034,0,novel,story,flu,images/novel-story-arial1.png,by,A3DK4DDLEWCMM1,43,yes,2020-12-27_12h18.26.184,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.012471655,-0.327664399,1,0,0,1.18,stop_stud,0,9,9,21,1,taste touch,0.016,0.012,0.004,taste,touch,SF,images/taste-touch-sf.png,by,A3DK4DDLEWCMM1,43,yes,2020-12-27_12h18.26.184,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
