key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,AGE,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,19.364,-0.001597444,-0.313099042,1,0,0,11.133,cont1,-0.001597444,-0.313099042,1,0,0,4.682,stop_stud,0,0,0,12,1,object symbol,0.014,0.021,0.007,object,symbol,SF,images/object-symbol-sf.png,me,A33QOAS590VTQ5,36,yes,2020-12-26_15h48.25.962,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.001597444,-0.313099042,1,0,0,2.02,stop_stud,0,1,1,8,1,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,me,A33QOAS590VTQ5,36,yes,2020-12-26_15h48.25.962,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.001597444,-0.313099042,1,0,0,1.41,stop_stud,0,2,2,9,1,nation state,0.042,0.055,0.013,nation,state,flu,images/nation-state-arial1.png,me,A33QOAS590VTQ5,36,yes,2020-12-26_15h48.25.962,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.001597444,-0.313099042,1,0,0,1.343,stop_stud,0,3,3,18,1,report weather,0.015,0.024,0.009,report,weather,flu,images/report-weather-arial1.png,me,A33QOAS590VTQ5,36,yes,2020-12-26_15h48.25.962,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.001597444,-0.313099042,1,0,0,1.21,stop_stud,0,4,4,11,1,novel story,0.034,0.034,0,novel,story,flu,images/novel-story-arial1.png,me,A33QOAS590VTQ5,36,yes,2020-12-26_15h48.25.962,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.001597444,-0.313099042,1,0,0,1.609,stop_stud,0,5,5,21,1,taste touch,0.016,0.012,0.004,taste,touch,SF,images/taste-touch-sf.png,me,A33QOAS590VTQ5,36,yes,2020-12-26_15h48.25.962,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.001597444,-0.313099042,1,0,0,2.525,stop_stud,0,6,6,20,1,stick branch,0.067,0.047,0.02,stick,branch,SF,images/stick-branch-sf.png,me,A33QOAS590VTQ5,36,yes,2020-12-26_15h48.25.962,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.001597444,-0.313099042,1,0,0,1.326,stop_stud,0,7,7,3,1,college student ,0.035,0.046,0.011,college,student,flu,images/college - student-arial1.png,me,A33QOAS590VTQ5,36,yes,2020-12-26_15h48.25.962,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.001597444,-0.313099042,1,0,0,1.473,stop_stud,0,8,8,15,1,people world,0.014,0.03,0.016,people,world,SF,images/people-world-sf.png,me,A33QOAS590VTQ5,36,yes,2020-12-26_15h48.25.962,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.001597444,-0.313099042,1,0,0,1.577,stop_stud,0,9,9,19,1,sheet cover,0.021,0.053,0.032,sheet,cover,SF,images/sheet-cover-sf.png,me,A33QOAS590VTQ5,36,yes,2020-12-26_15h48.25.962,weird_font_low_2,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
