key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,177.67847,-0.00152207,-0.323439878,1,0,0,7.04878,cont1,-0.00152207,-0.323439878,1,0,0,3.497185,stop_stud,0,0,0,12,1,0.014,0.021,0.007,object,symbol,flu,images/object-symbol-arial1.png,5bef830d1e78580001dc03f6,2020-12-28_14h49.11.416,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea36a43ce806a2c015a557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00152207,-0.323439878,1,0,0,3.498155,stop_stud,0,1,1,2,1,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,5bef830d1e78580001dc03f6,2020-12-28_14h49.11.416,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea36a43ce806a2c015a557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00152207,-0.323439878,1,0,0,3.17181,stop_stud,0,2,2,21,1,0.016,0.012,0.004,taste,touch,flu,images/taste-touch-arial1.png,5bef830d1e78580001dc03f6,2020-12-28_14h49.11.416,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea36a43ce806a2c015a557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00152207,-0.323439878,1,0,0,3.33949,stop_stud,0,3,3,14,1,0.036,0.031,0.005,paint,picture,SF,images/paint-picture-sf.png,5bef830d1e78580001dc03f6,2020-12-28_14h49.11.416,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea36a43ce806a2c015a557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00152207,-0.323439878,1,0,0,1.72782,stop_stud,0,4,4,8,1,0.019,0.028,0.009,lunch,supper,SF,images/lunch-supper-sf.png,5bef830d1e78580001dc03f6,2020-12-28_14h49.11.416,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea36a43ce806a2c015a557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00152207,-0.323439878,1,0,0,2.12629,stop_stud,0,5,5,11,1,0.034,0.034,0,novel,story,SF,images/novel-story-sf.png,5bef830d1e78580001dc03f6,2020-12-28_14h49.11.416,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea36a43ce806a2c015a557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00152207,-0.323439878,1,0,0,4.80301,stop_stud,0,6,6,19,1,0.021,0.053,0.032,sheet,cover,flu,images/sheet-cover-arial1.png,5bef830d1e78580001dc03f6,2020-12-28_14h49.11.416,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea36a43ce806a2c015a557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00152207,-0.323439878,1,0,0,2.162015,stop_stud,0,7,7,1,1,0.04,0.019,0.021,block,street,flu,images/block-street-arial1.png,5bef830d1e78580001dc03f6,2020-12-28_14h49.11.416,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea36a43ce806a2c015a557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.01217656,-0.317351598,1,0,0,13.75571,stop_stud,0,8,8,16,1,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,5bef830d1e78580001dc03f6,2020-12-28_14h49.11.416,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea36a43ce806a2c015a557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.01217656,-0.314307458,1,0,0,2.77771,stop_stud,0,9,9,9,1,0.042,0.055,0.013,nation,state,SF,images/nation-state-sf.png,5bef830d1e78580001dc03f6,2020-12-28_14h49.11.416,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea36a43ce806a2c015a557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.01369863,-0.312785388,1,0,0,4.526945,stop_stud,0,10,10,23,1,0.051,0.049,0.002,train,plane,SF,images/train-plane-sf.png,5bef830d1e78580001dc03f6,2020-12-28_14h49.11.416,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea36a43ce806a2c015a557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.01369863,-0.312785388,1,0,0,5.947,stop_stud,0,11,11,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,5bef830d1e78580001dc03f6,2020-12-28_14h49.11.416,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea36a43ce806a2c015a557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.01369863,-0.312785388,1,0,0,4.057315,stop_stud,0,12,12,10,1,0.056,0.031,0.025,native,foreign,flu,images/native-foreign-arial1.png,5bef830d1e78580001dc03f6,2020-12-28_14h49.11.416,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea36a43ce806a2c015a557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.01369863,-0.312785388,1,0,0,2.960535,stop_stud,0,13,13,3,1,0.035,0.046,0.011,college,student,SF,images/college-student-sf.png,5bef830d1e78580001dc03f6,2020-12-28_14h49.11.416,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea36a43ce806a2c015a557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
