key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,18.76342,0.00152207,-0.309741248,1,0,0,13.0006,cont1,0.00152207,-0.320395738,1,0,0,2.311065,stop_stud,0,0,0,4,1,0.018,0.011,0.007,curve,shape,SF,images/curve-shape-sf.png,5dd3dc145e91193b816a60e1,2020-12-28_16h05.11.679,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea4869bb7b2955cbbd6637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00152207,-0.317351598,1,0,0,1.491525,stop_stud,0,1,1,2,1,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,5dd3dc145e91193b816a60e1,2020-12-28_16h05.11.679,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea4869bb7b2955cbbd6637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00152207,-0.317351598,1,0,0,1.443305,stop_stud,0,2,2,3,1,0.035,0.046,0.011,college,student,SF,images/college-student-sf.png,5dd3dc145e91193b816a60e1,2020-12-28_16h05.11.679,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea4869bb7b2955cbbd6637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00152207,-0.317351598,1,0,0,1.411235,stop_stud,0,3,3,16,1,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,5dd3dc145e91193b816a60e1,2020-12-28_16h05.11.679,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea4869bb7b2955cbbd6637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00152207,-0.317351598,1,0,0,1.21187,stop_stud,0,4,4,22,1,0.039,0.02,0.019,throat ,voice ,flu,images/throat-voice-arial1.png,5dd3dc145e91193b816a60e1,2020-12-28_16h05.11.679,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea4869bb7b2955cbbd6637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00152207,-0.317351598,1,0,0,0.79448,stop_stud,0,5,5,7,1,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,5dd3dc145e91193b816a60e1,2020-12-28_16h05.11.679,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea4869bb7b2955cbbd6637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00152207,-0.317351598,1,0,0,1.545655,stop_stud,0,6,6,0,1,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,5dd3dc145e91193b816a60e1,2020-12-28_16h05.11.679,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea4869bb7b2955cbbd6637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00152207,-0.317351598,1,0,0,0.929185,stop_stud,0,7,7,20,1,0.067,0.047,0.02,stick,branch,flu,images/stick-branch-arial1.png,5dd3dc145e91193b816a60e1,2020-12-28_16h05.11.679,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea4869bb7b2955cbbd6637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00152207,-0.317351598,1,0,0,0.728285,stop_stud,0,8,8,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,5dd3dc145e91193b816a60e1,2020-12-28_16h05.11.679,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea4869bb7b2955cbbd6637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00152207,-0.317351598,1,0,0,1.16243,stop_stud,0,9,9,23,1,0.051,0.049,0.002,train,plane,SF,images/train-plane-sf.png,5dd3dc145e91193b816a60e1,2020-12-28_16h05.11.679,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea4869bb7b2955cbbd6637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00152207,-0.317351598,1,0,0,0.89494,stop_stud,0,10,10,19,1,0.021,0.053,0.032,sheet,cover,flu,images/sheet-cover-arial1.png,5dd3dc145e91193b816a60e1,2020-12-28_16h05.11.679,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea4869bb7b2955cbbd6637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00152207,-0.317351598,1,0,0,0.76263,stop_stud,0,11,11,17,1,0.015,0.028,0.013,range,rifle,SF,images/range-rifle-sf.png,5dd3dc145e91193b816a60e1,2020-12-28_16h05.11.679,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea4869bb7b2955cbbd6637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00152207,-0.317351598,1,0,0,1.49815,stop_stud,0,12,12,5,1,0.033,0.027,0.006,engine,machine,SF,images/engine-machine-sf.png,5dd3dc145e91193b816a60e1,2020-12-28_16h05.11.679,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea4869bb7b2955cbbd6637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00152207,-0.317351598,1,0,0,0.662685,stop_stud,0,13,13,15,1,0.014,0.03,0.016,people,world,flu,images/people -world-arial1.png,5dd3dc145e91193b816a60e1,2020-12-28_16h05.11.679,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea4869bb7b2955cbbd6637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00152207,-0.317351598,1,0,0,0.9288,stop_stud,0,14,14,18,1,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,5dd3dc145e91193b816a60e1,2020-12-28_16h05.11.679,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea4869bb7b2955cbbd6637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
