key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,33.37855,0.014404448,-0.320498627,1,0,0,8.99759,cont1,0.014404448,-0.320498627,1,0,0,2.154085,stop_stud,0,0,0,13,1,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,5dda0a8b3c870a9824c901f5,2020-12-28_13h03.32.155,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea4807c39215a52c431672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014404448,-0.320498627,1,0,0,1.678275,stop_stud,0,1,1,11,1,0.034,0.034,0,novel,story,SF,images/novel-story-sf.png,5dda0a8b3c870a9824c901f5,2020-12-28_13h03.32.155,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea4807c39215a52c431672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014404448,-0.320498627,1,0,0,1.69678,stop_stud,0,2,2,0,1,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,5dda0a8b3c870a9824c901f5,2020-12-28_13h03.32.155,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea4807c39215a52c431672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014404448,-0.320498627,1,0,0,1.830945,stop_stud,0,3,3,10,1,0.056,0.031,0.025,native,foreign,flu,images/native-foreign-arial1.png,5dda0a8b3c870a9824c901f5,2020-12-28_13h03.32.155,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea4807c39215a52c431672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014404448,-0.320498627,1,0,0,1.59626,stop_stud,0,4,4,15,1,0.014,0.03,0.016,people,world,flu,images/people -world-arial1.png,5dda0a8b3c870a9824c901f5,2020-12-28_13h03.32.155,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea4807c39215a52c431672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014404448,-0.320498627,1,0,0,1.531995,stop_stud,0,5,5,2,1,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,5dda0a8b3c870a9824c901f5,2020-12-28_13h03.32.155,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea4807c39215a52c431672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014404448,-0.320498627,1,0,0,1.846005,stop_stud,0,6,6,5,1,0.033,0.027,0.006,engine,machine,SF,images/engine-machine-sf.png,5dda0a8b3c870a9824c901f5,2020-12-28_13h03.32.155,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea4807c39215a52c431672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014404448,-0.320498627,1,0,0,1.6457,stop_stud,0,7,7,19,1,0.021,0.053,0.032,sheet,cover,flu,images/sheet-cover-arial1.png,5dda0a8b3c870a9824c901f5,2020-12-28_13h03.32.155,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea4807c39215a52c431672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014404448,-0.320498627,1,0,0,1.426475,stop_stud,0,8,8,22,1,0.039,0.02,0.019,throat ,voice ,flu,images/throat-voice-arial1.png,5dda0a8b3c870a9824c901f5,2020-12-28_13h03.32.155,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea4807c39215a52c431672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014404448,-0.320498627,1,0,0,1.229705,stop_stud,0,9,9,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,5dda0a8b3c870a9824c901f5,2020-12-28_13h03.32.155,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea4807c39215a52c431672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
