key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,3.902235,0.016591252,-0.317496229,1,0,0,3.65188,cont1,0.016591252,-0.317496229,1,0,0,3.53239,stop_stud,0,0,0,4,1,0.018,0.011,0.007,curve,shape,SF,images/curve-shape-sf.png,5e2784b2cf46ff9ab1191cc9,2020-12-28_15h08.49.062,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3b44827f81a12165e181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.016591252,-0.317496229,1,0,0,2.693355,stop_stud,0,1,1,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,5e2784b2cf46ff9ab1191cc9,2020-12-28_15h08.49.062,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3b44827f81a12165e181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.016591252,-0.317496229,1,0,0,3.0759,stop_stud,0,2,2,1,1,0.04,0.019,0.021,block,street,flu,images/block-street-arial1.png,5e2784b2cf46ff9ab1191cc9,2020-12-28_15h08.49.062,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3b44827f81a12165e181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.016591252,-0.317496229,1,0,0,2.350495,stop_stud,0,3,3,17,1,0.015,0.028,0.013,range,rifle,SF,images/range-rifle-sf.png,5e2784b2cf46ff9ab1191cc9,2020-12-28_15h08.49.062,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3b44827f81a12165e181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.016591252,-0.317496229,1,0,0,2.184,stop_stud,0,4,4,8,1,0.019,0.028,0.009,lunch,supper,SF,images/lunch-supper-sf.png,5e2784b2cf46ff9ab1191cc9,2020-12-28_15h08.49.062,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3b44827f81a12165e181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.016591252,-0.317496229,1,0,0,2.592735,stop_stud,0,5,5,0,1,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,5e2784b2cf46ff9ab1191cc9,2020-12-28_15h08.49.062,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3b44827f81a12165e181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.016591252,-0.317496229,1,0,0,4.25722,stop_stud,0,6,6,18,1,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,5e2784b2cf46ff9ab1191cc9,2020-12-28_15h08.49.062,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3b44827f81a12165e181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.016591252,-0.317496229,1,0,0,2.33068,stop_stud,0,7,7,23,1,0.051,0.049,0.002,train,plane,SF,images/train-plane-sf.png,5e2784b2cf46ff9ab1191cc9,2020-12-28_15h08.49.062,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3b44827f81a12165e181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.016591252,-0.317496229,1,0,0,2.278065,stop_stud,0,8,8,10,1,0.056,0.031,0.025,native,foreign,flu,images/native-foreign-arial1.png,5e2784b2cf46ff9ab1191cc9,2020-12-28_15h08.49.062,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3b44827f81a12165e181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.016591252,-0.317496229,1,0,0,3.29538,stop_stud,0,9,9,14,1,0.036,0.031,0.005,paint,picture,SF,images/paint-picture-sf.png,5e2784b2cf46ff9ab1191cc9,2020-12-28_15h08.49.062,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3b44827f81a12165e181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.016591252,-0.317496229,1,0,0,2.170865,stop_stud,0,10,10,2,1,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,5e2784b2cf46ff9ab1191cc9,2020-12-28_15h08.49.062,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3b44827f81a12165e181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
