key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,4.510655,0.00858804,-0.328857719,1,0,0,6.079825,cont1,0.00858804,-0.328857719,1,0,0,2.505795,stop_stud,0,0,0,22,1,0.039,0.02,0.019,throat ,voice ,flu,images/throat-voice-arial1.png,5e8a30e32c33ae6d9a030603,2020-12-28_11h57.54.649,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea38b1fdb6e6a2c896e882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00858804,-0.328857719,1,0,0,1.764525,stop_stud,0,1,1,11,1,0.034,0.034,0,novel,story,SF,images/novel-story-sf.png,5e8a30e32c33ae6d9a030603,2020-12-28_11h57.54.649,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea38b1fdb6e6a2c896e882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00858804,-0.328857719,1,0,0,0.832265,stop_stud,0,2,2,0,1,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,5e8a30e32c33ae6d9a030603,2020-12-28_11h57.54.649,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea38b1fdb6e6a2c896e882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00858804,-0.328857719,1,0,0,1.015325,stop_stud,0,3,3,13,1,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,5e8a30e32c33ae6d9a030603,2020-12-28_11h57.54.649,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea38b1fdb6e6a2c896e882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00858804,-0.328857719,1,0,0,0.93306,stop_stud,0,4,4,16,1,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,5e8a30e32c33ae6d9a030603,2020-12-28_11h57.54.649,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea38b1fdb6e6a2c896e882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00858804,-0.328857719,1,0,0,0.7659,stop_stud,0,5,5,3,1,0.035,0.046,0.011,college,student,SF,images/college-student-sf.png,5e8a30e32c33ae6d9a030603,2020-12-28_11h57.54.649,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea38b1fdb6e6a2c896e882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00858804,-0.328857719,1,0,0,1.016255,stop_stud,0,6,6,17,1,0.015,0.028,0.013,range,rifle,SF,images/range-rifle-sf.png,5e8a30e32c33ae6d9a030603,2020-12-28_11h57.54.649,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea38b1fdb6e6a2c896e882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00858804,-0.328857719,1,0,0,1.96625,stop_stud,0,7,7,18,1,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,5e8a30e32c33ae6d9a030603,2020-12-28_11h57.54.649,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea38b1fdb6e6a2c896e882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00858804,-0.328857719,1,0,0,8.28131,stop_stud,0,8,8,1,1,0.04,0.019,0.021,block,street,flu,images/block-street-arial1.png,5e8a30e32c33ae6d9a030603,2020-12-28_11h57.54.649,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea38b1fdb6e6a2c896e882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000975373,-0.320774018,1,0,0,0.782685,stop_stud,0,9,9,20,1,0.067,0.047,0.02,stick,branch,flu,images/stick-branch-arial1.png,5e8a30e32c33ae6d9a030603,2020-12-28_11h57.54.649,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea38b1fdb6e6a2c896e882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000975373,-0.320774018,1,0,0,0.632425,stop_stud,0,10,10,7,1,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,5e8a30e32c33ae6d9a030603,2020-12-28_11h57.54.649,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea38b1fdb6e6a2c896e882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000975373,-0.320774018,1,0,0,0.49872,stop_stud,0,11,11,19,1,0.021,0.053,0.032,sheet,cover,flu,images/sheet-cover-arial1.png,5e8a30e32c33ae6d9a030603,2020-12-28_11h57.54.649,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea38b1fdb6e6a2c896e882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000975373,-0.320774018,1,0,0,0.68224,stop_stud,0,12,12,5,1,0.033,0.027,0.006,engine,machine,SF,images/engine-machine-sf.png,5e8a30e32c33ae6d9a030603,2020-12-28_11h57.54.649,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea38b1fdb6e6a2c896e882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000975373,-0.320774018,1,0,0,0.562735,stop_stud,0,13,13,14,1,0.036,0.031,0.005,paint,picture,SF,images/paint-picture-sf.png,5e8a30e32c33ae6d9a030603,2020-12-28_11h57.54.649,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea38b1fdb6e6a2c896e882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000975373,-0.320774018,1,0,0,0.54935,stop_stud,0,14,14,15,1,0.014,0.03,0.016,people,world,flu,images/people -world-arial1.png,5e8a30e32c33ae6d9a030603,2020-12-28_11h57.54.649,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea38b1fdb6e6a2c896e882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000975373,-0.320774018,1,0,0,0.56636,stop_stud,0,15,15,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,5e8a30e32c33ae6d9a030603,2020-12-28_11h57.54.649,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea38b1fdb6e6a2c896e882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
