key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,10.738405,-0.011671073,-0.319363407,1,0,0,9.44819,cont1,1.51778E-08,-0.322546431,1,0,0,2.377815,stop_stud,0,0,0,19,1,0.021,0.053,0.032,sheet,cover,flu,images/sheet-cover-arial1.png,5ec6d87390a76a10759f56df,2020-12-28_12h44.29.941,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea358b0c041e9f4e844bf1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001061023,-0.322546431,1,0,0,1.62505,stop_stud,0,1,1,8,1,0.019,0.028,0.009,lunch,supper,SF,images/lunch-supper-sf.png,5ec6d87390a76a10759f56df,2020-12-28_12h44.29.941,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea358b0c041e9f4e844bf1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001061023,-0.322546431,1,0,0,1.59589,stop_stud,0,2,2,7,1,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,5ec6d87390a76a10759f56df,2020-12-28_12h44.29.941,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea358b0c041e9f4e844bf1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001061023,-0.322546431,1,0,0,1.21242,stop_stud,0,3,3,23,1,0.051,0.049,0.002,train,plane,SF,images/train-plane-sf.png,5ec6d87390a76a10759f56df,2020-12-28_12h44.29.941,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea358b0c041e9f4e844bf1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001061023,-0.322546431,1,0,0,0.997165,stop_stud,0,4,4,9,1,0.042,0.055,0.013,nation,state,SF,images/nation-state-sf.png,5ec6d87390a76a10759f56df,2020-12-28_12h44.29.941,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea358b0c041e9f4e844bf1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001061023,-0.322546431,1,0,0,1.180335,stop_stud,0,5,5,16,1,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,5ec6d87390a76a10759f56df,2020-12-28_12h44.29.941,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea358b0c041e9f4e844bf1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001061023,-0.322546431,1,0,0,1.180475,stop_stud,0,6,6,12,1,0.014,0.021,0.007,object,symbol,flu,images/object-symbol-arial1.png,5ec6d87390a76a10759f56df,2020-12-28_12h44.29.941,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea358b0c041e9f4e844bf1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001061023,-0.322546431,1,0,0,1.079875,stop_stud,0,7,7,17,1,0.015,0.028,0.013,range,rifle,SF,images/range-rifle-sf.png,5ec6d87390a76a10759f56df,2020-12-28_12h44.29.941,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea358b0c041e9f4e844bf1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001061023,-0.322546431,1,0,0,0.86432,stop_stud,0,8,8,5,1,0.033,0.027,0.006,engine,machine,SF,images/engine-machine-sf.png,5ec6d87390a76a10759f56df,2020-12-28_12h44.29.941,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea358b0c041e9f4e844bf1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001061023,-0.322546431,1,0,0,0.928665,stop_stud,0,9,9,14,1,0.036,0.031,0.005,paint,picture,SF,images/paint-picture-sf.png,5ec6d87390a76a10759f56df,2020-12-28_12h44.29.941,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea358b0c041e9f4e844bf1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
