key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,7.283,0.003759398,-0.285714286,1,0,0,7.489,cont1,0.003759398,-0.285714286,1,0,0,1.806,stop_stud,0,0,0,3,1,0.035,0.046,0.011,college,student,SF,images/college-student-sf.png,5ecc2f6c079cdc80b6b589f7,2020-12-28_15h05.55.345,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3a9126fd08533729869f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.003759398,-0.285714286,1,0,0,1.616,stop_stud,0,1,1,10,1,0.056,0.031,0.025,native,foreign,flu,images/native-foreign-arial1.png,5ecc2f6c079cdc80b6b589f7,2020-12-28_15h05.55.345,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3a9126fd08533729869f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.003759398,-0.285714286,1,0,0,1.458,stop_stud,0,2,2,7,1,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,5ecc2f6c079cdc80b6b589f7,2020-12-28_15h05.55.345,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3a9126fd08533729869f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.003759398,-0.285714286,1,0,0,1.812,stop_stud,0,3,3,2,1,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,5ecc2f6c079cdc80b6b589f7,2020-12-28_15h05.55.345,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3a9126fd08533729869f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.003759398,-0.285714286,1,0,0,1.778,stop_stud,0,4,4,0,1,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,5ecc2f6c079cdc80b6b589f7,2020-12-28_15h05.55.345,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3a9126fd08533729869f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.003759398,-0.285714286,1,0,0,1.577,stop_stud,0,5,5,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,5ecc2f6c079cdc80b6b589f7,2020-12-28_15h05.55.345,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3a9126fd08533729869f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.003759398,-0.285714286,1,0,0,1.328,stop_stud,0,6,6,21,1,0.016,0.012,0.004,taste,touch,flu,images/taste-touch-arial1.png,5ecc2f6c079cdc80b6b589f7,2020-12-28_15h05.55.345,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3a9126fd08533729869f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.003759398,-0.285714286,1,0,0,1.546,stop_stud,0,7,7,23,1,0.051,0.049,0.002,train,plane,SF,images/train-plane-sf.png,5ecc2f6c079cdc80b6b589f7,2020-12-28_15h05.55.345,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3a9126fd08533729869f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.003759398,-0.285714286,1,0,0,1.811,stop_stud,0,8,8,5,1,0.033,0.027,0.006,engine,machine,SF,images/engine-machine-sf.png,5ecc2f6c079cdc80b6b589f7,2020-12-28_15h05.55.345,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3a9126fd08533729869f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.003759398,-0.285714286,1,0,0,1.429,stop_stud,0,9,9,16,1,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,5ecc2f6c079cdc80b6b589f7,2020-12-28_15h05.55.345,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3a9126fd08533729869f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
