key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,2.537525,0.001153438,-0.275086505,1,0,0,4.958585,cont1,-0.01038059,-0.314302216,1,0,0,1.988625,stop_stud,0,0,0,9,1,0.042,0.055,0.013,nation,state,SF,images/nation-state-sf.png,5ee50130f8d19d080bcc8263,2020-12-28_14h54.46.639,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea37aa197628a12a117606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.018454338,-0.316609021,1,0,0,0.83706,stop_stud,0,1,1,22,1,0.039,0.02,0.019,throat ,voice ,flu,images/throat-voice-arial1.png,5ee50130f8d19d080bcc8263,2020-12-28_14h54.46.639,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea37aa197628a12a117606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.018454338,-0.316609021,1,0,0,1.66,stop_stud,0,2,2,16,1,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,5ee50130f8d19d080bcc8263,2020-12-28_14h54.46.639,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea37aa197628a12a117606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.008073715,-0.320069229,1,0,0,1.31233,stop_stud,0,3,3,11,1,0.034,0.034,0,novel,story,SF,images/novel-story-sf.png,5ee50130f8d19d080bcc8263,2020-12-28_14h54.46.639,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea37aa197628a12a117606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.008073715,-0.320069229,1,0,0,1.05913,stop_stud,0,4,4,18,1,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,5ee50130f8d19d080bcc8263,2020-12-28_14h54.46.639,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea37aa197628a12a117606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.008073715,-0.320069229,1,0,0,0.928945,stop_stud,0,5,5,1,1,0.04,0.019,0.021,block,street,flu,images/block-street-arial1.png,5ee50130f8d19d080bcc8263,2020-12-28_14h54.46.639,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea37aa197628a12a117606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.008073715,-0.320069229,1,0,0,1.04479,stop_stud,0,6,6,3,1,0.035,0.046,0.011,college,student,SF,images/college-student-sf.png,5ee50130f8d19d080bcc8263,2020-12-28_14h54.46.639,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea37aa197628a12a117606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.008073715,-0.320069229,1,0,0,1.11047,stop_stud,0,7,7,15,1,0.014,0.03,0.016,people,world,flu,images/people -world-arial1.png,5ee50130f8d19d080bcc8263,2020-12-28_14h54.46.639,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea37aa197628a12a117606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.009227188,-0.325836312,1,0,0,1.41358,stop_stud,0,8,8,4,1,0.018,0.011,0.007,curve,shape,SF,images/curve-shape-sf.png,5ee50130f8d19d080bcc8263,2020-12-28_14h54.46.639,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea37aa197628a12a117606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006920382,-0.34313735,1,0,0,1.092325,stop_stud,0,9,9,0,1,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,5ee50130f8d19d080bcc8263,2020-12-28_14h54.46.639,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea37aa197628a12a117606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006920382,-0.336216935,1,0,0,0.99772,stop_stud,0,10,10,2,1,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,5ee50130f8d19d080bcc8263,2020-12-28_14h54.46.639,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea37aa197628a12a117606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006920382,-0.336216935,1,0,0,0.93908,stop_stud,0,11,11,10,1,0.056,0.031,0.025,native,foreign,flu,images/native-foreign-arial1.png,5ee50130f8d19d080bcc8263,2020-12-28_14h54.46.639,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea37aa197628a12a117606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006920382,-0.336216935,1,0,0,1.012865,stop_stud,0,12,12,19,1,0.021,0.053,0.032,sheet,cover,flu,images/sheet-cover-arial1.png,5ee50130f8d19d080bcc8263,2020-12-28_14h54.46.639,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea37aa197628a12a117606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006920382,-0.336216935,1,0,0,1.02643,stop_stud,0,13,13,17,1,0.015,0.028,0.013,range,rifle,SF,images/range-rifle-sf.png,5ee50130f8d19d080bcc8263,2020-12-28_14h54.46.639,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea37aa197628a12a117606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006920382,-0.336216935,1,0,0,0.911255,stop_stud,0,14,14,23,1,0.051,0.049,0.002,train,plane,SF,images/train-plane-sf.png,5ee50130f8d19d080bcc8263,2020-12-28_14h54.46.639,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea37aa197628a12a117606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006920382,-0.336216935,1,0,0,0.8499,stop_stud,0,15,15,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,5ee50130f8d19d080bcc8263,2020-12-28_14h54.46.639,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea37aa197628a12a117606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006920382,-0.336216935,1,0,0,1.04138,stop_stud,0,16,16,8,1,0.019,0.028,0.009,lunch,supper,SF,images/lunch-supper-sf.png,5ee50130f8d19d080bcc8263,2020-12-28_14h54.46.639,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea37aa197628a12a117606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006920382,-0.336216935,1,0,0,0.87702,stop_stud,0,17,17,21,1,0.016,0.012,0.004,taste,touch,flu,images/taste-touch-arial1.png,5ee50130f8d19d080bcc8263,2020-12-28_14h54.46.639,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea37aa197628a12a117606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006920382,-0.336216935,1,0,0,0.862085,stop_stud,0,18,18,12,1,0.014,0.021,0.007,object,symbol,flu,images/object-symbol-arial1.png,5ee50130f8d19d080bcc8263,2020-12-28_14h54.46.639,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea37aa197628a12a117606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.01038059,-0.331603254,1,0,0,0.87678,stop_stud,0,19,19,20,1,0.067,0.047,0.02,stick,branch,flu,images/stick-branch-arial1.png,5ee50130f8d19d080bcc8263,2020-12-28_14h54.46.639,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea37aa197628a12a117606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.01038059,-0.328143047,1,0,0,0.845545,stop_stud,0,20,20,7,1,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,5ee50130f8d19d080bcc8263,2020-12-28_14h54.46.639,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea37aa197628a12a117606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
