key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,6.39882,-0.001061481,-0.344615107,1,0,0,14.03322,cont1,0.007324219,-0.315472147,1,0,0,11.951535,stop_stud,0,0,0,9,1,0.042,0.055,0.013,nation,state,SF,images/nation-state-sf.png,5f89b218ad8da60967bb34b1,2020-12-28_13h53.54.078,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea37c0341f429d2220f327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.007324219,-0.315472147,1,0,0,1.745205,stop_stud,0,1,1,14,1,0.036,0.031,0.005,paint,picture,SF,images/paint-picture-sf.png,5f89b218ad8da60967bb34b1,2020-12-28_13h53.54.078,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea37c0341f429d2220f327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00364088,-0.331585428,1,0,0,3.748755,stop_stud,0,2,2,1,1,0.04,0.019,0.021,block,street,flu,images/block-street-arial1.png,5f89b218ad8da60967bb34b1,2020-12-28_13h53.54.078,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea37c0341f429d2220f327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00364088,-0.331585428,1,0,0,1.631885,stop_stud,0,3,3,5,1,0.033,0.027,0.006,engine,machine,SF,images/engine-machine-sf.png,5f89b218ad8da60967bb34b1,2020-12-28_13h53.54.078,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea37c0341f429d2220f327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002292799,-0.293170431,1,0,0,3.780975,stop_stud,0,4,4,0,1,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,5f89b218ad8da60967bb34b1,2020-12-28_13h53.54.078,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea37c0341f429d2220f327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002680239,-0.330094047,1,0,0,4.38284,stop_stud,0,5,5,21,1,0.016,0.012,0.004,taste,touch,flu,images/taste-touch-arial1.png,5f89b218ad8da60967bb34b1,2020-12-28_13h53.54.078,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea37c0341f429d2220f327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002680239,-0.330094047,1,0,0,1.564995,stop_stud,0,6,6,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,5f89b218ad8da60967bb34b1,2020-12-28_13h53.54.078,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea37c0341f429d2220f327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.009558636,-0.308254076,1,0,0,3.598015,stop_stud,0,7,7,2,1,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,5f89b218ad8da60967bb34b1,2020-12-28_13h53.54.078,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea37c0341f429d2220f327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.009558636,-0.308254076,1,0,0,0.713785,stop_stud,0,8,8,20,1,0.067,0.047,0.02,stick,branch,flu,images/stick-branch-arial1.png,5f89b218ad8da60967bb34b1,2020-12-28_13h53.54.078,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea37c0341f429d2220f327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.009558636,-0.308254076,1,0,0,1.099155,stop_stud,0,9,9,23,1,0.051,0.049,0.002,train,plane,SF,images/train-plane-sf.png,5f89b218ad8da60967bb34b1,2020-12-28_13h53.54.078,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea37c0341f429d2220f327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
