key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,3.091,0.025607639,-0.328993056,1,0,0,4.113,cont1,0.013454861,-0.328993056,1,0,0,2.308,stop_stud,0,0,0,16,1,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,5fbbfbad60761c051906a9df,2020-12-28_12h10.26.676,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea3ba46d65c5a2c35295e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.013454861,-0.328993056,1,0,0,1.449,stop_stud,0,1,1,0,1,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,5fbbfbad60761c051906a9df,2020-12-28_12h10.26.676,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea3ba46d65c5a2c35295e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.013454861,-0.328993056,1,0,0,0.998,stop_stud,0,2,2,1,1,0.04,0.019,0.021,block,street,flu,images/block-street-arial1.png,5fbbfbad60761c051906a9df,2020-12-28_12h10.26.676,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea3ba46d65c5a2c35295e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.013454861,-0.328993056,1,0,0,2.233,stop_stud,0,3,3,23,1,0.051,0.049,0.002,train,plane,SF,images/train-plane-sf.png,5fbbfbad60761c051906a9df,2020-12-28_12h10.26.676,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea3ba46d65c5a2c35295e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.013454861,-0.328993056,1,0,0,1.149,stop_stud,0,4,4,22,1,0.039,0.02,0.019,throat ,voice ,flu,images/throat-voice-arial1.png,5fbbfbad60761c051906a9df,2020-12-28_12h10.26.676,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea3ba46d65c5a2c35295e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.013454861,-0.328993056,1,0,0,2.601,stop_stud,0,5,5,13,1,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,5fbbfbad60761c051906a9df,2020-12-28_12h10.26.676,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea3ba46d65c5a2c35295e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.013454861,-0.328993056,1,0,0,2.965,stop_stud,0,6,6,9,1,0.042,0.055,0.013,nation,state,SF,images/nation-state-sf.png,5fbbfbad60761c051906a9df,2020-12-28_12h10.26.676,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea3ba46d65c5a2c35295e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.013454861,-0.328993056,1,0,0,1.067,stop_stud,0,7,7,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,5fbbfbad60761c051906a9df,2020-12-28_12h10.26.676,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea3ba46d65c5a2c35295e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.013454861,-0.328993056,1,0,0,1.448,stop_stud,0,8,8,17,1,0.015,0.028,0.013,range,rifle,SF,images/range-rifle-sf.png,5fbbfbad60761c051906a9df,2020-12-28_12h10.26.676,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea3ba46d65c5a2c35295e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.013454861,-0.328993056,1,0,0,1.366,stop_stud,0,9,9,7,1,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,5fbbfbad60761c051906a9df,2020-12-28_12h10.26.676,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea3ba46d65c5a2c35295e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.013454861,-0.328993056,1,0,0,1.4,stop_stud,0,10,10,2,1,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,5fbbfbad60761c051906a9df,2020-12-28_12h10.26.676,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea3ba46d65c5a2c35295e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.013454861,-0.328993056,1,0,0,1.817,stop_stud,0,11,11,14,1,0.036,0.031,0.005,paint,picture,SF,images/paint-picture-sf.png,5fbbfbad60761c051906a9df,2020-12-28_12h10.26.676,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea3ba46d65c5a2c35295e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.013454861,-0.328993056,1,0,0,1.266,stop_stud,0,12,12,10,1,0.056,0.031,0.025,native,foreign,flu,images/native-foreign-arial1.png,5fbbfbad60761c051906a9df,2020-12-28_12h10.26.676,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea3ba46d65c5a2c35295e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.013454861,-0.328993056,1,0,0,1.817,stop_stud,0,13,13,8,1,0.019,0.028,0.009,lunch,supper,SF,images/lunch-supper-sf.png,5fbbfbad60761c051906a9df,2020-12-28_12h10.26.676,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea3ba46d65c5a2c35295e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.013454861,-0.328993056,1,0,0,1.549,stop_stud,0,14,14,11,1,0.034,0.034,0,novel,story,SF,images/novel-story-sf.png,5fbbfbad60761c051906a9df,2020-12-28_12h10.26.676,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea3ba46d65c5a2c35295e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
