key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,19.038515,0.003201708,-0.317502668,1,0,0,15.374885,cont1,-0.007470651,-0.31963714,1,0,0,2.517255,stop_stud,0,0,0,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,5fc26dcdfffc130cf3e3d951,2020-12-28_16h05.41.210,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea488d2c2ee655e707e24c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,-0.313233725,1,0,0,3.02614,stop_stud,0,1,1,12,1,0.014,0.021,0.007,object,symbol,flu,images/object-symbol-arial1.png,5fc26dcdfffc130cf3e3d951,2020-12-28_16h05.41.210,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea488d2c2ee655e707e24c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.005336179,-0.30149413,1,0,0,1.38188,stop_stud,0,2,2,9,1,0.042,0.055,0.013,nation,state,SF,images/nation-state-sf.png,5fc26dcdfffc130cf3e3d951,2020-12-28_16h05.41.210,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea488d2c2ee655e707e24c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.006403415,-0.298292423,1,0,0,1.435005,stop_stud,0,3,3,16,1,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,5fc26dcdfffc130cf3e3d951,2020-12-28_16h05.41.210,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea488d2c2ee655e707e24c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.003201708,-0.296157951,1,0,0,2.09877,stop_stud,0,4,4,13,1,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,5fc26dcdfffc130cf3e3d951,2020-12-28_16h05.41.210,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea488d2c2ee655e707e24c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.003201708,-0.296157951,1,0,0,1.76136,stop_stud,0,5,5,17,1,0.015,0.028,0.013,range,rifle,SF,images/range-rifle-sf.png,5fc26dcdfffc130cf3e3d951,2020-12-28_16h05.41.210,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea488d2c2ee655e707e24c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.003201708,-0.296157951,1,0,0,1.51307,stop_stud,0,6,6,2,1,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,5fc26dcdfffc130cf3e3d951,2020-12-28_16h05.41.210,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea488d2c2ee655e707e24c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.003201708,-0.296157951,1,0,0,6.499095,stop_stud,0,7,7,20,1,0.067,0.047,0.02,stick,branch,flu,images/stick-branch-arial1.png,5fc26dcdfffc130cf3e3d951,2020-12-28_16h05.41.210,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea488d2c2ee655e707e24c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.003201708,-0.296157951,1,0,0,2.448295,stop_stud,0,8,8,18,1,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,5fc26dcdfffc130cf3e3d951,2020-12-28_16h05.41.210,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea488d2c2ee655e707e24c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.020277481,-0.316435432,1,0,0,1.79836,stop_stud,0,9,9,1,1,0.04,0.019,0.021,block,street,flu,images/block-street-arial1.png,5fc26dcdfffc130cf3e3d951,2020-12-28_16h05.41.210,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea488d2c2ee655e707e24c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
