key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,66.80424,-0.0064,-0.3208,1,0,0,48.94484,cont1,-0.0064,-0.3256,1,0,0,3.59871,stop_stud,0,0,0,16,1,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0064,-0.3272,1,0,0,3.961105,stop_stud,0,1,1,13,1,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0112,-0.3272,1,0,0,2.74782,stop_stud,0,2,2,17,1,0.015,0.028,0.013,range,rifle,SF,images/range-rifle-sf.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0112,-0.3272,1,0,0,2.412185,stop_stud,0,3,3,8,1,0.019,0.028,0.009,lunch,supper,SF,images/lunch-supper-sf.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0112,-0.3272,1,0,0,2.96407,stop_stud,0,4,4,14,1,0.036,0.031,0.005,paint,picture,SF,images/paint-picture-sf.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0112,-0.3272,1,0,0,2.26352,stop_stud,0,5,5,22,1,0.039,0.02,0.019,throat ,voice ,flu,images/throat-voice-arial1.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0112,-0.3272,1,0,0,1.96284,stop_stud,0,6,6,7,1,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0192,-0.3336,1,0,0,3.71602,stop_stud,0,7,7,18,1,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.024,-0.3368,1,0,0,3.54768,stop_stud,0,8,8,21,1,0.016,0.012,0.004,taste,touch,flu,images/taste-touch-arial1.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0016,-0.3096,1,0,0,2.514225,stop_stud,0,9,9,3,1,0.035,0.046,0.011,college,student,SF,images/college-student-sf.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,-0.3096,1,0,0,2.61547,stop_stud,0,10,10,11,1,0.034,0.034,0,novel,story,SF,images/novel-story-sf.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,-0.3096,1,0,0,2.246495,stop_stud,0,11,11,1,1,0.04,0.019,0.021,block,street,flu,images/block-street-arial1.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,-0.3096,1,0,0,5.57986,stop_stud,0,12,12,9,1,0.042,0.055,0.013,nation,state,SF,images/nation-state-sf.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,-0.3096,1,0,0,4.94718,stop_stud,0,13,13,23,1,0.051,0.049,0.002,train,plane,SF,images/train-plane-sf.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,-0.3096,1,0,0,3.746265,stop_stud,0,14,14,15,1,0.014,0.03,0.016,people,world,flu,images/people -world-arial1.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,-0.3096,1,0,0,2.64682,stop_stud,0,15,15,12,1,0.014,0.021,0.007,object,symbol,flu,images/object-symbol-arial1.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,-0.3096,1,0,0,2.863375,stop_stud,0,16,16,0,1,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0048,-0.3096,1,0,0,7.13076,stop_stud,0,17,17,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0064,-0.3128,1,0,0,4.682465,stop_stud,0,18,18,2,1,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.008,-0.3128,1,0,0,3.180565,stop_stud,0,19,19,10,1,0.056,0.031,0.025,native,foreign,flu,images/native-foreign-arial1.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0096,-0.3128,1,0,0,2.513075,stop_stud,0,20,20,4,1,0.018,0.011,0.007,curve,shape,SF,images/curve-shape-sf.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0016,-0.3304,1,0,0,2.363685,stop_stud,0,21,21,19,1,0.021,0.053,0.032,sheet,cover,flu,images/sheet-cover-arial1.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.008,-0.3384,1,0,0,3.097375,stop_stud,0,22,22,5,1,0.033,0.027,0.006,engine,machine,SF,images/engine-machine-sf.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.008,-0.3384,1,0,0,2.879995,stop_stud,0,23,23,20,1,0.067,0.047,0.02,stick,branch,flu,images/stick-branch-arial1.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.036,0.031,0.005,paint,picture,SF,images/paint-picture-sf.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,49.2,0.093395,93.84,15.11766,-0.0064,-0.4104,1,0,0,13.242235,polygon,picture,0.0064,-0.012,1,0,0,2.671125,polygon_2,1,paint,0,0,0,14,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,0.008,-0.3048,1,0,0,3.787435,polygon_2,1,report,0,1,1,18,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,mother,0.0544,-0.012,1,0,0,1.396875,polygon_2,1,child,0,2,2,2,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.016,0.012,0.004,taste,touch,flu,images/taste-touch-arial1.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,smell,0.0832,0.0008,1,0,0,1.676785,polygon_2,1,taste,0,3,3,21,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,meeting,0.0608,0.0024,1,0,0,2.02727,polygon_2,1,group,0,4,4,7,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.021,0.053,0.032,sheet,cover,flu,images/sheet-cover-arial1.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,music,0.12,0.0072,1,0,0,2.475685,polygon_2,1,sheet,0,5,5,19,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.039,0.02,0.019,throat ,voice ,flu,images/throat-voice-arial1.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,mouth,0.0352,0.0104,1,0,0,1.659185,polygon_2,1,throat ,0,6,6,22,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.056,0.031,0.025,native,foreign,flu,images/native-foreign-arial1.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,foreign,0.0704,0.0248,1,0,0,1.593775,polygon_2,1,native,0,7,7,10,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.015,0.028,0.013,range,rifle,SF,images/range-rifle-sf.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,rifle,0.0928,-0.0184,1,0,0,1.627745,polygon_2,1,range,0,8,8,17,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.033,0.027,0.006,engine,machine,SF,images/engine-machine-sf.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,0.0032,-0.3048,1,0,0,5.375275,polygon_2,1,engine,0,9,9,5,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.067,0.047,0.02,stick,branch,flu,images/stick-branch-arial1.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,0.0944,0.0072,1,0,0,4.414275,polygon_2,1,stick,0,10,10,20,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.04,0.019,0.021,block,street,flu,images/block-street-arial1.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,0.1136,0.0056,1,0,0,7.427495,polygon_2,1,block,0,11,11,1,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.018,0.011,0.007,curve,shape,SF,images/curve-shape-sf.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,0.0016,-0.3096,1,0,0,1.110055,polygon_2,1,curve,0,12,12,4,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.051,0.049,0.002,train,plane,SF,images/train-plane-sf.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,plane,0.0928,-0.0072,1,0,0,1.299445,polygon_2,1,train,0,13,13,23,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.035,0.046,0.011,college,student,SF,images/college-student-sf.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,student,0.0864,-0.0056,1,0,0,2.710225,polygon_2,1,college,0,14,14,3,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,product,0.0848,0.0008,1,0,0,2.093185,polygon_2,1,factory,0,15,15,6,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.019,0.028,0.009,lunch,supper,SF,images/lunch-supper-sf.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,dinner,0.0752,0.0088,1,0,0,1.9102,polygon_2,1,lunch,0,16,16,8,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.034,0.034,0,novel,story,SF,images/novel-story-sf.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,story,0.0736,-0.0104,1,0,0,2.025,polygon_2,1,novel,0,17,17,11,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,corner,0.08,0.0024,1,0,0,1.657065,polygon_2,1,angle,0,18,18,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.014,0.03,0.016,people,world,flu,images/people -world-arial1.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,world,0.008,0.02,1,0,0,1.42911,polygon_2,1,people,0,19,19,15,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,dollar,-0.0016,0.0152,1,0,0,1.743155,polygon_2,1,quarter,0,20,20,16,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.042,0.055,0.013,nation,state,SF,images/nation-state-sf.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,state,0.088,0.0136,1,0,0,2.55901,polygon_2,1,nation,0,21,21,9,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.014,0.021,0.007,object,symbol,flu,images/object-symbol-arial1.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,thing,-0.0128,-0.0008,1,0,0,2.7255,polygon_2,1,object,0,22,22,12,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,meeting,0.1056,-0.004,1,0,0,1.442975,polygon_2,1,office,0,23,23,13,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fc389e2c42314669487410a,2020-12-28_14h01.11.455,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea39484cfb7d53e527031a,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0048,-0.292,1,0,0,15.373305,end_polygon
