key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,7.15,0.009589041,-0.309589041,1,0,0,8.787,cont1,0.009589041,-0.309589041,1,0,0,1.528,stop_stud,0,0,0,20,1,0.067,0.047,0.02,stick,branch,flu,images/stick-branch-arial1.png,5fcac27c64514e7530482d6b,2020-12-28_15h04.49.069,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3a2d51f3a9a24a53ab30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.009589041,-0.309589041,1,0,0,0.958,stop_stud,0,1,1,19,1,0.021,0.053,0.032,sheet,cover,flu,images/sheet-cover-arial1.png,5fcac27c64514e7530482d6b,2020-12-28_15h04.49.069,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3a2d51f3a9a24a53ab30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.009589041,-0.309589041,1,0,0,1.013,stop_stud,0,2,2,12,1,0.014,0.021,0.007,object,symbol,flu,images/object-symbol-arial1.png,5fcac27c64514e7530482d6b,2020-12-28_15h04.49.069,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3a2d51f3a9a24a53ab30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.009589041,-0.309589041,1,0,0,1.195,stop_stud,0,3,3,4,1,0.018,0.011,0.007,curve,shape,SF,images/curve-shape-sf.png,5fcac27c64514e7530482d6b,2020-12-28_15h04.49.069,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3a2d51f3a9a24a53ab30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.009589041,-0.309589041,1,0,0,0.76,stop_stud,0,4,4,15,1,0.014,0.03,0.016,people,world,flu,images/people -world-arial1.png,5fcac27c64514e7530482d6b,2020-12-28_15h04.49.069,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3a2d51f3a9a24a53ab30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.009589041,-0.309589041,1,0,0,1.18,stop_stud,0,5,5,1,1,0.04,0.019,0.021,block,street,flu,images/block-street-arial1.png,5fcac27c64514e7530482d6b,2020-12-28_15h04.49.069,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3a2d51f3a9a24a53ab30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.009589041,-0.306849315,1,0,0,0.865,stop_stud,0,6,6,3,1,0.035,0.046,0.011,college,student,SF,images/college-student-sf.png,5fcac27c64514e7530482d6b,2020-12-28_15h04.49.069,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3a2d51f3a9a24a53ab30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.009589041,-0.306849315,1,0,0,0.797,stop_stud,0,7,7,11,1,0.034,0.034,0,novel,story,SF,images/novel-story-sf.png,5fcac27c64514e7530482d6b,2020-12-28_15h04.49.069,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3a2d51f3a9a24a53ab30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.009589041,-0.306849315,1,0,0,0.73,stop_stud,0,8,8,21,1,0.016,0.012,0.004,taste,touch,flu,images/taste-touch-arial1.png,5fcac27c64514e7530482d6b,2020-12-28_15h04.49.069,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3a2d51f3a9a24a53ab30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.009589041,-0.306849315,1,0,0,0.78,stop_stud,0,9,9,13,1,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,5fcac27c64514e7530482d6b,2020-12-28_15h04.49.069,weird_font_low_1,2020.2.10,Win32,60,5fea28a6520dd1a07b452e31,5fea3a2d51f3a9a24a53ab30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
