key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,2.153035,0.007817258,-0.322248972,1,0,0,6.94347,cont1,0.007817258,-0.322248972,1,0,0,3.043035,stop_stud,0,0,0,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,5fe6c6d0d4f1e4025106537b,2020-12-28_15h06.42.181,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea4825d92c4a22a5d82ac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.007817258,-0.322248972,1,0,0,1.680215,stop_stud,0,1,1,18,1,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,5fe6c6d0d4f1e4025106537b,2020-12-28_15h06.42.181,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea4825d92c4a22a5d82ac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.007817258,-0.322248972,1,0,0,1.21546,stop_stud,0,2,2,22,1,0.039,0.02,0.019,throat ,voice ,flu,images/throat-voice-arial1.png,5fe6c6d0d4f1e4025106537b,2020-12-28_15h06.42.181,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea4825d92c4a22a5d82ac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.007817258,-0.322248972,1,0,0,1.481265,stop_stud,0,3,3,7,1,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,5fe6c6d0d4f1e4025106537b,2020-12-28_15h06.42.181,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea4825d92c4a22a5d82ac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.007817258,-0.322248972,1,0,0,1.01394,stop_stud,0,4,4,21,1,0.016,0.012,0.004,taste,touch,flu,images/taste-touch-arial1.png,5fe6c6d0d4f1e4025106537b,2020-12-28_15h06.42.181,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea4825d92c4a22a5d82ac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.007817258,-0.322248972,1,0,0,1.11618,stop_stud,0,5,5,15,1,0.014,0.03,0.016,people,world,flu,images/people -world-arial1.png,5fe6c6d0d4f1e4025106537b,2020-12-28_15h06.42.181,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea4825d92c4a22a5d82ac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.007817258,-0.322248972,1,0,0,1.265235,stop_stud,0,6,6,9,1,0.042,0.055,0.013,nation,state,SF,images/nation-state-sf.png,5fe6c6d0d4f1e4025106537b,2020-12-28_15h06.42.181,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea4825d92c4a22a5d82ac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.007817258,-0.322248972,1,0,0,1.200045,stop_stud,0,7,7,8,1,0.019,0.028,0.009,lunch,supper,SF,images/lunch-supper-sf.png,5fe6c6d0d4f1e4025106537b,2020-12-28_15h06.42.181,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea4825d92c4a22a5d82ac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.007817258,-0.322248972,1,0,0,1.464795,stop_stud,0,8,8,14,1,0.036,0.031,0.005,paint,picture,SF,images/paint-picture-sf.png,5fe6c6d0d4f1e4025106537b,2020-12-28_15h06.42.181,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea4825d92c4a22a5d82ac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.007817258,-0.322248972,1,0,0,1.13176,stop_stud,0,9,9,2,1,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,5fe6c6d0d4f1e4025106537b,2020-12-28_15h06.42.181,weird_font_low_1,2020.2.10,MacIntel,60,5fea28a6520dd1a07b452e31,5fea4825d92c4a22a5d82ac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
