key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,11.894265,-0.007223942,-0.317337461,1,0,0,7.59826,cont1,-0.007223942,-0.320433437,1,0,0,1.47038,stop_stud,0,0,0,8,1,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,58ed2be2a083320001a13783,2020-12-28_13h53.16.871,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3786cd5d9853e2f636fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002063983,-0.319401445,1,0,0,35.771155,stop_stud,0,1,1,21,1,taste touch,0.016,0.012,0.004,taste,touch,SF,images/taste-touch-sf.png,58ed2be2a083320001a13783,2020-12-28_13h53.16.871,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3786cd5d9853e2f636fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002063983,-0.319401445,1,0,0,0.89988,stop_stud,0,2,2,19,1,sheet cover,0.021,0.053,0.032,sheet,cover,SF,images/sheet-cover-sf.png,58ed2be2a083320001a13783,2020-12-28_13h53.16.871,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3786cd5d9853e2f636fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002063983,-0.319401445,1,0,0,0.79029,stop_stud,0,3,3,11,1,novel story,0.034,0.034,0,novel,story,flu,images/novel-story-arial1.png,58ed2be2a083320001a13783,2020-12-28_13h53.16.871,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3786cd5d9853e2f636fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002063983,-0.319401445,1,0,0,0.53299,stop_stud,0,4,4,4,1,curve shape,0.018,0.011,0.007,curve,shape,flu,images/curve-shape-arial1.png,58ed2be2a083320001a13783,2020-12-28_13h53.16.871,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3786cd5d9853e2f636fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002063983,-0.320433437,1,0,0,0.62638,stop_stud,0,5,5,2,1,child mother,0.03,0.01,0.02,child,mother,SF,images/child-mother-sf.png,58ed2be2a083320001a13783,2020-12-28_13h53.16.871,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3786cd5d9853e2f636fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002063983,-0.320433437,1,0,0,0.549315,stop_stud,0,6,6,23,1,train plane,0.051,0.049,0.002,train,plane,flu,images/train-plane-arial1.png,58ed2be2a083320001a13783,2020-12-28_13h53.16.871,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3786cd5d9853e2f636fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002063983,-0.320433437,1,0,0,0.66879,stop_stud,0,7,7,16,1,quarter dollar,0.061,0.027,0.034,quarter,dollar,flu,images/quarter-dollar-arial1.png,58ed2be2a083320001a13783,2020-12-28_13h53.16.871,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3786cd5d9853e2f636fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002063983,-0.320433437,1,0,0,0.63408,stop_stud,0,8,8,22,1,throat voice,0.039,0.02,0.019,throat ,voice ,SF,images/throat-voice-sf.png,58ed2be2a083320001a13783,2020-12-28_13h53.16.871,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3786cd5d9853e2f636fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002063983,-0.320433437,1,0,0,0.571335,stop_stud,0,9,9,12,1,object symbol,0.014,0.021,0.007,object,symbol,SF,images/object-symbol-sf.png,58ed2be2a083320001a13783,2020-12-28_13h53.16.871,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3786cd5d9853e2f636fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
