key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,20.52886,-0.001555315,-0.31518724,1,0,0,16.20524,cont1,0.014791574,-0.284961953,1,0,0,5.870705,stop_stud,0,0,0,21,1,taste touch,0.016,0.012,0.004,taste,touch,SF,images/taste-touch-sf.png,5c313f27867f660001b0601c,2020-12-28_13h03.54.684,weird_font_low_2,2020.2.10,Linux x86_64,60,5fea2cd1e144229a3f973e6d,5fea480ad92c4a22a5d82ac0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00383487,-0.327654869,1,0,0,2.03061,stop_stud,0,1,1,8,1,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,5c313f27867f660001b0601c,2020-12-28_13h03.54.684,weird_font_low_2,2020.2.10,Linux x86_64,60,5fea2cd1e144229a3f973e6d,5fea480ad92c4a22a5d82ac0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.010408892,-0.311234531,1,0,0,3.6604,stop_stud,0,2,2,5,1,engine machine,0.033,0.027,0.006,engine,machine,flu,images/engine-machine-arial1.png,5c313f27867f660001b0601c,2020-12-28_13h03.54.684,weird_font_low_2,2020.2.10,Linux x86_64,60,5fea2cd1e144229a3f973e6d,5fea480ad92c4a22a5d82ac0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.018078538,-0.311234531,1,0,0,2.34655,stop_stud,0,3,3,0,1,angle corner,0.02,0.029,0.009,angle,corner,SF,images/angle-corner-sf.png,5c313f27867f660001b0601c,2020-12-28_13h03.54.684,weird_font_low_2,2020.2.10,Linux x86_64,60,5fea2cd1e144229a3f973e6d,5fea480ad92c4a22a5d82ac0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.011504516,-0.299192925,1,0,0,2.38984,stop_stud,0,4,4,1,1,block street,0.04,0.019,0.021,block,street,SF,images/block-street-sf.png,5c313f27867f660001b0601c,2020-12-28_13h03.54.684,weird_font_low_2,2020.2.10,Linux x86_64,60,5fea2cd1e144229a3f973e6d,5fea480ad92c4a22a5d82ac0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.010408892,-0.299192925,1,0,0,1.594955,stop_stud,0,5,5,18,1,report weather,0.015,0.024,0.009,report,weather,flu,images/report-weather-arial1.png,5c313f27867f660001b0601c,2020-12-28_13h03.54.684,weird_font_low_2,2020.2.10,Linux x86_64,60,5fea2cd1e144229a3f973e6d,5fea480ad92c4a22a5d82ac0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.015887197,-0.300287608,1,0,0,2.17704,stop_stud,0,6,6,2,1,child mother,0.03,0.01,0.02,child,mother,SF,images/child-mother-sf.png,5c313f27867f660001b0601c,2020-12-28_13h03.54.684,weird_font_low_2,2020.2.10,Linux x86_64,60,5fea2cd1e144229a3f973e6d,5fea480ad92c4a22a5d82ac0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.011504516,-0.317802629,1,0,0,1.828485,stop_stud,0,7,7,16,1,quarter dollar,0.061,0.027,0.034,quarter,dollar,flu,images/quarter-dollar-arial1.png,5c313f27867f660001b0601c,2020-12-28_13h03.54.684,weird_font_low_2,2020.2.10,Linux x86_64,60,5fea2cd1e144229a3f973e6d,5fea480ad92c4a22a5d82ac0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.010408892,-0.287151319,1,0,0,1.829015,stop_stud,0,8,8,19,1,sheet cover,0.021,0.053,0.032,sheet,cover,SF,images/sheet-cover-sf.png,5c313f27867f660001b0601c,2020-12-28_13h03.54.684,weird_font_low_2,2020.2.10,Linux x86_64,60,5fea2cd1e144229a3f973e6d,5fea480ad92c4a22a5d82ac0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.012600233,-0.291530145,1,0,0,1.69175,stop_stud,0,9,9,3,1,college student ,0.035,0.046,0.011,college,student,flu,images/college - student-arial1.png,5c313f27867f660001b0601c,2020-12-28_13h03.54.684,weird_font_low_2,2020.2.10,Linux x86_64,60,5fea2cd1e144229a3f973e6d,5fea480ad92c4a22a5d82ac0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
