key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,12.67056,-0.000514933,-0.323892894,1,0,0,7.27882,cont1,-0.000514933,-0.323892894,1,0,0,1.454715,stop_stud,0,0,0,20,1,stick branch,0.067,0.047,0.02,stick,branch,SF,images/stick-branch-sf.png,5c8961a1d810a700149dcfda,2020-12-28_15h01.41.810,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea399e957b6153fe4d6c29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000514933,-0.323892894,1,0,0,1.030725,stop_stud,0,1,1,22,1,throat voice,0.039,0.02,0.019,throat ,voice ,SF,images/throat-voice-sf.png,5c8961a1d810a700149dcfda,2020-12-28_15h01.41.810,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea399e957b6153fe4d6c29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000514933,-0.323892894,1,0,0,0.948355,stop_stud,0,2,2,14,1,paint picture,0.036,0.031,0.005,paint,picture,flu,images/paint-picture-arial1.png,5c8961a1d810a700149dcfda,2020-12-28_15h01.41.810,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea399e957b6153fe4d6c29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000514933,-0.323892894,1,0,0,1.03193,stop_stud,0,3,3,3,1,college student ,0.035,0.046,0.011,college,student,flu,images/college - student-arial1.png,5c8961a1d810a700149dcfda,2020-12-28_15h01.41.810,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea399e957b6153fe4d6c29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000514933,-0.323892894,1,0,0,0.898665,stop_stud,0,4,4,5,1,engine machine,0.033,0.027,0.006,engine,machine,flu,images/engine-machine-arial1.png,5c8961a1d810a700149dcfda,2020-12-28_15h01.41.810,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea399e957b6153fe4d6c29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000514933,-0.323892894,1,0,0,0.832035,stop_stud,0,5,5,12,1,object symbol,0.014,0.021,0.007,object,symbol,SF,images/object-symbol-sf.png,5c8961a1d810a700149dcfda,2020-12-28_15h01.41.810,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea399e957b6153fe4d6c29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000514933,-0.323892894,1,0,0,0.915335,stop_stud,0,6,6,8,1,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,5c8961a1d810a700149dcfda,2020-12-28_15h01.41.810,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea399e957b6153fe4d6c29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000514933,-0.323892894,1,0,0,0.69866,stop_stud,0,7,7,16,1,quarter dollar,0.061,0.027,0.034,quarter,dollar,flu,images/quarter-dollar-arial1.png,5c8961a1d810a700149dcfda,2020-12-28_15h01.41.810,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea399e957b6153fe4d6c29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000514933,-0.323892894,1,0,0,0.78208,stop_stud,0,8,8,2,1,child mother,0.03,0.01,0.02,child,mother,SF,images/child-mother-sf.png,5c8961a1d810a700149dcfda,2020-12-28_15h01.41.810,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea399e957b6153fe4d6c29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000514933,-0.323892894,1,0,0,0.665515,stop_stud,0,9,9,23,1,train plane,0.051,0.049,0.002,train,plane,flu,images/train-plane-arial1.png,5c8961a1d810a700149dcfda,2020-12-28_15h01.41.810,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea399e957b6153fe4d6c29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000514933,-0.323892894,1,0,0,0.631985,stop_stud,0,10,10,1,1,block street,0.04,0.019,0.021,block,street,SF,images/block-street-sf.png,5c8961a1d810a700149dcfda,2020-12-28_15h01.41.810,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea399e957b6153fe4d6c29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000514933,-0.323892894,1,0,0,0.73184,stop_stud,0,11,11,7,1,group meeting,0.027,0.041,0.014,group,meeting,SF,images/group-meeting-sf.png,5c8961a1d810a700149dcfda,2020-12-28_15h01.41.810,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea399e957b6153fe4d6c29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000514933,-0.323892894,1,0,0,0.66533,stop_stud,0,12,12,9,1,nation state,0.042,0.055,0.013,nation,state,flu,images/nation-state-arial1.png,5c8961a1d810a700149dcfda,2020-12-28_15h01.41.810,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea399e957b6153fe4d6c29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000514933,-0.323892894,1,0,0,0.66581,stop_stud,0,13,13,13,1,office doctor,0.014,0.01,0.004,office,doctor ,flu,images/office-doctor-arial1.png,5c8961a1d810a700149dcfda,2020-12-28_15h01.41.810,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea399e957b6153fe4d6c29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000514933,-0.323892894,1,0,0,0.73189,stop_stud,0,14,14,10,1,native foreign,0.056,0.031,0.025,native,foreign,SF,images/native-foreign-sf.png,5c8961a1d810a700149dcfda,2020-12-28_15h01.41.810,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea399e957b6153fe4d6c29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000514933,-0.323892894,1,0,0,0.76559,stop_stud,0,15,15,19,1,sheet cover,0.021,0.053,0.032,sheet,cover,SF,images/sheet-cover-sf.png,5c8961a1d810a700149dcfda,2020-12-28_15h01.41.810,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea399e957b6153fe4d6c29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.001544799,-0.323892894,1,0,0,0.71548,stop_stud,0,16,16,17,1,range rifle,0.015,0.028,0.013,range,rifle,flu,images/range-rifle-arial1.png,5c8961a1d810a700149dcfda,2020-12-28_15h01.41.810,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea399e957b6153fe4d6c29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002574665,-0.320803296,1,0,0,0.664045,stop_stud,0,17,17,6,1,factory product,0.02,0.028,0.008,factory,product,SF,images/factory-product-sf.png,5c8961a1d810a700149dcfda,2020-12-28_15h01.41.810,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea399e957b6153fe4d6c29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002574665,-0.320803296,1,0,0,0.64879,stop_stud,0,18,18,4,1,curve shape,0.018,0.011,0.007,curve,shape,flu,images/curve-shape-arial1.png,5c8961a1d810a700149dcfda,2020-12-28_15h01.41.810,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea399e957b6153fe4d6c29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002574665,-0.320803296,1,0,0,0.648915,stop_stud,0,19,19,18,1,report weather,0.015,0.024,0.009,report,weather,flu,images/report-weather-arial1.png,5c8961a1d810a700149dcfda,2020-12-28_15h01.41.810,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea399e957b6153fe4d6c29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002574665,-0.320803296,1,0,0,0.682235,stop_stud,0,20,20,0,1,angle corner,0.02,0.029,0.009,angle,corner,SF,images/angle-corner-sf.png,5c8961a1d810a700149dcfda,2020-12-28_15h01.41.810,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea399e957b6153fe4d6c29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002574665,-0.320803296,1,0,0,0.648785,stop_stud,0,21,21,21,1,taste touch,0.016,0.012,0.004,taste,touch,SF,images/taste-touch-sf.png,5c8961a1d810a700149dcfda,2020-12-28_15h01.41.810,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea399e957b6153fe4d6c29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002574665,-0.320803296,1,0,0,0.58219,stop_stud,0,22,22,11,1,novel story,0.034,0.034,0,novel,story,flu,images/novel-story-arial1.png,5c8961a1d810a700149dcfda,2020-12-28_15h01.41.810,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea399e957b6153fe4d6c29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002574665,-0.320803296,1,0,0,0.698925,stop_stud,0,23,23,15,1,people world,0.014,0.03,0.016,people,world,SF,images/people-world-sf.png,5c8961a1d810a700149dcfda,2020-12-28_15h01.41.810,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea399e957b6153fe4d6c29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
