key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,7.792815,0.008064516,-0.299283154,1,0,0,5.52177,cont1,0.008064516,-0.299283154,1,0,0,2.789985,stop_stud,0,0,0,12,1,object symbol,0.014,0.021,0.007,object,symbol,SF,images/object-symbol-sf.png,5cb147e6c567c000012a6d51,2020-12-28_14h10.52.774,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3bbd26fd0853ad2e594a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.008064516,-0.299283154,1,0,0,1.26082,stop_stud,0,1,1,11,1,novel story,0.034,0.034,0,novel,story,flu,images/novel-story-arial1.png,5cb147e6c567c000012a6d51,2020-12-28_14h10.52.774,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3bbd26fd0853ad2e594a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.008064516,-0.299283154,1,0,0,1.48612,stop_stud,0,2,2,15,1,people world,0.014,0.03,0.016,people,world,SF,images/people-world-sf.png,5cb147e6c567c000012a6d51,2020-12-28_14h10.52.774,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3bbd26fd0853ad2e594a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.008064516,-0.299283154,1,0,0,1.04737,stop_stud,0,3,3,5,1,engine machine,0.033,0.027,0.006,engine,machine,flu,images/engine-machine-arial1.png,5cb147e6c567c000012a6d51,2020-12-28_14h10.52.774,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3bbd26fd0853ad2e594a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.008064516,-0.299283154,1,0,0,0.584535,stop_stud,0,4,4,14,1,paint picture,0.036,0.031,0.005,paint,picture,flu,images/paint-picture-arial1.png,5cb147e6c567c000012a6d51,2020-12-28_14h10.52.774,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3bbd26fd0853ad2e594a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.008064516,-0.299283154,1,0,0,1.2012,stop_stud,0,5,5,0,1,angle corner,0.02,0.029,0.009,angle,corner,SF,images/angle-corner-sf.png,5cb147e6c567c000012a6d51,2020-12-28_14h10.52.774,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3bbd26fd0853ad2e594a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.008064516,-0.299283154,1,0,0,1.25938,stop_stud,0,6,6,8,1,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,5cb147e6c567c000012a6d51,2020-12-28_14h10.52.774,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3bbd26fd0853ad2e594a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.008064516,-0.299283154,1,0,0,1.98703,stop_stud,0,7,7,10,1,native foreign,0.056,0.031,0.025,native,foreign,SF,images/native-foreign-sf.png,5cb147e6c567c000012a6d51,2020-12-28_14h10.52.774,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3bbd26fd0853ad2e594a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.008064516,-0.299283154,1,0,0,1.321745,stop_stud,0,8,8,4,1,curve shape,0.018,0.011,0.007,curve,shape,flu,images/curve-shape-arial1.png,5cb147e6c567c000012a6d51,2020-12-28_14h10.52.774,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3bbd26fd0853ad2e594a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.008064516,-0.299283154,1,0,0,1.841735,stop_stud,0,9,9,1,1,block street,0.04,0.019,0.021,block,street,SF,images/block-street-sf.png,5cb147e6c567c000012a6d51,2020-12-28_14h10.52.774,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3bbd26fd0853ad2e594a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
