key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,16.663,0.002132196,-0.309168443,1,0,0,13.373,cont1,0.001066098,-0.300639659,1,0,0,6.384,stop_stud,0,0,0,21,1,taste touch,0.016,0.012,0.004,taste,touch,SF,images/taste-touch-sf.png,5d99898ab82ce10398fc1556,2020-12-28_16h02.02.243,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea47bce5e631a3a79b4cdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.006396588,-0.29424307,1,0,0,3.438,stop_stud,0,1,1,16,1,quarter dollar,0.061,0.027,0.034,quarter,dollar,flu,images/quarter-dollar-arial1.png,5d99898ab82ce10398fc1556,2020-12-28_16h02.02.243,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea47bce5e631a3a79b4cdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.014925373,-0.308102345,1,0,0,15.627,stop_stud,0,2,2,8,1,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,5d99898ab82ce10398fc1556,2020-12-28_16h02.02.243,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea47bce5e631a3a79b4cdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.013859275,-0.312366738,1,0,0,6.603,stop_stud,0,3,3,15,1,people world,0.014,0.03,0.016,people,world,SF,images/people-world-sf.png,5d99898ab82ce10398fc1556,2020-12-28_16h02.02.243,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea47bce5e631a3a79b4cdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.028784648,-0.331556503,1,0,0,5.953,stop_stud,0,4,4,11,1,novel story,0.034,0.034,0,novel,story,flu,images/novel-story-arial1.png,5d99898ab82ce10398fc1556,2020-12-28_16h02.02.243,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea47bce5e631a3a79b4cdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.004264392,-0.28358209,1,0,0,5.161,stop_stud,0,5,5,0,1,angle corner,0.02,0.029,0.009,angle,corner,SF,images/angle-corner-sf.png,5d99898ab82ce10398fc1556,2020-12-28_16h02.02.243,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea47bce5e631a3a79b4cdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.003198294,-0.271855011,1,0,0,6.101,stop_stud,0,6,6,22,1,throat voice,0.039,0.02,0.019,throat ,voice ,SF,images/throat-voice-sf.png,5d99898ab82ce10398fc1556,2020-12-28_16h02.02.243,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea47bce5e631a3a79b4cdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,-0.302771855,1,0,0,4.52,stop_stud,0,7,7,4,1,curve shape,0.018,0.011,0.007,curve,shape,flu,images/curve-shape-arial1.png,5d99898ab82ce10398fc1556,2020-12-28_16h02.02.243,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea47bce5e631a3a79b4cdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.019189765,-0.334754797,1,0,0,5.29,stop_stud,0,8,8,1,1,block street,0.04,0.019,0.021,block,street,SF,images/block-street-sf.png,5d99898ab82ce10398fc1556,2020-12-28_16h02.02.243,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea47bce5e631a3a79b4cdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00533049,-0.315565032,1,0,0,4.601,stop_stud,0,9,9,19,1,sheet cover,0.021,0.053,0.032,sheet,cover,SF,images/sheet-cover-sf.png,5d99898ab82ce10398fc1556,2020-12-28_16h02.02.243,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea47bce5e631a3a79b4cdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
