key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,11.201615,0.00304414,-0.324961948,1,0,0,15.39933,cont1,-0.00456621,-0.309741248,1,0,0,4.308035,stop_stud,0,0,0,6,1,factory product,0.02,0.028,0.008,factory,product,SF,images/factory-product-sf.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00456621,-0.309741248,1,0,0,2.03356,stop_stud,0,1,1,4,1,curve shape,0.018,0.011,0.007,curve,shape,flu,images/curve-shape-arial1.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00456621,-0.309741248,1,0,0,2.870195,stop_stud,0,2,2,21,1,taste touch,0.016,0.012,0.004,taste,touch,SF,images/taste-touch-sf.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00456621,-0.309741248,1,0,0,2.22801,stop_stud,0,3,3,16,1,quarter dollar,0.061,0.027,0.034,quarter,dollar,flu,images/quarter-dollar-arial1.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.082191781,-0.000761035,1,0,0,2.325375,stop_stud,0,4,4,17,1,range rifle,0.015,0.028,0.013,range,rifle,flu,images/range-rifle-arial1.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00761035,-0.297564688,1,0,0,1.72648,stop_stud,0,5,5,18,1,report weather,0.015,0.024,0.009,report,weather,flu,images/report-weather-arial1.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00761035,-0.297564688,1,0,0,1.796205,stop_stud,0,6,6,10,1,native foreign,0.056,0.031,0.025,native,foreign,SF,images/native-foreign-sf.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00761035,-0.297564688,1,0,0,1.975225,stop_stud,0,7,7,9,1,nation state,0.042,0.055,0.013,nation,state,flu,images/nation-state-arial1.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00913242,-0.335616438,1,0,0,2.16574,stop_stud,0,8,8,11,1,novel story,0.034,0.034,0,novel,story,flu,images/novel-story-arial1.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00913242,-0.335616438,1,0,0,1.922545,stop_stud,0,9,9,19,1,sheet cover,0.021,0.053,0.032,sheet,cover,SF,images/sheet-cover-sf.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00913242,-0.335616438,1,0,0,1.68332,stop_stud,0,10,10,3,1,college student ,0.035,0.046,0.011,college,student,flu,images/college - student-arial1.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00913242,-0.335616438,1,0,0,1.67267,stop_stud,0,11,11,7,1,group meeting,0.027,0.041,0.014,group,meeting,SF,images/group-meeting-sf.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00913242,-0.335616438,1,0,0,2.248315,stop_stud,0,12,12,22,1,throat voice,0.039,0.02,0.019,throat ,voice ,SF,images/throat-voice-sf.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00913242,-0.335616438,1,0,0,11.028015,stop_stud,0,13,13,15,1,people world,0.014,0.03,0.016,people,world,SF,images/people-world-sf.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00913242,-0.335616438,1,0,0,2.173205,stop_stud,0,14,14,2,1,child mother,0.03,0.01,0.02,child,mother,SF,images/child-mother-sf.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00913242,-0.335616438,1,0,0,2.226015,stop_stud,0,15,15,12,1,object symbol,0.014,0.021,0.007,object,symbol,SF,images/object-symbol-sf.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00913242,-0.335616438,1,0,0,1.383555,stop_stud,0,16,16,5,1,engine machine,0.033,0.027,0.006,engine,machine,flu,images/engine-machine-arial1.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00913242,-0.335616438,1,0,0,1.85846,stop_stud,0,17,17,8,1,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00913242,-0.335616438,1,0,0,1.07591,stop_stud,0,18,18,14,1,paint picture,0.036,0.031,0.005,paint,picture,flu,images/paint-picture-arial1.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00913242,-0.335616438,1,0,0,2.62502,stop_stud,0,19,19,0,1,angle corner,0.02,0.029,0.009,angle,corner,SF,images/angle-corner-sf.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00913242,-0.335616438,1,0,0,1.012985,stop_stud,0,20,20,13,1,office doctor,0.014,0.01,0.004,office,doctor ,flu,images/office-doctor-arial1.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00913242,-0.335616438,1,0,0,1.448505,stop_stud,0,21,21,1,1,block street,0.04,0.019,0.021,block,street,SF,images/block-street-sf.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00913242,-0.335616438,1,0,0,1.342275,stop_stud,0,22,22,20,1,stick branch,0.067,0.047,0.02,stick,branch,SF,images/stick-branch-sf.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00913242,-0.335616438,1,0,0,1.62708,stop_stud,0,23,23,23,1,train plane,0.051,0.049,0.002,train,plane,flu,images/train-plane-arial1.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,49.08675799,0.152075,77.09284627,15.667075,-0.0152207,-0.398021309,1,0,0,7.851025,polygon,dinner,0.060882801,-0.006849315,1,0,0,2.13364,polygon_2,1,lunch,0,0,0,8,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,stick branch,0.067,0.047,0.02,stick,branch,SF,images/stick-branch-sf.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,rock,-0.144596651,0.003805175,1,0,0,2.22341,polygon_2,1,stick,0,1,1,20,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,office doctor,0.014,0.01,0.004,office,doctor ,flu,images/office-doctor-arial1.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,chair,-0.03348554,-0.011415525,1,0,0,1.32715,polygon_2,1,office,0,2,2,13,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,paint picture,0.036,0.031,0.005,paint,picture,flu,images/paint-picture-arial1.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,brush,-0.03805175,0.002283105,1,0,0,1.519205,polygon_2,1,paint,0,3,3,14,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,factory product,0.02,0.028,0.008,factory,product,SF,images/factory-product-sf.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,worker,-0.050228311,-0.017503805,1,0,0,1.131805,polygon_2,1,factory,0,4,4,6,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,object symbol,0.014,0.021,0.007,object,symbol,SF,images/object-symbol-sf.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,shape,-0.03196347,-0.026636225,1,0,0,1.6228,polygon_2,1,object,0,5,5,12,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,group meeting,0.027,0.041,0.014,group,meeting,SF,images/group-meeting-sf.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,pair,0.053272451,0.006849315,1,0,0,1.85034,polygon_2,1,group,0,6,6,7,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,nation state,0.042,0.055,0.013,nation,state,flu,images/nation-state-arial1.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,one,0.111111111,-0.029680365,1,0,0,1.995915,polygon_2,1,nation,0,7,7,9,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,child mother,0.03,0.01,0.02,child,mother,SF,images/child-mother-sf.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,adult,0.086757991,-0.029680365,1,0,0,1.239195,polygon_2,1,child,0,8,8,2,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,college student ,0.035,0.046,0.011,college,student,flu,images/college - student-arial1.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,dorm,0.04261796,-0.031202435,1,0,0,1.093565,polygon_2,1,college,0,9,9,3,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,block street,0.04,0.019,0.021,block,street,SF,images/block-street-sf.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,circle,0.115677321,-0.015981735,1,0,0,0.99537,polygon_2,1,block,0,10,10,1,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,engine machine,0.033,0.027,0.006,engine,machine,flu,images/engine-machine-arial1.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,motor,0.101978691,-0.022070015,1,0,0,1.227795,polygon_2,1,engine,0,11,11,5,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,novel story,0.034,0.034,0,novel,story,flu,images/novel-story-arial1.png,5e1643c3271305c216555087,2020-12-28_13h55.31.976,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea38112234a69f8884254d,,,,,,,,,,,,read,0.146118721,-0.017503805,1,0,0,1.027245,polygon_2,1,novel,0,12,12,11,1,,,,,,,
