key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,18.296725,0.007926117,-0.314436894,1,0,0,2.01164,cont1,0.001390452,-0.298379069,1,0,0,3.48772,stop_stud,0,0,0,11,1,novel story,0.034,0.034,0,novel,story,flu,images/novel-story-arial1.png,5e26f1f9cf445f9239c88cb7,2020-12-28_12h04.21.275,weird_font_low_2,2020.2.10,MacIntel,60,5fea2cd1e144229a3f973e6d,5fea3a3050c73da16e342635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001390452,-0.298379069,1,0,0,1.783855,stop_stud,0,1,1,4,1,curve shape,0.018,0.011,0.007,curve,shape,flu,images/curve-shape-arial1.png,5e26f1f9cf445f9239c88cb7,2020-12-28_12h04.21.275,weird_font_low_2,2020.2.10,MacIntel,60,5fea2cd1e144229a3f973e6d,5fea3a3050c73da16e342635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001390452,-0.298379069,1,0,0,2.13126,stop_stud,0,2,2,20,1,stick branch,0.067,0.047,0.02,stick,branch,SF,images/stick-branch-sf.png,5e26f1f9cf445f9239c88cb7,2020-12-28_12h04.21.275,weird_font_low_2,2020.2.10,MacIntel,60,5fea2cd1e144229a3f973e6d,5fea3a3050c73da16e342635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001390452,-0.298379069,1,0,0,1.44732,stop_stud,0,3,3,3,1,college student ,0.035,0.046,0.011,college,student,flu,images/college - student-arial1.png,5e26f1f9cf445f9239c88cb7,2020-12-28_12h04.21.275,weird_font_low_2,2020.2.10,MacIntel,60,5fea2cd1e144229a3f973e6d,5fea3a3050c73da16e342635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.001736712,-0.313463037,1,0,0,2.51603,stop_stud,0,4,4,6,1,factory product,0.02,0.028,0.008,factory,product,SF,images/factory-product-sf.png,5e26f1f9cf445f9239c88cb7,2020-12-28_12h04.21.275,weird_font_low_2,2020.2.10,MacIntel,60,5fea2cd1e144229a3f973e6d,5fea3a3050c73da16e342635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.001736712,-0.313463037,1,0,0,2.54768,stop_stud,0,5,5,16,1,quarter dollar,0.061,0.027,0.034,quarter,dollar,flu,images/quarter-dollar-arial1.png,5e26f1f9cf445f9239c88cb7,2020-12-28_12h04.21.275,weird_font_low_2,2020.2.10,MacIntel,60,5fea2cd1e144229a3f973e6d,5fea3a3050c73da16e342635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002023459,-0.31317629,1,0,0,1.448805,stop_stud,0,6,6,9,1,nation state,0.042,0.055,0.013,nation,state,flu,images/nation-state-arial1.png,5e26f1f9cf445f9239c88cb7,2020-12-28_12h04.21.275,weird_font_low_2,2020.2.10,MacIntel,60,5fea2cd1e144229a3f973e6d,5fea3a3050c73da16e342635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.001742123,-0.312321459,1,0,0,1.898795,stop_stud,0,7,7,14,1,paint picture,0.036,0.031,0.005,paint,picture,flu,images/paint-picture-arial1.png,5e26f1f9cf445f9239c88cb7,2020-12-28_12h04.21.275,weird_font_low_2,2020.2.10,MacIntel,60,5fea2cd1e144229a3f973e6d,5fea3a3050c73da16e342635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.015857644,-0.297118464,1,0,0,2.049235,stop_stud,0,8,8,18,1,report weather,0.015,0.024,0.009,report,weather,flu,images/report-weather-arial1.png,5e26f1f9cf445f9239c88cb7,2020-12-28_12h04.21.275,weird_font_low_2,2020.2.10,MacIntel,60,5fea2cd1e144229a3f973e6d,5fea3a3050c73da16e342635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.007082107,-0.300164474,1,0,0,2.314755,stop_stud,0,9,9,2,1,child mother,0.03,0.01,0.02,child,mother,SF,images/child-mother-sf.png,5e26f1f9cf445f9239c88cb7,2020-12-28_12h04.21.275,weird_font_low_2,2020.2.10,MacIntel,60,5fea2cd1e144229a3f973e6d,5fea3a3050c73da16e342635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.003614093,-0.325960873,1,0,0,2.531715,stop_stud,0,10,10,15,1,people world,0.014,0.03,0.016,people,world,SF,images/people-world-sf.png,5e26f1f9cf445f9239c88cb7,2020-12-28_12h04.21.275,weird_font_low_2,2020.2.10,MacIntel,60,5fea2cd1e144229a3f973e6d,5fea3a3050c73da16e342635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
