key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,8.221835,-0.007194245,-0.314388489,1,0,0,7.74746,cont1,-0.005755396,-0.314388489,1,0,0,3.132975,stop_stud,0,0,0,14,1,paint picture,0.036,0.031,0.005,paint,picture,flu,images/paint-picture-arial1.png,5ec7d712dafc54256f9e903f,2020-12-28_15h11.06.334,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3bcfe5e631a1cbd8c0ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.005755396,-0.314388489,1,0,0,2.025715,stop_stud,0,1,1,16,1,quarter dollar,0.061,0.027,0.034,quarter,dollar,flu,images/quarter-dollar-arial1.png,5ec7d712dafc54256f9e903f,2020-12-28_15h11.06.334,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3bcfe5e631a1cbd8c0ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.005755396,-0.314388489,1,0,0,1.379635,stop_stud,0,2,2,13,1,office doctor,0.014,0.01,0.004,office,doctor ,flu,images/office-doctor-arial1.png,5ec7d712dafc54256f9e903f,2020-12-28_15h11.06.334,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3bcfe5e631a1cbd8c0ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.005755396,-0.314388489,1,0,0,1.566635,stop_stud,0,3,3,8,1,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,5ec7d712dafc54256f9e903f,2020-12-28_15h11.06.334,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3bcfe5e631a1cbd8c0ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.005755396,-0.314388489,1,0,0,1.59369,stop_stud,0,4,4,7,1,group meeting,0.027,0.041,0.014,group,meeting,SF,images/group-meeting-sf.png,5ec7d712dafc54256f9e903f,2020-12-28_15h11.06.334,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3bcfe5e631a1cbd8c0ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.005755396,-0.314388489,1,0,0,1.575935,stop_stud,0,5,5,19,1,sheet cover,0.021,0.053,0.032,sheet,cover,SF,images/sheet-cover-sf.png,5ec7d712dafc54256f9e903f,2020-12-28_15h11.06.334,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3bcfe5e631a1cbd8c0ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.005755396,-0.314388489,1,0,0,1.616605,stop_stud,0,6,6,1,1,block street,0.04,0.019,0.021,block,street,SF,images/block-street-sf.png,5ec7d712dafc54256f9e903f,2020-12-28_15h11.06.334,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3bcfe5e631a1cbd8c0ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.005755396,-0.314388489,1,0,0,1.592675,stop_stud,0,7,7,22,1,throat voice,0.039,0.02,0.019,throat ,voice ,SF,images/throat-voice-sf.png,5ec7d712dafc54256f9e903f,2020-12-28_15h11.06.334,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3bcfe5e631a1cbd8c0ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.005755396,-0.314388489,1,0,0,1.22924,stop_stud,0,8,8,4,1,curve shape,0.018,0.011,0.007,curve,shape,flu,images/curve-shape-arial1.png,5ec7d712dafc54256f9e903f,2020-12-28_15h11.06.334,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3bcfe5e631a1cbd8c0ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.005755396,-0.314388489,1,0,0,1.31573,stop_stud,0,9,9,21,1,taste touch,0.016,0.012,0.004,taste,touch,SF,images/taste-touch-sf.png,5ec7d712dafc54256f9e903f,2020-12-28_15h11.06.334,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3bcfe5e631a1cbd8c0ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
