key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,5.607755,-0.005844846,-0.31402763,1,0,0,7.535695,cont1,0.064293305,0.002656748,1,0,0,3.109945,stop_stud,0,0,0,14,1,paint picture,0.036,0.031,0.005,paint,picture,flu,images/paint-picture-arial1.png,5f15b1ffb0fa876a3a19acf7,2020-12-28_14h51.42.101,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3740197628a12a117603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006907545,-0.306588735,1,0,0,1.597755,stop_stud,0,1,1,23,1,train plane,0.051,0.049,0.002,train,plane,flu,images/train-plane-arial1.png,5f15b1ffb0fa876a3a19acf7,2020-12-28_14h51.42.101,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3740197628a12a117603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006907545,-0.306588735,1,0,0,1.166805,stop_stud,0,2,2,17,1,range rifle,0.015,0.028,0.013,range,rifle,flu,images/range-rifle-arial1.png,5f15b1ffb0fa876a3a19acf7,2020-12-28_14h51.42.101,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3740197628a12a117603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006907545,-0.306588735,1,0,0,1.86667,stop_stud,0,3,3,8,1,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,5f15b1ffb0fa876a3a19acf7,2020-12-28_14h51.42.101,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3740197628a12a117603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006907545,-0.306588735,1,0,0,1.43461,stop_stud,0,4,4,13,1,office doctor,0.014,0.01,0.004,office,doctor ,flu,images/office-doctor-arial1.png,5f15b1ffb0fa876a3a19acf7,2020-12-28_14h51.42.101,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3740197628a12a117603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006907545,-0.306588735,1,0,0,1.282825,stop_stud,0,5,5,11,1,novel story,0.034,0.034,0,novel,story,flu,images/novel-story-arial1.png,5f15b1ffb0fa876a3a19acf7,2020-12-28_14h51.42.101,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3740197628a12a117603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006907545,-0.306588735,1,0,0,1.18383,stop_stud,0,6,6,9,1,nation state,0.042,0.055,0.013,nation,state,flu,images/nation-state-arial1.png,5f15b1ffb0fa876a3a19acf7,2020-12-28_14h51.42.101,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3740197628a12a117603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006907545,-0.306588735,1,0,0,1.884295,stop_stud,0,7,7,10,1,native foreign,0.056,0.031,0.025,native,foreign,SF,images/native-foreign-sf.png,5f15b1ffb0fa876a3a19acf7,2020-12-28_14h51.42.101,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3740197628a12a117603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006907545,-0.306588735,1,0,0,1.08374,stop_stud,0,8,8,15,1,people world,0.014,0.03,0.016,people,world,SF,images/people-world-sf.png,5f15b1ffb0fa876a3a19acf7,2020-12-28_14h51.42.101,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3740197628a12a117603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006907545,-0.306588735,1,0,0,0.86646,stop_stud,0,9,9,2,1,child mother,0.03,0.01,0.02,child,mother,SF,images/child-mother-sf.png,5f15b1ffb0fa876a3a19acf7,2020-12-28_14h51.42.101,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3740197628a12a117603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006907545,-0.306588735,1,0,0,1.000085,stop_stud,0,10,10,19,1,sheet cover,0.021,0.053,0.032,sheet,cover,SF,images/sheet-cover-sf.png,5f15b1ffb0fa876a3a19acf7,2020-12-28_14h51.42.101,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3740197628a12a117603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006907545,-0.306588735,1,0,0,0.833445,stop_stud,0,11,11,7,1,group meeting,0.027,0.041,0.014,group,meeting,SF,images/group-meeting-sf.png,5f15b1ffb0fa876a3a19acf7,2020-12-28_14h51.42.101,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3740197628a12a117603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006907545,-0.306588735,1,0,0,0.867365,stop_stud,0,12,12,0,1,angle corner,0.02,0.029,0.009,angle,corner,SF,images/angle-corner-sf.png,5f15b1ffb0fa876a3a19acf7,2020-12-28_14h51.42.101,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3740197628a12a117603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.006907545,-0.306588735,1,0,0,0.96564,stop_stud,0,13,13,3,1,college student ,0.035,0.046,0.011,college,student,flu,images/college - student-arial1.png,5f15b1ffb0fa876a3a19acf7,2020-12-28_14h51.42.101,weird_font_low_2,2020.2.10,Win32,60,5fea2cd1e144229a3f973e6d,5fea3740197628a12a117603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
