key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,6.398,-0.00195122,-0.327317073,1,0,0,5.61,cont1,-0.00195122,-0.327317073,1,0,0,2.087,stop_stud,0,0,0,21,1,taste touch,0.016,0.012,0.004,taste,touch,SF,images/taste-touch-sf.png,5fdbc71383f6af04b9a041ad,2020-12-28_14h46.33.176,weird_font_low_2,2020.2.10,MacIntel,60,5fea2cd1e144229a3f973e6d,5fea36073e41f7201f1c4f28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.00097561,-0.325365854,1,0,0,1.829,stop_stud,0,1,1,12,1,object symbol,0.014,0.021,0.007,object,symbol,SF,images/object-symbol-sf.png,5fdbc71383f6af04b9a041ad,2020-12-28_14h46.33.176,weird_font_low_2,2020.2.10,MacIntel,60,5fea2cd1e144229a3f973e6d,5fea36073e41f7201f1c4f28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.002926829,-0.329268293,1,0,0,1.314,stop_stud,0,2,2,4,1,curve shape,0.018,0.011,0.007,curve,shape,flu,images/curve-shape-arial1.png,5fdbc71383f6af04b9a041ad,2020-12-28_14h46.33.176,weird_font_low_2,2020.2.10,MacIntel,60,5fea2cd1e144229a3f973e6d,5fea36073e41f7201f1c4f28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.003902439,-0.329268293,1,0,0,1.049,stop_stud,0,3,3,19,1,sheet cover,0.021,0.053,0.032,sheet,cover,SF,images/sheet-cover-sf.png,5fdbc71383f6af04b9a041ad,2020-12-28_14h46.33.176,weird_font_low_2,2020.2.10,MacIntel,60,5fea2cd1e144229a3f973e6d,5fea36073e41f7201f1c4f28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.003902439,-0.329268293,1,0,0,1.097,stop_stud,0,4,4,2,1,child mother,0.03,0.01,0.02,child,mother,SF,images/child-mother-sf.png,5fdbc71383f6af04b9a041ad,2020-12-28_14h46.33.176,weird_font_low_2,2020.2.10,MacIntel,60,5fea2cd1e144229a3f973e6d,5fea36073e41f7201f1c4f28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.003902439,-0.329268293,1,0,0,0.816,stop_stud,0,5,5,0,1,angle corner,0.02,0.029,0.009,angle,corner,SF,images/angle-corner-sf.png,5fdbc71383f6af04b9a041ad,2020-12-28_14h46.33.176,weird_font_low_2,2020.2.10,MacIntel,60,5fea2cd1e144229a3f973e6d,5fea36073e41f7201f1c4f28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.003902439,-0.329268293,1,0,0,0.949,stop_stud,0,6,6,10,1,native foreign,0.056,0.031,0.025,native,foreign,SF,images/native-foreign-sf.png,5fdbc71383f6af04b9a041ad,2020-12-28_14h46.33.176,weird_font_low_2,2020.2.10,MacIntel,60,5fea2cd1e144229a3f973e6d,5fea36073e41f7201f1c4f28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.003902439,-0.329268293,1,0,0,0.798,stop_stud,0,7,7,13,1,office doctor,0.014,0.01,0.004,office,doctor ,flu,images/office-doctor-arial1.png,5fdbc71383f6af04b9a041ad,2020-12-28_14h46.33.176,weird_font_low_2,2020.2.10,MacIntel,60,5fea2cd1e144229a3f973e6d,5fea36073e41f7201f1c4f28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.003902439,-0.329268293,1,0,0,0.882,stop_stud,0,8,8,7,1,group meeting,0.027,0.041,0.014,group,meeting,SF,images/group-meeting-sf.png,5fdbc71383f6af04b9a041ad,2020-12-28_14h46.33.176,weird_font_low_2,2020.2.10,MacIntel,60,5fea2cd1e144229a3f973e6d,5fea36073e41f7201f1c4f28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.003902439,-0.330243902,1,0,0,0.832,stop_stud,0,9,9,8,1,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,5fdbc71383f6af04b9a041ad,2020-12-28_14h46.33.176,weird_font_low_2,2020.2.10,MacIntel,60,5fea2cd1e144229a3f973e6d,5fea36073e41f7201f1c4f28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
