key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,6.694535,0.014929288,-0.312847856,1,0,0,7.481625,cont1,0,0,0,16,1,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,596c36966956b40001c59d4e,2020-12-28_17h57.44.635,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea62bf509c7e278feaeb37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,1,11,1,0.034,0.034,0,novel,story,SF,images/novel-story-sf.png,596c36966956b40001c59d4e,2020-12-28_17h57.44.635,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea62bf509c7e278feaeb37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,2,2,12,1,0.014,0.021,0.007,object,symbol,flu,images/object-symbol-arial1.png,596c36966956b40001c59d4e,2020-12-28_17h57.44.635,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea62bf509c7e278feaeb37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,3,3,14,1,0.036,0.031,0.005,paint,picture,SF,images/paint-picture-sf.png,596c36966956b40001c59d4e,2020-12-28_17h57.44.635,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea62bf509c7e278feaeb37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,4,4,13,1,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,596c36966956b40001c59d4e,2020-12-28_17h57.44.635,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea62bf509c7e278feaeb37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,5,5,19,1,0.021,0.053,0.032,sheet,cover,flu,images/sheet-cover-arial1.png,596c36966956b40001c59d4e,2020-12-28_17h57.44.635,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea62bf509c7e278feaeb37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,6,6,17,1,0.015,0.028,0.013,range,rifle,SF,images/range-rifle-sf.png,596c36966956b40001c59d4e,2020-12-28_17h57.44.635,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea62bf509c7e278feaeb37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,7,7,7,1,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,596c36966956b40001c59d4e,2020-12-28_17h57.44.635,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea62bf509c7e278feaeb37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,8,8,1,1,0.04,0.019,0.021,block,street,flu,images/block-street-arial1.png,596c36966956b40001c59d4e,2020-12-28_17h57.44.635,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea62bf509c7e278feaeb37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,9,9,23,1,0.051,0.049,0.002,train,plane,SF,images/train-plane-sf.png,596c36966956b40001c59d4e,2020-12-28_17h57.44.635,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea62bf509c7e278feaeb37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
