key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,5.967,-0.001257862,-0.31509434,1,0,0,8.46,cont1,0,0,0,20,1,0.067,0.047,0.02,stick,branch,flu,images/stick-branch-arial1.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,1,3,1,0.035,0.046,0.011,college,student,SF,images/college-student-sf.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,2,2,9,1,0.042,0.055,0.013,nation,state,SF,images/nation-state-sf.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,3,3,7,1,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,4,4,1,1,0.04,0.019,0.021,block,street,flu,images/block-street-arial1.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,5,5,5,1,0.033,0.027,0.006,engine,machine,SF,images/engine-machine-sf.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,6,6,8,1,0.019,0.028,0.009,lunch,supper,SF,images/lunch-supper-sf.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,7,7,16,1,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,8,8,17,1,0.015,0.028,0.013,range,rifle,SF,images/range-rifle-sf.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,9,9,10,1,0.056,0.031,0.025,native,foreign,flu,images/native-foreign-arial1.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,10,10,21,1,0.016,0.012,0.004,taste,touch,flu,images/taste-touch-arial1.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,11,11,2,1,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,12,12,23,1,0.051,0.049,0.002,train,plane,SF,images/train-plane-sf.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,13,13,19,1,0.021,0.053,0.032,sheet,cover,flu,images/sheet-cover-arial1.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,14,14,13,1,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,15,15,22,1,0.039,0.02,0.019,throat ,voice ,flu,images/throat-voice-arial1.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,16,16,11,1,0.034,0.034,0,novel,story,SF,images/novel-story-sf.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,17,17,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,18,18,18,1,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,19,19,4,1,0.018,0.011,0.007,curve,shape,SF,images/curve-shape-sf.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,20,20,12,1,0.014,0.021,0.007,object,symbol,flu,images/object-symbol-arial1.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,21,21,14,1,0.036,0.031,0.005,paint,picture,SF,images/paint-picture-sf.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,22,22,0,1,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,23,23,15,1,0.014,0.03,0.016,people,world,flu,images/people -world-arial1.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,39.93710692,8.566,49.37106918,5.094,0.005031447,-0.420754717,1,0,0,8.441,polygon,mother,-0.06918239,-0.008176101,1,0,0,1.116,polygon_2,1,child,0,0,0,2,1,,,,,,,
,,,,,,,,,,,,,,0.015,0.028,0.013,range,rifle,SF,images/range-rifle-sf.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,rifle,-0.031446541,0.024528302,1,0,0,1.006,polygon_2,1,range,0,1,1,17,1,,,,,,,
,,,,,,,,,,,,,,0.018,0.011,0.007,curve,shape,SF,images/curve-shape-sf.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,line,-0.020125786,-0.003144654,1,0,0,1.167,polygon_2,1,curve,0,2,2,4,1,,,,,,,
,,,,,,,,,,,,,,0.033,0.027,0.006,engine,machine,SF,images/engine-machine-sf.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,car,0.161006289,0.004402516,1,0,0,2.422,polygon_2,1,engine,0,3,3,5,1,,,,,,,
,,,,,,,,,,,,,,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,weather,0.06918239,0.039622642,1,0,0,2.049,polygon_2,1,report,0,4,4,18,1,,,,,,,
,,,,,,,,,,,,,,0.035,0.046,0.011,college,student,SF,images/college-student-sf.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,student,0.07672956,-0.027044025,1,0,0,1.12,polygon_2,1,college,0,5,5,3,1,,,,,,,
,,,,,,,,,,,,,,0.021,0.053,0.032,sheet,cover,flu,images/sheet-cover-arial1.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,paper,0.037735849,-0.005660377,1,0,0,1.371,polygon_2,1,sheet,0,6,6,19,1,,,,,,,
,,,,,,,,,,,,,,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,work,-0.099371069,0.003144654,1,0,0,2.562,polygon_2,1,group,0,7,7,7,1,,,,,,,
,,,,,,,,,,,,,,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,dollar,0.179874214,-0.025786164,1,0,0,1.084,polygon_2,1,quarter,0,8,8,16,1,,,,,,,
,,,,,,,,,,,,,,0.067,0.047,0.02,stick,branch,flu,images/stick-branch-arial1.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,tree,0.105660377,-0.006918239,1,0,0,1.273,polygon_2,1,stick,0,9,9,20,1,,,,,,,
,,,,,,,,,,,,,,0.051,0.049,0.002,train,plane,SF,images/train-plane-sf.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,plane,0.002515723,-0.014465409,1,0,0,1.297,polygon_2,1,train,0,10,10,23,1,,,,,,,
,,,,,,,,,,,,,,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,worker,0.00754717,0.020754717,1,0,0,1.078,polygon_2,1,factory,0,11,11,6,1,,,,,,,
,,,,,,,,,,,,,,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,triangle,-0.080503145,-0.013207547,1,0,0,1.256,polygon_2,1,angle,0,12,12,0,1,,,,,,,
,,,,,,,,,,,,,,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,table,-0.101886792,-0.009433962,1,0,0,1.147,polygon_2,1,office,0,13,13,13,1,,,,,,,
,,,,,,,,,,,,,,0.019,0.028,0.009,lunch,supper,SF,images/lunch-supper-sf.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,supper,-0.132075472,0.011949686,1,0,0,1.391,polygon_2,1,lunch,0,14,14,8,1,,,,,,,
,,,,,,,,,,,,,,0.04,0.019,0.021,block,street,flu,images/block-street-arial1.png,5f96208d76c05e4f3a4d78a6,2020-12-28_17h01.57.743,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea63d8539a38a8b6b27ad4,,,,,,,,,,,,wood,-0.051572327,-0.018238994,1,0,0,1.14,polygon_2,1,block,0,15,15,1,1,,,,,,,
