key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,5.071145,-0.022160649,-0.28393353,1,0,0,12.707255,cont1,0,0,0,6,1,factory product,0.02,0.028,0.008,factory,product,SF,images/factory-product-sf.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,1,9,1,nation state,0.042,0.055,0.013,nation,state,flu,images/nation-state-arial1.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,2,2,14,1,paint picture,0.036,0.031,0.005,paint,picture,flu,images/paint-picture-arial1.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,3,3,20,1,stick branch,0.067,0.047,0.02,stick,branch,SF,images/stick-branch-sf.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,4,4,21,1,taste touch,0.016,0.012,0.004,taste,touch,SF,images/taste-touch-sf.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,5,5,7,1,group meeting,0.027,0.041,0.014,group,meeting,SF,images/group-meeting-sf.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,6,6,16,1,quarter dollar,0.061,0.027,0.034,quarter,dollar,flu,images/quarter-dollar-arial1.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,7,7,3,1,college student ,0.035,0.046,0.011,college,student,flu,images/college - student-arial1.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,8,8,22,1,throat voice,0.039,0.02,0.019,throat ,voice ,SF,images/throat-voice-sf.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,9,9,1,1,block street,0.04,0.019,0.021,block,street,SF,images/block-street-sf.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,10,10,23,1,train plane,0.051,0.049,0.002,train,plane,flu,images/train-plane-arial1.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,11,11,11,1,novel story,0.034,0.034,0,novel,story,flu,images/novel-story-arial1.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,12,12,15,1,people world,0.014,0.03,0.016,people,world,SF,images/people-world-sf.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,13,13,17,1,range rifle,0.015,0.028,0.013,range,rifle,flu,images/range-rifle-arial1.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,14,14,18,1,report weather,0.015,0.024,0.009,report,weather,flu,images/report-weather-arial1.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,15,15,8,1,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,16,16,5,1,engine machine,0.033,0.027,0.006,engine,machine,flu,images/engine-machine-arial1.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,17,17,4,1,curve shape,0.018,0.011,0.007,curve,shape,flu,images/curve-shape-arial1.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,18,18,0,1,angle corner,0.02,0.029,0.009,angle,corner,SF,images/angle-corner-sf.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,19,19,13,1,office doctor,0.014,0.01,0.004,office,doctor ,flu,images/office-doctor-arial1.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,20,20,12,1,object symbol,0.014,0.021,0.007,object,symbol,SF,images/object-symbol-sf.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,21,21,19,1,sheet cover,0.021,0.053,0.032,sheet,cover,SF,images/sheet-cover-sf.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,22,22,2,1,child mother,0.03,0.01,0.02,child,mother,SF,images/child-mother-sf.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,23,23,10,1,native foreign,0.056,0.031,0.025,native,foreign,SF,images/native-foreign-sf.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,factory product,0.02,0.028,0.008,factory,product,SF,images/factory-product-sf.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,55.42936457,4.503845,59.63989427,0.483785,0.006648215,-0.421329654,1,0,0,8.302795,polygon,meeting,0.222714701,-0.03905818,1,0,0,1.322725,polygon_2,1,factory,0,0,0,6,1,,,,,,,
,,,,,,,,,,,,,,paint picture,0.036,0.031,0.005,paint,picture,flu,images/paint-picture-arial1.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,picture,-0.180609337,-0.018005548,1,0,0,3.553065,polygon_2,1,paint,0,1,1,14,1,,,,,,,
,,,,,,,,,,,,,,angle corner,0.02,0.029,0.009,angle,corner,SF,images/angle-corner-sf.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,,-0.002216051,-0.301662062,1,0,0,1.937785,polygon_2,1,angle,0,2,2,0,1,,,,,,,
,,,,,,,,,,,,,,range rifle,0.015,0.028,0.013,range,rifle,flu,images/range-rifle-arial1.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,rifle,-0.01551245,-0.014681448,1,0,0,0.959355,polygon_2,1,range,0,3,3,17,1,,,,,,,
,,,,,,,,,,,,,,engine machine,0.033,0.027,0.006,engine,machine,flu,images/engine-machine-arial1.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,,-0.006648184,0.007479217,1,0,0,0.878245,polygon_2,1,engine,0,4,4,5,1,,,,,,,
,,,,,,,,,,,,,,office doctor,0.014,0.01,0.004,office,doctor ,flu,images/office-doctor-arial1.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,meeting,0.052077647,0.017451516,1,0,0,0.82188,polygon_2,1,office,0,5,5,13,1,,,,,,,
,,,,,,,,,,,,,,novel story,0.034,0.034,0,novel,story,flu,images/novel-story-arial1.png,5e3d8f6b6b1c15033ce417f4,2020-12-28_19h48.02.464,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7b118f6210a5e84c55bc,,,,,,,,,,,,story,0.029916981,0.01191135,1,0,0,1.189645,polygon_2,1,novel,0,6,6,11,1,,,,,,,
