key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,12.6133,-0.003056129,-0.297671315,1,0,0,8.277655,cont1,0,0,0,19,1,sheet cover,0.021,0.053,0.032,sheet,cover,SF,images/sheet-cover-sf.png,5ef312020b917e01fc9d904b,2020-12-28_16h22.11.536,weird_font_low_1,2020.2.10,MacIntel,60,5fea697315b59ba2fdb2940e,5fea769f5ce3ae5b4ab7adda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,1,22,1,throat voice,0.039,0.02,0.019,throat ,voice ,SF,images/throat-voice-sf.png,5ef312020b917e01fc9d904b,2020-12-28_16h22.11.536,weird_font_low_1,2020.2.10,MacIntel,60,5fea697315b59ba2fdb2940e,5fea769f5ce3ae5b4ab7adda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,2,2,16,1,quarter dollar,0.061,0.027,0.034,quarter,dollar,flu,images/quarter-dollar-arial1.png,5ef312020b917e01fc9d904b,2020-12-28_16h22.11.536,weird_font_low_1,2020.2.10,MacIntel,60,5fea697315b59ba2fdb2940e,5fea769f5ce3ae5b4ab7adda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,3,3,18,1,report weather,0.015,0.024,0.009,report,weather,flu,images/report-weather-arial1.png,5ef312020b917e01fc9d904b,2020-12-28_16h22.11.536,weird_font_low_1,2020.2.10,MacIntel,60,5fea697315b59ba2fdb2940e,5fea769f5ce3ae5b4ab7adda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,4,4,2,1,child mother,0.03,0.01,0.02,child,mother,SF,images/child-mother-sf.png,5ef312020b917e01fc9d904b,2020-12-28_16h22.11.536,weird_font_low_1,2020.2.10,MacIntel,60,5fea697315b59ba2fdb2940e,5fea769f5ce3ae5b4ab7adda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,5,5,15,1,people world,0.014,0.03,0.016,people,world,SF,images/people-world-sf.png,5ef312020b917e01fc9d904b,2020-12-28_16h22.11.536,weird_font_low_1,2020.2.10,MacIntel,60,5fea697315b59ba2fdb2940e,5fea769f5ce3ae5b4ab7adda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,6,6,8,1,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,5ef312020b917e01fc9d904b,2020-12-28_16h22.11.536,weird_font_low_1,2020.2.10,MacIntel,60,5fea697315b59ba2fdb2940e,5fea769f5ce3ae5b4ab7adda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,7,7,14,1,paint picture,0.036,0.031,0.005,paint,picture,flu,images/paint-picture-arial1.png,5ef312020b917e01fc9d904b,2020-12-28_16h22.11.536,weird_font_low_1,2020.2.10,MacIntel,60,5fea697315b59ba2fdb2940e,5fea769f5ce3ae5b4ab7adda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,8,8,20,1,stick branch,0.067,0.047,0.02,stick,branch,SF,images/stick-branch-sf.png,5ef312020b917e01fc9d904b,2020-12-28_16h22.11.536,weird_font_low_1,2020.2.10,MacIntel,60,5fea697315b59ba2fdb2940e,5fea769f5ce3ae5b4ab7adda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,9,9,5,1,engine machine,0.033,0.027,0.006,engine,machine,flu,images/engine-machine-arial1.png,5ef312020b917e01fc9d904b,2020-12-28_16h22.11.536,weird_font_low_1,2020.2.10,MacIntel,60,5fea697315b59ba2fdb2940e,5fea769f5ce3ae5b4ab7adda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
