key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,Age,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,4.933955,-0.003201708,-0.317502668,1,0,0,5.041735,cont1,0.01814301,-0.321771612,1,0,0,2.962415,stop_stud,0,0,0,17,1,0.015,0.028,0.013,range,rifle,SF,images/range-rifle-sf.png,rusong,A3VR4DVGAQVUVQ,30,yes,2020-12-28_15h20.42.007,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.011739594,-0.31963714,1,0,0,0.91034,stop_stud,0,1,1,20,1,0.067,0.047,0.02,stick,branch,flu,images/stick-branch-arial1.png,rusong,A3VR4DVGAQVUVQ,30,yes,2020-12-28_15h20.42.007,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.008537887,-0.304695838,1,0,0,0.897345,stop_stud,0,2,2,10,1,0.056,0.031,0.025,native,foreign,flu,images/native-foreign-arial1.png,rusong,A3VR4DVGAQVUVQ,30,yes,2020-12-28_15h20.42.007,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.008537887,-0.304695838,1,0,0,0.596435,stop_stud,0,3,3,15,1,0.014,0.03,0.016,people,world,flu,images/people -world-arial1.png,rusong,A3VR4DVGAQVUVQ,30,yes,2020-12-28_15h20.42.007,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.008537887,-0.304695838,1,0,0,0.61548,stop_stud,0,4,4,11,1,0.034,0.034,0,novel,story,SF,images/novel-story-sf.png,rusong,A3VR4DVGAQVUVQ,30,yes,2020-12-28_15h20.42.007,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.008537887,-0.304695838,1,0,0,0.61275,stop_stud,0,5,5,22,1,0.039,0.02,0.019,throat ,voice ,flu,images/throat-voice-arial1.png,rusong,A3VR4DVGAQVUVQ,30,yes,2020-12-28_15h20.42.007,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.008537887,-0.304695838,1,0,0,0.61208,stop_stud,0,6,6,0,1,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,rusong,A3VR4DVGAQVUVQ,30,yes,2020-12-28_15h20.42.007,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.008537887,-0.304695838,1,0,0,0.56442,stop_stud,0,7,7,1,1,0.04,0.019,0.021,block,street,flu,images/block-street-arial1.png,rusong,A3VR4DVGAQVUVQ,30,yes,2020-12-28_15h20.42.007,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.007470651,-0.327107791,1,0,0,0.530345,stop_stud,0,8,8,21,1,0.016,0.012,0.004,taste,touch,flu,images/taste-touch-arial1.png,rusong,A3VR4DVGAQVUVQ,30,yes,2020-12-28_15h20.42.007,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.005336179,-0.324973319,1,0,0,0.531265,stop_stud,0,9,9,4,1,0.018,0.011,0.007,curve,shape,SF,images/curve-shape-sf.png,rusong,A3VR4DVGAQVUVQ,30,yes,2020-12-28_15h20.42.007,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.005336179,-0.324973319,1,0,0,0.44714,stop_stud,0,10,10,2,1,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,rusong,A3VR4DVGAQVUVQ,30,yes,2020-12-28_15h20.42.007,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
