key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,AGE,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,6.071475,0.000784851,-0.297789241,1,0,0,12.327735,cont1,0.013918588,-0.312540261,1,0,0,3.152545,stop_stud,0,0,0,18,1,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,A3GPYCHKB2KDLC,A3GPYCHKB2KDLC,56,yes,2020-12-26_11h49.17.866,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.004572592,-0.307094877,1,0,0,1.925395,stop_stud,0,1,1,13,1,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,A3GPYCHKB2KDLC,A3GPYCHKB2KDLC,56,yes,2020-12-26_11h49.17.866,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.007457171,-0.308544981,1,0,0,1.92654,stop_stud,0,2,2,19,1,0.021,0.053,0.032,sheet,cover,flu,images/sheet-cover-arial1.png,A3GPYCHKB2KDLC,A3GPYCHKB2KDLC,56,yes,2020-12-26_11h49.17.866,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001749147,-0.330096327,1,0,0,2.02981,stop_stud,0,3,3,10,1,0.056,0.031,0.025,native,foreign,flu,images/native-foreign-arial1.png,A3GPYCHKB2KDLC,A3GPYCHKB2KDLC,56,yes,2020-12-26_11h49.17.866,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001749147,-0.328762456,1,0,0,0.880105,stop_stud,0,4,4,15,1,0.014,0.03,0.016,people,world,flu,images/people -world-arial1.png,A3GPYCHKB2KDLC,A3GPYCHKB2KDLC,56,yes,2020-12-26_11h49.17.866,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001749147,-0.328762456,1,0,0,0.996765,stop_stud,0,5,5,20,1,0.067,0.047,0.02,stick,branch,flu,images/stick-branch-arial1.png,A3GPYCHKB2KDLC,A3GPYCHKB2KDLC,56,yes,2020-12-26_11h49.17.866,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001749147,-0.328762456,1,0,0,1.08496,stop_stud,0,6,6,4,1,0.018,0.011,0.007,curve,shape,SF,images/curve-shape-sf.png,A3GPYCHKB2KDLC,A3GPYCHKB2KDLC,56,yes,2020-12-26_11h49.17.866,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001749147,-0.328762456,1,0,0,0.911675,stop_stud,0,7,7,11,1,0.034,0.034,0,novel,story,SF,images/novel-story-sf.png,A3GPYCHKB2KDLC,A3GPYCHKB2KDLC,56,yes,2020-12-26_11h49.17.866,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001749147,-0.328762456,1,0,0,0.84458,stop_stud,0,8,8,23,1,0.051,0.049,0.002,train,plane,SF,images/train-plane-sf.png,A3GPYCHKB2KDLC,A3GPYCHKB2KDLC,56,yes,2020-12-26_11h49.17.866,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001749147,-0.328762456,1,0,0,1.01338,stop_stud,0,9,9,0,1,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,A3GPYCHKB2KDLC,A3GPYCHKB2KDLC,56,yes,2020-12-26_11h49.17.866,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001749147,-0.328762456,1,0,0,0.92859,stop_stud,0,10,10,14,1,0.036,0.031,0.005,paint,picture,SF,images/paint-picture-sf.png,A3GPYCHKB2KDLC,A3GPYCHKB2KDLC,56,yes,2020-12-26_11h49.17.866,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001749147,-0.328762456,1,0,0,0.96435,stop_stud,0,11,11,3,1,0.035,0.046,0.011,college,student,SF,images/college-student-sf.png,A3GPYCHKB2KDLC,A3GPYCHKB2KDLC,56,yes,2020-12-26_11h49.17.866,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001749147,-0.328762456,1,0,0,0.96485,stop_stud,0,12,12,8,1,0.019,0.028,0.009,lunch,supper,SF,images/lunch-supper-sf.png,A3GPYCHKB2KDLC,A3GPYCHKB2KDLC,56,yes,2020-12-26_11h49.17.866,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001749147,-0.328762456,1,0,0,0.864605,stop_stud,0,13,13,12,1,0.014,0.021,0.007,object,symbol,flu,images/object-symbol-arial1.png,A3GPYCHKB2KDLC,A3GPYCHKB2KDLC,56,yes,2020-12-26_11h49.17.866,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001749147,-0.328762456,1,0,0,0.9917,stop_stud,0,14,14,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,A3GPYCHKB2KDLC,A3GPYCHKB2KDLC,56,yes,2020-12-26_11h49.17.866,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001749147,-0.328762456,1,0,0,0.78073,stop_stud,0,15,15,7,1,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,A3GPYCHKB2KDLC,A3GPYCHKB2KDLC,56,yes,2020-12-26_11h49.17.866,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001749147,-0.328762456,1,0,0,0.7646,stop_stud,0,16,16,5,1,0.033,0.027,0.006,engine,machine,SF,images/engine-machine-sf.png,A3GPYCHKB2KDLC,A3GPYCHKB2KDLC,56,yes,2020-12-26_11h49.17.866,weird_font_low_1,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
