key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,Age,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,1.529,0.259930915,0.052677029,1,0,0,0.743,cont1,0.001727116,-0.304835924,1,0,0,2.32,stop_stud,0,0,0,7,1,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,A34CPKFZXBX1PO,A34CPKFZXBX1PO,22,Yes,2020-12-28_14h55.48.445,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001727116,-0.304835924,1,0,0,1.503,stop_stud,0,1,1,8,1,0.019,0.028,0.009,lunch,supper,SF,images/lunch-supper-sf.png,A34CPKFZXBX1PO,A34CPKFZXBX1PO,22,Yes,2020-12-28_14h55.48.445,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001727116,-0.304835924,1,0,0,2.867,stop_stud,0,2,2,10,1,0.056,0.031,0.025,native,foreign,flu,images/native-foreign-arial1.png,A34CPKFZXBX1PO,A34CPKFZXBX1PO,22,Yes,2020-12-28_14h55.48.445,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001727116,-0.304835924,1,0,0,1.314,stop_stud,0,3,3,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,A34CPKFZXBX1PO,A34CPKFZXBX1PO,22,Yes,2020-12-28_14h55.48.445,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001727116,-0.304835924,1,0,0,2.665,stop_stud,0,4,4,12,1,0.014,0.021,0.007,object,symbol,flu,images/object-symbol-arial1.png,A34CPKFZXBX1PO,A34CPKFZXBX1PO,22,Yes,2020-12-28_14h55.48.445,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001727116,-0.304835924,1,0,0,1.935,stop_stud,0,5,5,17,1,0.015,0.028,0.013,range,rifle,SF,images/range-rifle-sf.png,A34CPKFZXBX1PO,A34CPKFZXBX1PO,22,Yes,2020-12-28_14h55.48.445,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001727116,-0.304835924,1,0,0,1.839,stop_stud,0,6,6,21,1,0.016,0.012,0.004,taste,touch,flu,images/taste-touch-arial1.png,A34CPKFZXBX1PO,A34CPKFZXBX1PO,22,Yes,2020-12-28_14h55.48.445,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001727116,-0.304835924,1,0,0,1.298,stop_stud,0,7,7,5,1,0.033,0.027,0.006,engine,machine,SF,images/engine-machine-sf.png,A34CPKFZXBX1PO,A34CPKFZXBX1PO,22,Yes,2020-12-28_14h55.48.445,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001727116,-0.304835924,1,0,0,14.397,stop_stud,0,8,8,1,1,0.04,0.019,0.021,block,street,flu,images/block-street-arial1.png,A34CPKFZXBX1PO,A34CPKFZXBX1PO,22,Yes,2020-12-28_14h55.48.445,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001727116,-0.304835924,1,0,0,10.516,stop_stud,0,9,9,16,1,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,A34CPKFZXBX1PO,A34CPKFZXBX1PO,22,Yes,2020-12-28_14h55.48.445,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
