key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,AGE,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,6.031,-0.01242236,-0.31884058,1,0,0,5.696,cont1,-0.01242236,-0.31884058,1,0,0,1.057,stop_stud,0,0,0,8,1,0.019,0.028,0.009,lunch,supper,SF,images/lunch-supper-sf.png,A182N7RLXGSCZG,A182N7RLXGSCZG,32,yes,2020-12-26_14h41.18.151,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.01242236,-0.31884058,1,0,0,0.73,stop_stud,0,1,1,4,1,0.018,0.011,0.007,curve,shape,SF,images/curve-shape-sf.png,A182N7RLXGSCZG,A182N7RLXGSCZG,32,yes,2020-12-26_14h41.18.151,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.01242236,-0.31884058,1,0,0,0.581,stop_stud,0,2,2,0,1,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,A182N7RLXGSCZG,A182N7RLXGSCZG,32,yes,2020-12-26_14h41.18.151,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.01242236,-0.31884058,1,0,0,0.349,stop_stud,0,3,3,14,1,0.036,0.031,0.005,paint,picture,SF,images/paint-picture-sf.png,A182N7RLXGSCZG,A182N7RLXGSCZG,32,yes,2020-12-26_14h41.18.151,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.01242236,-0.31884058,1,0,0,0.332,stop_stud,0,4,4,19,1,0.021,0.053,0.032,sheet,cover,flu,images/sheet-cover-arial1.png,A182N7RLXGSCZG,A182N7RLXGSCZG,32,yes,2020-12-26_14h41.18.151,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.01242236,-0.31884058,1,0,0,0.297,stop_stud,0,5,5,23,1,0.051,0.049,0.002,train,plane,SF,images/train-plane-sf.png,A182N7RLXGSCZG,A182N7RLXGSCZG,32,yes,2020-12-26_14h41.18.151,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.01242236,-0.31884058,1,0,0,0.282,stop_stud,0,6,6,16,1,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,A182N7RLXGSCZG,A182N7RLXGSCZG,32,yes,2020-12-26_14h41.18.151,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.01242236,-0.31884058,1,0,0,0.182,stop_stud,0,7,7,11,1,0.034,0.034,0,novel,story,SF,images/novel-story-sf.png,A182N7RLXGSCZG,A182N7RLXGSCZG,32,yes,2020-12-26_14h41.18.151,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.01242236,-0.31884058,1,0,0,0.182,stop_stud,0,8,8,13,1,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,A182N7RLXGSCZG,A182N7RLXGSCZG,32,yes,2020-12-26_14h41.18.151,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.01242236,-0.313664596,1,0,0,0.35,stop_stud,0,9,9,9,1,0.042,0.055,0.013,nation,state,SF,images/nation-state-sf.png,A182N7RLXGSCZG,A182N7RLXGSCZG,32,yes,2020-12-26_14h41.18.151,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.01242236,-0.313664596,1,0,0,0.215,stop_stud,0,10,10,10,1,0.056,0.031,0.025,native,foreign,flu,images/native-foreign-arial1.png,A182N7RLXGSCZG,A182N7RLXGSCZG,32,yes,2020-12-26_14h41.18.151,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.01242236,-0.313664596,1,0,0,0.198,stop_stud,0,11,11,7,1,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,A182N7RLXGSCZG,A182N7RLXGSCZG,32,yes,2020-12-26_14h41.18.151,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.838509317,-0.197722567,1,0,0,2.183,stop_stud,0,12,12,1,1,0.04,0.019,0.021,block,street,flu,images/block-street-arial1.png,A182N7RLXGSCZG,A182N7RLXGSCZG,32,yes,2020-12-26_14h41.18.151,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.016563147,-0.3126294,1,0,0,0.364,stop_stud,0,13,13,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,A182N7RLXGSCZG,A182N7RLXGSCZG,32,yes,2020-12-26_14h41.18.151,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.016563147,-0.3126294,1,0,0,0.283,stop_stud,0,14,14,18,1,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,A182N7RLXGSCZG,A182N7RLXGSCZG,32,yes,2020-12-26_14h41.18.151,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.016563147,-0.3126294,1,0,0,0.248,stop_stud,0,15,15,22,1,0.039,0.02,0.019,throat ,voice ,flu,images/throat-voice-arial1.png,A182N7RLXGSCZG,A182N7RLXGSCZG,32,yes,2020-12-26_14h41.18.151,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.016563147,-0.3126294,1,0,0,0.216,stop_stud,0,16,16,5,1,0.033,0.027,0.006,engine,machine,SF,images/engine-machine-sf.png,A182N7RLXGSCZG,A182N7RLXGSCZG,32,yes,2020-12-26_14h41.18.151,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
