key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,Age,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,6.792875,0.021344717,-0.315368196,1,0,0,6.846815,cont1,-0.003201708,-0.305763074,1,0,0,4.887185,stop_stud,0,0,0,0,1,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,viv,A1DIOT6SG0NJU6,36,yes,2020-12-28_13h04.53.263,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001067236,-0.306830309,1,0,0,2.860765,stop_stud,0,1,1,10,1,0.056,0.031,0.025,native,foreign,flu,images/native-foreign-arial1.png,viv,A1DIOT6SG0NJU6,36,yes,2020-12-28_13h04.53.263,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001067236,-0.306830309,1,0,0,1.579655,stop_stud,0,2,2,22,1,0.039,0.02,0.019,throat ,voice ,flu,images/throat-voice-arial1.png,viv,A1DIOT6SG0NJU6,36,yes,2020-12-28_13h04.53.263,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001067236,-0.306830309,1,0,0,2.013745,stop_stud,0,3,3,11,1,0.034,0.034,0,novel,story,SF,images/novel-story-sf.png,viv,A1DIOT6SG0NJU6,36,yes,2020-12-28_13h04.53.263,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001067236,-0.306830309,1,0,0,1.07948,stop_stud,0,4,4,12,1,0.014,0.021,0.007,object,symbol,flu,images/object-symbol-arial1.png,viv,A1DIOT6SG0NJU6,36,yes,2020-12-28_13h04.53.263,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001067236,-0.306830309,1,0,0,1.11403,stop_stud,0,5,5,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,viv,A1DIOT6SG0NJU6,36,yes,2020-12-28_13h04.53.263,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001067236,-0.306830309,1,0,0,1.06385,stop_stud,0,6,6,8,1,0.019,0.028,0.009,lunch,supper,SF,images/lunch-supper-sf.png,viv,A1DIOT6SG0NJU6,36,yes,2020-12-28_13h04.53.263,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001067236,-0.306830309,1,0,0,1.179855,stop_stud,0,7,7,21,1,0.016,0.012,0.004,taste,touch,flu,images/taste-touch-arial1.png,viv,A1DIOT6SG0NJU6,36,yes,2020-12-28_13h04.53.263,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001067236,-0.306830309,1,0,0,1.697485,stop_stud,0,8,8,23,1,0.051,0.049,0.002,train,plane,SF,images/train-plane-sf.png,viv,A1DIOT6SG0NJU6,36,yes,2020-12-28_13h04.53.263,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.006403415,-0.317502668,1,0,0,1.082755,stop_stud,0,9,9,15,1,0.014,0.03,0.016,people,world,flu,images/people -world-arial1.png,viv,A1DIOT6SG0NJU6,36,yes,2020-12-28_13h04.53.263,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
