key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,Age,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,5.52658,0.01168388,-0.307216526,1,0,0,7.117225,cont1,-0.002061824,-0.308591076,1,0,0,2.13552,stop_stud,0,0,0,18,1,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,j,A1FLEFIVFT809G,32,yes,2020-12-28_15h01.04.111,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.004810976,-0.318213132,1,0,0,1.29689,stop_stud,0,1,1,11,1,0.034,0.034,0,novel,story,SF,images/novel-story-sf.png,j,A1FLEFIVFT809G,32,yes,2020-12-28_15h01.04.111,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.011683828,-0.308591076,1,0,0,0.84556,stop_stud,0,2,2,14,1,0.036,0.031,0.005,paint,picture,SF,images/paint-picture-sf.png,j,A1FLEFIVFT809G,32,yes,2020-12-28_15h01.04.111,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.000687275,-0.308591076,1,0,0,0.85768,stop_stud,0,3,3,21,1,0.016,0.012,0.004,taste,touch,flu,images/taste-touch-arial1.png,j,A1FLEFIVFT809G,32,yes,2020-12-28_15h01.04.111,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002061824,-0.31134028,1,0,0,1.13456,stop_stud,0,4,4,1,1,0.04,0.019,0.021,block,street,flu,images/block-street-arial1.png,j,A1FLEFIVFT809G,32,yes,2020-12-28_15h01.04.111,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.007560127,-0.32233678,1,0,0,0.75544,stop_stud,0,5,5,3,1,0.035,0.046,0.011,college,student,SF,images/college-student-sf.png,j,A1FLEFIVFT809G,32,yes,2020-12-28_15h01.04.111,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00618563,-0.314089379,1,0,0,0.731255,stop_stud,0,6,6,13,1,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,j,A1FLEFIVFT809G,32,yes,2020-12-28_15h01.04.111,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000687222,-0.304467427,1,0,0,1.079225,stop_stud,0,7,7,8,1,0.019,0.028,0.009,lunch,supper,SF,images/lunch-supper-sf.png,j,A1FLEFIVFT809G,32,yes,2020-12-28_15h01.04.111,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.000687275,-0.305841924,1,0,0,0.88545,stop_stud,0,8,8,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,j,A1FLEFIVFT809G,32,yes,2020-12-28_15h01.04.111,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000687222,-0.31134028,1,0,0,1.02575,stop_stud,0,9,9,10,1,0.056,0.031,0.025,native,foreign,flu,images/native-foreign-arial1.png,j,A1FLEFIVFT809G,32,yes,2020-12-28_15h01.04.111,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
