key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,Age,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,2.322625,0.009833117,-0.330908001,1,0,0,1.831375,cont1,0.009833117,-0.332891593,1,0,0,1.386815,stop_stud,0,0,0,3,1,0.035,0.046,0.011,college,student,SF,images/college-student-sf.png,yhh,A2EY0J9LOPU3TU,40,yes,2020-12-28_11h52.45.985,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.009833117,-0.333272735,1,0,0,1.181085,stop_stud,0,1,1,22,1,0.039,0.02,0.019,throat ,voice ,flu,images/throat-voice-arial1.png,yhh,A2EY0J9LOPU3TU,40,yes,2020-12-28_11h52.45.985,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.009833117,-0.333272735,1,0,0,1.298545,stop_stud,0,2,2,11,1,0.034,0.034,0,novel,story,SF,images/novel-story-sf.png,yhh,A2EY0J9LOPU3TU,40,yes,2020-12-28_11h52.45.985,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.009833117,-0.333653776,1,0,0,1.115935,stop_stud,0,3,3,14,1,0.036,0.031,0.005,paint,picture,SF,images/paint-picture-sf.png,yhh,A2EY0J9LOPU3TU,40,yes,2020-12-28_11h52.45.985,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.009833117,-0.333653776,1,0,0,1.081575,stop_stud,0,4,4,1,1,0.04,0.019,0.021,block,street,flu,images/block-street-arial1.png,yhh,A2EY0J9LOPU3TU,40,yes,2020-12-28_11h52.45.985,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.021789248,-0.33356984,1,0,0,1.615415,stop_stud,0,5,5,7,1,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,yhh,A2EY0J9LOPU3TU,40,yes,2020-12-28_11h52.45.985,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.020021045,-0.331557698,1,0,0,2.13297,stop_stud,0,6,6,17,1,0.015,0.028,0.013,range,rifle,SF,images/range-rifle-sf.png,yhh,A2EY0J9LOPU3TU,40,yes,2020-12-28_11h52.45.985,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.020021045,-0.33193884,1,0,0,1.21668,stop_stud,0,7,7,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,yhh,A2EY0J9LOPU3TU,40,yes,2020-12-28_11h52.45.985,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.020021045,-0.33193884,1,0,0,1.596705,stop_stud,0,8,8,16,1,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,yhh,A2EY0J9LOPU3TU,40,yes,2020-12-28_11h52.45.985,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.020021045,-0.332360235,1,0,0,2.41577,stop_stud,0,9,9,0,1,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,yhh,A2EY0J9LOPU3TU,40,yes,2020-12-28_11h52.45.985,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
