key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,Age,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,9.019265,0.040016138,-0.36845749,1,0,0,33.8604,cont1,-0.008142606,-0.29663659,1,0,0,3.805075,stop_stud,0,0,0,11,1,0.034,0.034,0,novel,story,SF,images/novel-story-sf.png,A1U69QDM8UIXZ5,A1U69QDM8UIXZ5,31,yes,2020-12-30_15h29.16.217,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002223628,-0.312885123,1,0,0,3.128525,stop_stud,0,1,1,1,1,0.04,0.019,0.021,block,street,flu,images/block-street-arial1.png,A1U69QDM8UIXZ5,A1U69QDM8UIXZ5,31,yes,2020-12-30_15h29.16.217,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002223628,-0.320367518,1,0,0,3.148835,stop_stud,0,2,2,10,1,0.056,0.031,0.025,native,foreign,flu,images/native-foreign-arial1.png,A1U69QDM8UIXZ5,A1U69QDM8UIXZ5,31,yes,2020-12-30_15h29.16.217,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002223628,-0.320367518,1,0,0,2.048175,stop_stud,0,3,3,12,1,0.014,0.021,0.007,object,symbol,flu,images/object-symbol-arial1.png,A1U69QDM8UIXZ5,A1U69QDM8UIXZ5,31,yes,2020-12-30_15h29.16.217,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002223628,-0.320367518,1,0,0,2.732745,stop_stud,0,4,4,0,1,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,A1U69QDM8UIXZ5,A1U69QDM8UIXZ5,31,yes,2020-12-30_15h29.16.217,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002223628,-0.320367518,1,0,0,2.514825,stop_stud,0,5,5,5,1,0.033,0.027,0.006,engine,machine,SF,images/engine-machine-sf.png,A1U69QDM8UIXZ5,A1U69QDM8UIXZ5,31,yes,2020-12-30_15h29.16.217,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002223628,-0.320367518,1,0,0,2.198445,stop_stud,0,6,6,19,1,0.021,0.053,0.032,sheet,cover,flu,images/sheet-cover-arial1.png,A1U69QDM8UIXZ5,A1U69QDM8UIXZ5,31,yes,2020-12-30_15h29.16.217,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002223628,-0.320367518,1,0,0,2.39977,stop_stud,0,7,7,15,1,0.014,0.03,0.016,people,world,flu,images/people -world-arial1.png,A1U69QDM8UIXZ5,A1U69QDM8UIXZ5,31,yes,2020-12-30_15h29.16.217,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002223628,-0.320367518,1,0,0,1.798335,stop_stud,0,8,8,20,1,0.067,0.047,0.02,stick,branch,flu,images/stick-branch-arial1.png,A1U69QDM8UIXZ5,A1U69QDM8UIXZ5,31,yes,2020-12-30_15h29.16.217,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002223628,-0.3185932,1,0,0,2.03331,stop_stud,0,9,9,21,1,0.016,0.012,0.004,taste,touch,flu,images/taste-touch-arial1.png,A1U69QDM8UIXZ5,A1U69QDM8UIXZ5,31,yes,2020-12-30_15h29.16.217,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002223628,-0.313728727,1,0,0,2.76578,stop_stud,0,10,10,8,1,0.019,0.028,0.009,lunch,supper,SF,images/lunch-supper-sf.png,A1U69QDM8UIXZ5,A1U69QDM8UIXZ5,31,yes,2020-12-30_15h29.16.217,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002223628,-0.313728727,1,0,0,4.498385,stop_stud,0,11,11,7,1,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,A1U69QDM8UIXZ5,A1U69QDM8UIXZ5,31,yes,2020-12-30_15h29.16.217,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002223628,-0.313728727,1,0,0,1.43124,stop_stud,0,12,12,22,1,0.039,0.02,0.019,throat ,voice ,flu,images/throat-voice-arial1.png,A1U69QDM8UIXZ5,A1U69QDM8UIXZ5,31,yes,2020-12-30_15h29.16.217,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002223628,-0.313728727,1,0,0,2.365275,stop_stud,0,13,13,14,1,0.036,0.031,0.005,paint,picture,SF,images/paint-picture-sf.png,A1U69QDM8UIXZ5,A1U69QDM8UIXZ5,31,yes,2020-12-30_15h29.16.217,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002223628,-0.313728727,1,0,0,2.81632,stop_stud,0,14,14,9,1,0.042,0.055,0.013,nation,state,SF,images/nation-state-sf.png,A1U69QDM8UIXZ5,A1U69QDM8UIXZ5,31,yes,2020-12-30_15h29.16.217,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002223628,-0.313728727,1,0,0,1.848865,stop_stud,0,15,15,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,A1U69QDM8UIXZ5,A1U69QDM8UIXZ5,31,yes,2020-12-30_15h29.16.217,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002223628,-0.313728727,1,0,0,1.99986,stop_stud,0,16,16,18,1,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,A1U69QDM8UIXZ5,A1U69QDM8UIXZ5,31,yes,2020-12-30_15h29.16.217,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002223628,-0.313728727,1,0,0,2.31519,stop_stud,0,17,17,3,1,0.035,0.046,0.011,college,student,SF,images/college-student-sf.png,A1U69QDM8UIXZ5,A1U69QDM8UIXZ5,31,yes,2020-12-30_15h29.16.217,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002223628,-0.313728727,1,0,0,1.68278,stop_stud,0,18,18,23,1,0.051,0.049,0.002,train,plane,SF,images/train-plane-sf.png,A1U69QDM8UIXZ5,A1U69QDM8UIXZ5,31,yes,2020-12-30_15h29.16.217,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002223628,-0.313728727,1,0,0,1.799415,stop_stud,0,19,19,4,1,0.018,0.011,0.007,curve,shape,SF,images/curve-shape-sf.png,A1U69QDM8UIXZ5,A1U69QDM8UIXZ5,31,yes,2020-12-30_15h29.16.217,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002223628,-0.313728727,1,0,0,2.065435,stop_stud,0,20,20,17,1,0.015,0.028,0.013,range,rifle,SF,images/range-rifle-sf.png,A1U69QDM8UIXZ5,A1U69QDM8UIXZ5,31,yes,2020-12-30_15h29.16.217,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002223628,-0.313728727,1,0,0,1.832865,stop_stud,0,21,21,16,1,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,A1U69QDM8UIXZ5,A1U69QDM8UIXZ5,31,yes,2020-12-30_15h29.16.217,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002223628,-0.313728727,1,0,0,1.53318,stop_stud,0,22,22,2,1,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,A1U69QDM8UIXZ5,A1U69QDM8UIXZ5,31,yes,2020-12-30_15h29.16.217,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002223628,-0.313728727,1,0,0,1.898945,stop_stud,0,23,23,13,1,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,A1U69QDM8UIXZ5,A1U69QDM8UIXZ5,31,yes,2020-12-30_15h29.16.217,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,A1U69QDM8UIXZ5,A1U69QDM8UIXZ5,31,yes,2020-12-30_15h29.16.217,weird_font_low_1,2020.2.10,MacIntel,60,49.77763718,0.12287,80.45774648,10.346655,0.010059052,-0.431246332,1,0,0,15.313445,polygon,mother,0.014203712,-0.016803294,1,0,0,1.720885,polygon_2,1,child,0,0,0,2,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.042,0.055,0.013,nation,state,SF,images/nation-state-sf.png,A1U69QDM8UIXZ5,A1U69QDM8UIXZ5,31,yes,2020-12-30_15h29.16.217,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,state,-0.05421985,0.010049883,1,0,0,1.260385,polygon_2,1,nation,0,1,1,9,1,,,,,,,
