key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,AGE,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,4.845155,-0.003963012,-0.325627477,1,0,0,5.744305,cont1,-0.003963012,-0.325627477,1,0,0,1.419605,stop_stud,0,0,0,0,1,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,ANMD34DNHLOLC,ANMD34DNHLOLC,35,yes,2020-12-26_14h55.06.344,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.003963012,-0.325627477,1,0,0,1.49747,stop_stud,0,1,1,9,1,0.042,0.055,0.013,nation,state,SF,images/nation-state-sf.png,ANMD34DNHLOLC,ANMD34DNHLOLC,35,yes,2020-12-26_14h55.06.344,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.003963012,-0.325627477,1,0,0,1.29863,stop_stud,0,2,2,17,1,0.015,0.028,0.013,range,rifle,SF,images/range-rifle-sf.png,ANMD34DNHLOLC,ANMD34DNHLOLC,35,yes,2020-12-26_14h55.06.344,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.003963012,-0.325627477,1,0,0,0.848835,stop_stud,0,3,3,3,1,0.035,0.046,0.011,college,student,SF,images/college-student-sf.png,ANMD34DNHLOLC,ANMD34DNHLOLC,35,yes,2020-12-26_14h55.06.344,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.003963012,-0.325627477,1,0,0,0.983345,stop_stud,0,4,4,22,1,0.039,0.02,0.019,throat ,voice ,flu,images/throat-voice-arial1.png,ANMD34DNHLOLC,ANMD34DNHLOLC,35,yes,2020-12-26_14h55.06.344,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.003963012,-0.325627477,1,0,0,0.93198,stop_stud,0,5,5,21,1,0.016,0.012,0.004,taste,touch,flu,images/taste-touch-arial1.png,ANMD34DNHLOLC,ANMD34DNHLOLC,35,yes,2020-12-26_14h55.06.344,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.003963012,-0.325627477,1,0,0,0.84861,stop_stud,0,6,6,14,1,0.036,0.031,0.005,paint,picture,SF,images/paint-picture-sf.png,ANMD34DNHLOLC,ANMD34DNHLOLC,35,yes,2020-12-26_14h55.06.344,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.003963012,-0.334874505,1,0,0,0.73125,stop_stud,0,7,7,7,1,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,ANMD34DNHLOLC,ANMD34DNHLOLC,35,yes,2020-12-26_14h55.06.344,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001321004,-0.309775429,1,0,0,0.93155,stop_stud,0,8,8,20,1,0.067,0.047,0.02,stick,branch,flu,images/stick-branch-arial1.png,ANMD34DNHLOLC,ANMD34DNHLOLC,35,yes,2020-12-26_14h55.06.344,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.001321004,-0.309775429,1,0,0,0.866115,stop_stud,0,9,9,2,1,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,ANMD34DNHLOLC,ANMD34DNHLOLC,35,yes,2020-12-26_14h55.06.344,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
