key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,AGE,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,11.77503,-0.000328697,-0.307574314,1,0,0,7.84218,cont1,0.008112614,-0.325071456,1,0,0,3.838505,stop_stud,0,0,0,13,1,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,TT,A1SOFLJOEQB591,42,yes,2020-12-26_14h34.15.957,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.008112614,-0.325071456,1,0,0,2.343525,stop_stud,0,1,1,22,1,0.039,0.02,0.019,throat ,voice ,flu,images/throat-voice-arial1.png,TT,A1SOFLJOEQB591,42,yes,2020-12-26_14h34.15.957,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.008112614,-0.325071456,1,0,0,1.93099,stop_stud,0,2,2,4,1,0.018,0.011,0.007,curve,shape,SF,images/curve-shape-sf.png,TT,A1SOFLJOEQB591,42,yes,2020-12-26_14h34.15.957,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.008112614,-0.325071456,1,0,0,1.465845,stop_stud,0,3,3,7,1,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,TT,A1SOFLJOEQB591,42,yes,2020-12-26_14h34.15.957,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.008112614,-0.325071456,1,0,0,1.06385,stop_stud,0,4,4,11,1,0.034,0.034,0,novel,story,SF,images/novel-story-sf.png,TT,A1SOFLJOEQB591,42,yes,2020-12-26_14h34.15.957,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.008112614,-0.325071456,1,0,0,0.984415,stop_stud,0,5,5,5,1,0.033,0.027,0.006,engine,machine,SF,images/engine-machine-sf.png,TT,A1SOFLJOEQB591,42,yes,2020-12-26_14h34.15.957,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.008112614,-0.325071456,1,0,0,1.49564,stop_stud,0,6,6,18,1,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,TT,A1SOFLJOEQB591,42,yes,2020-12-26_14h34.15.957,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.008112614,-0.325071456,1,0,0,1.06554,stop_stud,0,7,7,3,1,0.035,0.046,0.011,college,student,SF,images/college-student-sf.png,TT,A1SOFLJOEQB591,42,yes,2020-12-26_14h34.15.957,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.008112614,-0.325071456,1,0,0,1.09707,stop_stud,0,8,8,12,1,0.014,0.021,0.007,object,symbol,flu,images/object-symbol-arial1.png,TT,A1SOFLJOEQB591,42,yes,2020-12-26_14h34.15.957,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.008112614,-0.325071456,1,0,0,1.531195,stop_stud,0,9,9,17,1,0.015,0.028,0.013,range,rifle,SF,images/range-rifle-sf.png,TT,A1SOFLJOEQB591,42,yes,2020-12-26_14h34.15.957,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
